year,vous_PRON entrerez_VERB,vous_PRON rentrerez_VERB
1800,2.3266817095191072e-07,1.0690159246706799e-07
1801,1.6430159144320555e-07,6.667311147623423e-08
1802,6.265952379180817e-08,2.6854081625060644e-08
1803,1.4432509942707838e-07,5.070882025393075e-08
1804,1.483110620981165e-07,6.426812682036598e-08
1805,3.3545957744962607e-07,8.244345606200909e-08
1806,1.1814843237090145e-07,2.5935022129885965e-08
1807,8.256170014320219e-08,9.394952193986228e-08
1808,1.0197332844796847e-07,2.4926813502190726e-08
1809,8.584315680515431e-08,6.099382598989678e-08
1810,2.2465216531486476e-07,7.020380188293984e-08
1811,9.526891986411101e-08,1.504245972228091e-08
1812,1.1468995353425271e-07,2.1337665856435706e-08
1813,8.91479885467561e-08,2.0130191735745484e-08
1814,2.265607470519626e-07,7.86669280827823e-08
1815,1.2407228489053068e-07,9.710004844620812e-08
1816,1.7382029149359823e-07,8.806894413737609e-08
1817,1.4167547846000161e-07,4.826307531402563e-08
1818,1.668964877410417e-07,3.5763532579835555e-08
1819,2.1944225458980782e-07,8.798392170383806e-08
1820,1.4833101502631507e-07,9.611849804969097e-08
1821,3.1063689220900415e-07,8.678109608695195e-08
1822,2.3760709666476032e-07,9.323822780515911e-08
1823,1.8184143613098058e-07,7.3131884548161e-08
1824,2.3747538335783247e-07,6.989523626543814e-08
1825,2.4214968163960293e-07,9.774041487276008e-08
1826,1.6206691810793927e-07,8.279505436803447e-08
1827,1.2351145972644417e-07,8.572063769918259e-08
1828,1.5501188466160443e-07,6.970948795981258e-08
1829,1.388854515838034e-07,4.200856285052623e-08
1830,2.0560566582616957e-07,7.514521627172144e-08
1831,1.465573351566718e-07,7.016042680163537e-08
1832,1.9212555990577584e-07,7.306183391619925e-08
1833,1.7491279358239353e-07,6.48683204929057e-08
1834,2.2122839027360897e-07,7.280934077869006e-08
1835,2.62439158404959e-07,1.0361430469174593e-07
1836,1.868368588731073e-07,9.341842943655365e-08
1837,2.3795987402763785e-07,8.697363540477454e-08
1838,2.6511080264413067e-07,7.069621243971369e-08
1839,1.6569796557064365e-07,5.663095059560419e-08
1840,2.414112021398296e-07,1.0446289344656634e-07
1841,1.8683796199070457e-07,6.613164993396481e-08
1842,2.629639901385872e-07,6.909512961783548e-08
1843,1.8252355182823976e-07,6.615740488769006e-08
1844,1.986859174962774e-07,7.848642624708191e-08
1845,2.4664608133662114e-07,9.542189616240648e-08
1846,2.1603110056389596e-07,7.552306602320868e-08
1847,1.4831364580913942e-07,9.060615369094194e-08
1848,1.4964112615700742e-07,1.1585119263912702e-07
1849,1.2317739717104814e-07,9.971503800443315e-08
1850,1.5954140408780404e-07,8.689915098614165e-08
1851,1.5607642289694468e-07,6.836405219701192e-08
1852,1.9336320100649118e-07,5.59906911945518e-08
1853,2.137951611302924e-07,9.316213400722972e-08
1854,2.504310252504638e-07,7.014146863326687e-08
1855,1.9476459556244663e-07,6.686740761097099e-08
1856,2.0656984922595711e-07,7.196293161371159e-08
1857,1.6597130780837688e-07,8.493825554012346e-08
1858,2.123855367131e-07,8.661806560894547e-08
1859,1.3647024665885965e-07,1.1202781280417184e-07
1860,1.789678911734427e-07,7.460809925419198e-08
1861,1.909965234858646e-07,7.875659413514313e-08
1862,2.2273671973493947e-07,1.0436548425474257e-07
1863,2.1976331332496102e-07,1.0988165755065893e-07
1864,2.052143521780181e-07,8.103089932376406e-08
1865,2.0192362626403337e-07,1.049626305871243e-07
1866,2.0143638046477008e-07,1.0169130693071793e-07
1867,2.3342023247607813e-07,6.79393608038481e-08
1868,2.489696484531123e-07,5.3844626979326904e-08
1869,1.816669090715095e-07,1.0255390492375227e-07
1870,1.5080547832724278e-07,8.486392388817876e-08
1871,2.2304472224732308e-07,9.028000391708701e-08
1872,1.8323438766287836e-07,8.103434900874618e-08
1873,1.9634095060894197e-07,6.764184945495799e-08
1874,1.1471249727890154e-07,6.094101401288299e-08
1875,1.9281546315141895e-07,6.57975611773054e-08
1876,1.3543073151822682e-07,5.743713948902496e-08
1877,1.2555176720496775e-07,4.7004601100297805e-08
1878,1.2621694978065534e-07,5.918306733576628e-08
1879,1.4784567614611888e-07,5.864952257184086e-08
1880,1.687893593782519e-07,4.299957101494556e-08
1881,2.0220271323978523e-07,4.74130521510574e-08
1882,1.3377324314944872e-07,5.257754054355246e-08
1883,1.3017838185191977e-07,3.349249588779912e-08
