year,pourriez_VERB ajouter_VERB
1800,9.432493897065797e-09
1801,7.143547975374531e-09
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,7.4155526164076946e-09
1805,3.4114531644036106e-08
1806,1.729001475325731e-08
1807,1.9928686256776018e-08
1808,3.172503681980743e-08
1809,2.259030518203531e-09
1810,4.680253340438867e-08
1811,1.2535384286138651e-08
1812,0.0
1813,1.4378708002027452e-08
1814,3.1466771410748606e-09
1815,1.3486118000116676e-08
1816,1.3905623319487859e-08
1817,2.1796227045456362e-08
1818,9.536941902865692e-09
1819,2.794783426907088e-08
1820,9.493184904840746e-09
1821,2.2681422962023134e-08
1822,2.8071724500478012e-08
1823,2.2730180404550993e-08
1824,2.0210670470532932e-08
1825,1.4088708866211164e-08
1826,7.0463874735082754e-09
1827,1.6591091167583727e-08
1828,1.1006761724274838e-08
1829,7.715858174606183e-09
1830,2.0873671680021744e-09
1831,6.236482441579483e-09
1832,8.117981842303834e-09
1833,1.0425265983826648e-08
1834,2.7070139907436896e-08
1835,2.117664621437143e-08
1836,2.2178475944656384e-08
1837,2.1569462660409044e-08
1838,2.3354999711955315e-08
1839,1.3283802502428443e-08
1840,1.52872523528913e-08
1841,1.4125206782011901e-08
1842,3.152884531232303e-08
1843,2.9534556134080958e-08
1844,1.866110821424627e-08
1845,1.1160455670733427e-08
1846,2.2247105491146613e-08
1847,4.853901280910122e-09
1848,2.413566457803995e-09
1849,1.256912263158938e-08
1850,8.82569484161877e-09
1851,1.483370937194195e-08
1852,1.7578472011337e-08
1853,8.957897534855874e-09
1854,1.9223959313308114e-08
1855,5.306937111981824e-09
1856,2.2779632402603056e-08
1857,1.122747050885664e-08
1858,2.7404585267731818e-08
1859,7.129042689513199e-09
1860,1.0985241161165504e-08
1861,2.1221836732365773e-08
1862,1.7620147119146168e-08
1863,1.748117206545885e-08
1864,9.109982990196386e-09
1865,1.553258677233771e-08
1866,1.8002767276925624e-08
1867,8.249779526181555e-09
1868,1.0867722721741302e-08
1869,1.6115613732381462e-08
1870,1.548193218070537e-08
1871,2.7615060460561835e-08
1872,9.675742873582749e-09
1873,3.591602570907071e-09
1874,8.364453130127458e-09
1875,1.3731664694205392e-08
1876,6.04601479992084e-09
1877,1.5462040536817767e-08
1878,1.3889904337816006e-08
1879,1.0385853066452455e-08
1880,1.0268554007097919e-08
1881,3.346803723047742e-08
1882,1.1314154946262533e-08
1883,6.319338941018771e-10
1884,1.0562715146988921e-08
1885,1.2246707647989297e-08
1886,7.744156427236248e-09
1887,1.0446279397058333e-08
1888,1.268122939990235e-08
1889,1.50363277384713e-08
1890,7.209825181320184e-09
1891,8.92390783491237e-09
1892,8.149066310636499e-09
1893,4.926733243593162e-09
1894,6.9316934414587195e-09
1895,8.426059849853118e-09
1896,1.7101383420481397e-08
1897,1.5149455023788505e-08
1898,5.6583546736987955e-09
1899,2.1004797901014172e-08
1900,1.1939421895590385e-08
1901,5.58873880507349e-09
1902,9.820567470342212e-09
1903,8.100330184390714e-09
1904,1.7198800605910947e-08
1905,1.186974607492175e-08
1906,1.9033482345776065e-08
1907,7.199980611716228e-09
1908,8.349361202419914e-09
1909,1.8153246017504898e-08
1910,5.878565634276356e-09
1911,1.9685383989553884e-08
1912,1.1981668990301841e-08
1913,7.954484182448596e-09
1914,1.0714789944188396e-08
1915,2.0027295377644805e-08
1916,7.69122365795738e-09
1917,1.315970976634162e-08
1918,1.722956355365568e-08
1919,2.1178051312631396e-08
1920,5.300562211374427e-09
1921,1.3630945261411398e-08
1922,1.1804696775641332e-08
1923,1.2739137744688378e-08
1924,1.5469948877466777e-08
1925,1.0998178368026856e-08
1926,1.0031524944054127e-08
1927,2.2298449309232637e-08
1928,5.713020723163709e-09
1929,1.1140405931087116e-08
1930,3.1510811737689437e-09
1931,4.5621426636444085e-09
1932,1.0959536389520963e-08
1933,2.2941324395731044e-09
1934,7.188948103475923e-09
1935,5.98414207075848e-09
1936,1.091224355320719e-08
1937,2.0145789036973838e-08
1938,1.4261735792331365e-08
1939,3.058810094103137e-09
1940,7.607348528892999e-09
1941,1.1806010391524069e-08
1942,1.517105907566929e-08
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,6.535512131478072e-09
1946,1.1136883415474585e-08
1947,3.099426493236024e-08
1948,1.4133454406817236e-08
1949,1.668891336237266e-08
1950,6.381216888229346e-09
1951,7.462981344019681e-09
1952,1.2653764258629963e-08
1953,1.508335856215126e-08
1954,1.5636057781875934e-08
1955,7.508486277174597e-09
1956,6.976913269340912e-09
1957,9.718541527092839e-09
1958,9.926692356998501e-09
1959,6.200598257066758e-09
1960,1.1765417085030094e-08
1961,8.33779090214648e-09
1962,1.2049716779927166e-08
1963,6.466053470433053e-09
1964,2.4335873316516654e-09
1965,1.2038495533772675e-08
1966,2.769537488234164e-09
1967,4.437302081328198e-09
1968,6.737123747768692e-09
1969,8.629339909305145e-09
1970,4.598724956395017e-09
1971,6.679916619845017e-09
1972,7.69522046084603e-09
1973,1.2129047988196362e-08
1974,3.3753431161187564e-09
1975,3.998036124386317e-09
1976,7.427584769459372e-09
1977,3.526069214387917e-09
1978,1.128712323605896e-08
1979,8.192762912528906e-09
1980,1.5349906234973787e-08
1981,3.1627747087981106e-09
1982,1.8622506869903077e-09
1983,7.57837881337764e-09
1984,9.858314165001048e-09
1985,6.015557829641693e-09
1986,1.558566253834215e-08
1987,3.6664902225425067e-09
1988,4.797243047249822e-09
1989,1.0427432250992297e-08
1990,7.628111475810329e-09
1991,1.2309077312977479e-08
1992,4.4079553340736766e-09
1993,2.7696036575264316e-09
1994,4.747434001473039e-09
1995,4.337960657352369e-09
1996,2.6690460952494277e-09
1997,1.438468344439059e-09
1998,7.629006759657386e-09
1999,4.113180906983871e-09
2000,5.3016377954406835e-09
2001,3.943090742808408e-09
2002,5.257465574004527e-09
2003,5.8336921959778465e-09
2004,9.690540814233373e-09
2005,6.305249655724765e-09
2006,7.412201963319376e-09
2007,9.98619853476157e-09
2008,1.4901038625225738e-08
2009,1.0013204487790972e-08
2010,8.97520635589899e-09
2011,1.1089518636708817e-08
2012,1.2255309655984092e-08
2013,1.3945625099154313e-08
2014,1.407539329534302e-08
2015,1.573768493301486e-08
2016,1.7813524877396958e-08
2017,1.2578056818313144e-08
2018,1.3423626654684995e-08
2019,1.4540630033366142e-08
