year,sans_ADP ouvrir_VERB,sans_ADP rouvrir_VERB
1800,2.6725399493443547e-07,3.144164484325529e-09
1801,2.1668761895909938e-07,0.0
1802,2.0364345232337655e-07,4.475680270843441e-09
1803,2.925508795215137e-07,1.950339223455444e-09
1804,3.015658194271964e-07,2.4718509461507665e-09
1805,2.757591308633067e-07,0.0
1806,3.861436539409624e-07,8.645007376628655e-09
1807,3.1031811431603273e-07,0.0
1808,2.809931629599305e-07,2.2660739951163578e-09
1809,2.688246232285252e-07,2.259030518203531e-09
1810,4.6100495865175617e-07,1.8721014072298203e-08
1811,2.8329966994533606e-07,2.5070767684098882e-09
1812,3.280666192040371e-07,2.6672082320544632e-09
1813,2.645682286583906e-07,2.0130190847567064e-08
1814,1.3530711839848664e-07,6.293354282149721e-09
1815,3.3445573421886365e-07,5.394447111228828e-09
1816,5.446369186756783e-07,0.0
1817,2.1951915130102861e-07,1.2454987263765815e-08
1818,3.3975356683590974e-07,1.1921177378582115e-09
1819,3.467601663587061e-07,0.0
1820,2.764890174589141e-07,5.933240565525466e-09
1821,2.4949565613496816e-07,9.86148829262845e-10
1822,3.18814585398286e-07,1.0025615893027862e-09
1823,3.5874154669102154e-07,0.0
1824,2.4421226374471416e-07,6.736890156844311e-09
1825,2.3246369362794894e-07,8.805443041381977e-10
1826,3.250146307642865e-07,8.807984341885344e-10
1827,2.313535502618258e-07,5.530363722527909e-09
1828,3.5129914977005683e-07,8.255071293206129e-09
1829,3.369258259056096e-07,2.571952817387313e-09
1830,3.172798130890442e-07,8.349468672008697e-09
1831,3.0870589284859307e-07,3.1182412207897414e-09
1832,3.639561834134497e-07,0.0
1833,2.6410671916110573e-07,1.1583628500844156e-09
1834,2.5669958869656284e-07,3.733812370398937e-09
1835,3.6832238947681617e-07,8.31939672707449e-09
1836,2.55388514946997e-07,1.0753200441193655e-08
1837,4.550460602770201e-07,2.7831563720326358e-09
1838,2.777351193472555e-07,4.418513555037862e-09
1839,3.957174934399177e-07,1.3982950353153e-09
1840,3.802704058308848e-07,4.458782232319436e-09
1841,3.70465647492324e-07,3.852329122366882e-09
1842,3.360840672428367e-07,4.024959032733477e-09
1843,2.6285753418342495e-07,1.4767278067040479e-08
1844,3.567564919038091e-07,7.683985892015244e-09
1845,3.108186968359128e-07,1.0602432709561072e-08
1846,3.0033592679501453e-07,7.025401593807601e-09
1847,2.9770595322275994e-07,1.5101026207275936e-08
1848,2.815827490065814e-07,2.4135665133151463e-09
1849,3.7204601555096417e-07,4.1897072478036534e-09
1850,2.240368619510491e-07,4.073397619208663e-09
1851,3.218269961635656e-07,3.2247193804124663e-09
1852,3.4050152208919826e-07,3.2552727180501506e-09
1853,2.753060588389644e-07,7.166318205520383e-09
1854,2.6030277577859806e-07,5.195664343204953e-09
1855,3.2903009383744575e-07,1.9104973603134567e-08
1856,2.8060366297211203e-07,3.1063134287023786e-09
1857,3.802695718313487e-07,1.3668225662399891e-08
1858,2.872587860913711e-07,4.893676130990343e-09
1859,3.1316864923525145e-07,1.782260738991681e-08
1860,2.695961338616826e-07,1.0985241161165504e-08
1861,2.8578740529638935e-07,1.0375120318428799e-08
1862,2.480374456936829e-07,1.490935552794781e-08
1863,2.6671274167000547e-07,7.991393324857654e-09
1864,2.804915935072927e-07,1.6781548595190543e-08
1865,2.894709310030663e-07,1.553258677233771e-08
1866,2.9826206326966087e-07,8.271541951376804e-09
1867,3.275647735279108e-07,4.367530337390235e-09
1868,2.6329529523305695e-07,9.879748019692158e-09
1869,3.5454348257246693e-07,1.3185501579471293e-08
1870,2.70073700292528e-07,5.734048791339319e-10
1871,2.474734421831215e-07,6.37270636261178e-09
1872,2.6910661010681736e-07,1.0280476470114763e-08
1873,3.034904265675209e-07,1.1972008939764578e-09
1874,3.100822159041172e-07,1.2546679251101978e-08
1875,3.570232820493402e-07,4.577221712764867e-09
1876,2.9020871128437875e-07,1.3301232115736639e-08
1877,3.506790604568266e-07,8.040260790487253e-09
1878,2.4881044158320265e-07,1.2078177569208037e-08
1879,3.170739795166355e-07,1.2218650868867087e-08
1880,2.612063427775979e-07,1.4761046607247863e-08
1881,2.984233247182999e-07,2.3009274485730202e-08
1882,3.081443302743736e-07,8.652000449416164e-09
1883,2.812105934779652e-07,1.3270611554094813e-08
1884,2.825526417282731e-07,1.650424152899177e-08
1885,2.6104825057160497e-07,1.2891271383708158e-08
