year,veux_VERB égaler_VERB,veux_VERB régaler_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,8.951360541686881e-09
1803,0.0,1.950339267864365e-08
1804,2.4718509461507665e-09,3.213406252200457e-08
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,1.1387820464392462e-08,0.0
1808,1.8128591960930862e-08,6.798221985349073e-09
1809,2.259030518203531e-09,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,2.0056614147279106e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,5.751483289628823e-09
1814,0.0,1.2586708564299443e-08
1815,0.0,1.3486118000116676e-08
1816,0.0,2.3176038865813098e-09
1817,3.113746815941454e-09,4.670620334934483e-09
1818,2.384235475716423e-09,1.4305413076343143e-08
1819,0.0,6.210630232317271e-09
1820,3.5599443393152796e-09,1.1866481131050932e-08
1821,1.97229765852569e-09,7.88919063410276e-09
1822,2.0051231786055723e-09,1.9048670196752937e-08
1823,3.9530747564242574e-09,1.3835761425440296e-08
1824,0.0,1.6000114122505238e-08
1825,0.0,6.163810128967384e-09
1826,1.7615968683770689e-09,5.284790383086602e-09
1827,9.217273055917019e-10,7.373818444733615e-09
1828,6.420610709767516e-09,1.8344602503717056e-09
1829,0.0,8.57317605795771e-10
1830,1.461157062010443e-08,1.0436835840010872e-09
1831,1.2472964883158966e-08,3.1182412207897414e-09
1832,0.0,1.3529969367098715e-09
1833,0.0,3.4750886612755494e-09
1834,5.600718555598405e-09,0.0
1835,8.31939672707449e-09,6.806779140333674e-09
1836,0.0,3.3603750337896088e-09
1837,4.174734336004349e-09,4.870523762079415e-09
1838,6.312161904276081e-10,9.468242856414122e-09
1839,1.3982950353153e-09,3.4957374772659477e-09
1840,1.9109065441114126e-09,4.458782232319436e-09
1841,0.0,1.2841097074556274e-09
1842,0.0,1.341653010911159e-09
1843,1.7720733769266417e-09,1.7720733214154905e-09
1844,0.0,4.9397050894128824e-09
1845,0.0,1.6740683839167048e-09
1846,0.0,5.854501328173001e-10
1847,0.0,1.6179670936367074e-09
1848,3.218088684420195e-09,0.0
1849,0.0,0.0
1850,0.0,1.3577992064028876e-09
1851,0.0,2.579775504329973e-09
1852,0.0,3.906327261660181e-09
1853,0.0,2.9859659189668264e-09
1854,0.0,1.558699391779328e-09
1855,5.306937111981824e-10,1.0613874223963649e-09
1856,0.0,1.5531567698623405e-09
1857,0.0,2.440754598431738e-09
1858,0.0,8.808616946964776e-09
1859,0.0,7.129042689513199e-09
1860,9.154367819341758e-10,4.577183909670879e-10
1861,0.0,2.357981809808507e-09
1862,4.517986262886353e-10,1.355395878865906e-09
1863,0.0,5.494083077373091e-09
1864,1.4384183844029508e-09,3.356309563606885e-09
1865,4.706844358715045e-10,1.882737743486018e-09
1866,0.0,1.4596838737723772e-09
1867,4.85281148598915e-10,1.94112459439566e-09
1868,4.939874287401835e-09,9.385760613156435e-09
1869,4.883519144627257e-10,1.4650557433881772e-09
1870,0.0,5.734048791339319e-10
