year,as_VERB usé_VERB
1800,0.0
1801,0.0
1802,1.5664880947952042e-08
1803,0.0
1804,1.2359254952798437e-08
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,1.8128591960930862e-08
1809,1.3554183553310395e-08
1810,0.0
1811,1.7549536934780008e-08
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,2.697223555614414e-09
1816,0.0
1817,3.113746815941454e-09
1818,4.768470951432846e-09
1819,1.3456364911235141e-08
1820,1.779972080839798e-08
1821,1.97229765852569e-09
1822,5.012807946513931e-09
1823,1.2847492847356534e-08
1824,4.210556348027694e-09
1825,1.7610886970942374e-08
1826,8.807984341885344e-10
1827,0.0
1828,4.586150570418113e-09
1829,0.0
1830,6.262101504006523e-09
1831,1.5591206103948707e-09
1832,9.470978667991403e-09
1833,1.853380560135065e-08
1834,7.467624740797874e-09
1835,1.285724948729694e-08
1836,5.376600054063374e-09
1837,6.957891152126194e-09
1838,1.1361890983607736e-08
1839,1.3982950353153e-09
1840,7.0066574764382494e-09
1841,1.0914932957462042e-08
1842,1.1404051036834062e-08
1843,8.860366662588604e-09
1844,1.701453911095996e-08
1845,5.580227835366713e-09
1846,5.269050973311096e-09
1847,9.168480197274675e-09
1848,1.126331028444838e-08
1849,1.6758829879393033e-09
1850,4.073397619208663e-09
1851,0.0
1852,1.9531636308300904e-09
1853,4.777545470346922e-09
1854,3.117398783558656e-09
1855,1.2205955357558196e-08
1856,3.1063134287023786e-09
1857,1.9526036343364694e-09
1858,8.31924928945682e-09
1859,1.5276520048956854e-09
1860,3.661747127736703e-09
1861,1.7920662287451705e-08
1862,2.2589932147099034e-09
1863,1.4983863039219614e-09
1864,1.1507347075223606e-08
1865,5.6482134525026595e-09
1866,9.731225603104576e-09
1867,4.367530337390235e-09
1868,5.433861360870651e-09
1869,1.4650557433881772e-09
1870,3.4404292748035914e-09
1871,7.434824311758348e-09
1872,1.8142017887967654e-09
1873,8.380406590902112e-09
1874,2.3898436563030145e-09
1875,5.721527140956084e-10
1876,0.0
1877,6.184815992682502e-10
1878,3.0195443923020093e-09
1879,1.221865053580018e-09
1880,8.343199908722454e-09
1881,3.4862537301449947e-09
1882,2.6621540527571597e-09
1883,6.951272890631799e-09
1884,4.621187876807653e-09
1885,6.445635691854079e-10
1886,2.5813855497602844e-09
1887,1.3057849246322917e-09
1888,7.60873763994141e-09
1889,2.5060546970934183e-09
1890,6.554386478008212e-10
1891,5.736798147637501e-09
1892,6.268512375839919e-10
1893,1.847525021858587e-09
1894,1.2603078580752936e-09
1895,0.0
1896,2.948514543632541e-09
1897,5.2440420894583895e-09
1898,5.6583548957434e-10
1899,1.1055156790007459e-09
1900,5.191053142894475e-10
1901,0.0
1902,4.910283735171106e-09
1903,5.400220270956879e-10
1904,5.912087708281888e-09
1905,1.0321518084666081e-09
1906,0.0
1907,3.599990305858114e-09
1908,6.384805573134145e-09
1909,1.1001967115120692e-09
