year,meilleures_ADJ règles_NOUN
1800,3.772997558826319e-08
1801,3.809892135109294e-08
1802,4.0281122437590966e-08
1803,4.6808139586573816e-08
1804,5.19088700912107e-08
1805,1.7057265822018053e-08
1806,0.0
1807,1.4234775136401367e-08
1808,4.078933102391602e-08
1809,3.162642769893864e-08
1810,3.510190182964834e-08
1811,1.0279014617253779e-07
1812,6.668020802180763e-08
1813,4.026038169513413e-08
1814,1.8880061958270744e-08
1815,6.47333635583891e-08
1816,5.3304887615013286e-08
1817,3.7364962679475866e-08
1818,3.9339884239097955e-08
1819,3.519356894798875e-08
1820,2.8479554714522237e-08
1821,3.254291058851777e-08
1822,6.51665033046811e-08
1823,4.0519015698237126e-08
1824,4.6316120716483056e-08
1825,3.3460683113162304e-08
1826,4.7563116112314674e-08
1827,2.2121454890111636e-08
1828,3.210305266065916e-08
1829,4.2865881511033876e-08
1830,3.235419043789989e-08
1831,7.016042502527853e-08
1832,5.817886972181441e-08
1833,6.486831694019202e-08
1834,4.480574844478724e-08
1835,4.386591001548368e-08
1836,6.72075017860152e-08
1837,4.1051556820548285e-08
1838,3.3454458758797045e-08
1839,4.824117993962318e-08
1840,4.8409635411417185e-08
1841,3.2102743574569104e-08
1842,3.8237111255057243e-08
1843,3.839492279666956e-08
1844,1.0428266250528395e-08
1845,5.245414413934668e-08
1846,3.5127008857216424e-08
1847,4.1527822958187244e-08
1848,2.252662056889676e-08
1849,3.351765798242923e-08
1850,2.647708541303473e-08
1851,3.740674614505224e-08
1852,3.711010876372711e-08
1853,5.1955808544335014e-08
1854,3.3252252507054436e-08
1855,4.8823821430232783e-08
1856,6.057311452423164e-08
1857,2.9777204701986193e-08
1858,2.495774786837046e-08
1859,4.277425702525761e-08
1860,3.982150076353719e-08
1861,2.452301117727984e-08
1862,3.7499287230957634e-08
1863,3.5461809488879226e-08
1864,3.212467802882202e-08
1865,2.9653119071326728e-08
1866,2.8707116683790446e-08
1867,2.4749338578544666e-08
1868,2.5193358510477992e-08
1869,3.711474505507795e-08
1870,5.2753250656678574e-08
1871,5.3105885911008954e-08
1872,1.4513614310374123e-08
1873,2.0352414864532875e-08
1874,3.1665429389704514e-08
1875,2.1741803024610817e-08
1876,3.688068872520489e-08
1877,3.030559980743419e-08
1878,1.5701630218245555e-08
1879,2.504823370941267e-08
1880,1.2835692508872398e-08
1881,3.765154232837631e-08
1882,3.793569547383413e-08
1883,4.107570461542309e-08
1884,4.4891539374702916e-08
1885,3.8029249083137984e-08
1886,2.19417763958063e-08
1887,2.6768590899450828e-08
1888,4.311618084784641e-08
1889,4.0723389105323804e-08
1890,3.8015443237782165e-08
1891,3.6970476458009216e-08
1892,3.823792482648969e-08
1893,1.970693297437265e-08
1894,2.7726773765834878e-08
1895,2.2870734639468537e-08
1896,3.007484750128242e-08
1897,2.9133568446582103e-08
1898,3.451596342074481e-08
1899,3.758753308602536e-08
1900,3.5818267463127995e-08
1901,4.63865319488832e-08
1902,2.995273007400101e-08
1903,2.1600881083827517e-08
1904,2.3110889202371254e-08
1905,1.3934049469810361e-08
1906,6.6874399351490865e-09
1907,2.7771354993433306e-08
1908,3.241516921548282e-08
1909,2.9705311987981986e-08
1910,2.672075360976578e-08
1911,1.8621308939259507e-08
1912,4.5842906359894187e-08
1913,3.553003224965323e-08
1914,2.5447626228469744e-08
1915,1.8849219074468238e-08
1916,3.186363883855847e-08
1917,4.276905585243185e-08
