year,aux_ADP une_PRON,aux_ADP runes_NOUN
1800,3.144164484325529e-09,1.8864987794131594e-08
1801,0.0,2.1430642593855964e-08
1802,2.2378401354217203e-09,5.594600338554301e-08
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,1.2103009794373065e-07
1807,0.0,0.0
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,2.259030518203531e-09,1.8072244145628247e-08
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.1337665856435706e-08
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,2.697223555614414e-09,8.091670444798638e-09
1816,4.6352077731626196e-09,0.0
1817,0.0,0.0
1818,1.1921177378582115e-09,5.960588467246453e-09
1819,0.0,3.1053151161586356e-09
1820,1.1866481131050932e-09,8.306536791735653e-09
1821,0.0,9.861488514673056e-09
1822,2.0051231786055723e-09,1.1028177482330648e-08
1823,3.95307486744656e-09,0.0
1824,8.421112696055388e-10,3.3684450784221553e-08
1825,1.7610886082763955e-09,3.522177216552791e-09
1826,2.642395191543301e-09,1.8496766784892316e-08
1827,9.217273055917019e-10,7.373818444733615e-09
1828,9.172301251858528e-10,2.7516904310687096e-09
1829,8.57317605795771e-10,1.5431716793301575e-08
1830,4.174734336004349e-09,8.349468672008697e-09
1831,0.0,0.0
1832,4.058990921151917e-09,1.2176972319366541e-08
1833,1.1583628500844156e-09,1.0425265983826648e-08
1834,9.334530925997342e-10,2.8003592777992026e-09
1835,1.1344631900556124e-08,6.806779140333674e-09
1836,2.688300027031687e-09,1.9490174363312462e-08
1837,6.957890930081589e-10,3.339787646439163e-08
1838,6.312161904276081e-10,6.9433778726590845e-09
1839,2.0974426639952526e-09,2.1673573158409454e-08
1840,0.0,7.643626509512558e-09
1841,2.5682194149112547e-09,3.852329122366882e-09
1842,2.683306021822318e-09,2.683306021822318e-09
1843,5.906911071384968e-10,4.134837805480629e-09
1844,1.097712254427563e-09,1.3721403568922597e-08
1845,3.9061593959388574e-09,7.812319346989227e-09
1846,1.1709002656346001e-09,4.0981511517657054e-09
1847,2.6966118227278457e-09,1.1865092020002521e-08
1848,8.045221711050488e-10,8.045221711050488e-10
1849,8.379414939696517e-10,3.3517659758786067e-09
1850,3.394498016007219e-09,5.0917471128286707e-08
1851,1.9348316282474798e-09,6.449438538780328e-09
1852,2.6042181744401205e-09,0.0
1853,5.971931837933653e-10,1.0749477752369785e-08
1854,1.558699391779328e-09,2.5458755548157797e-08
1855,5.306937111981824e-10,1.1675261646360013e-08
1856,1.0354378465748937e-09,3.1063134287023786e-08
1857,2.440754598431738e-09,9.763017949637742e-09
1858,4.893676019968041e-10,5.3830437884982985e-09
1859,5.092173349652285e-10,1.4258085379026397e-08
1860,1.3731551729012637e-09,2.288591982591015e-09
1861,3.3011746114475216e-09,1.8863854922557266e-09
1862,1.8071945329101169e-09,4.517986429419807e-09
1863,1.4983863039219614e-09,1.4983863039219614e-09
1864,1.4384183844029508e-09,2.8768367688059016e-09
1865,3.294791106611683e-09,9.88437331983505e-09
1866,3.8924903300596725e-09,6.811858188626729e-09
1867,9.7056229719783e-10,6.79393608038481e-09
1868,4.93987406535723e-10,1.1361710239299327e-08
1869,4.395167230164532e-09,1.953407657850903e-09
1870,2.8670243956696595e-09,1.7202146374017957e-09
1871,1.0621177271019633e-09,3.18635318130589e-09
1872,6.0473391849669156e-09,6.047339295989218e-10
1873,3.591602570907071e-09,1.0176207432266438e-08
1874,3.584765539965673e-09,1.4936522241271177e-08
1875,2.2886108563824337e-09,5.149374260327022e-09
1876,3.02300739996042e-09,9.069021977836655e-09
1877,6.80329748092845e-09,1.9172929910382663e-08
1878,7.246906574831513e-09,7.850815109122777e-09
1879,6.10932526790009e-10,1.038585284440785e-08
1880,2.5671385017744797e-09,3.8507077526617195e-09
1881,4.880755244407453e-09,0.0
1882,3.3276925659464496e-09,0.0
1883,3.1596694705093853e-09,4.423537092179686e-09
1884,3.9610181801208455e-09,1.3203393933736152e-09
1885,2.5782542767416317e-09,6.445635691854079e-10
1886,1.2906927748801422e-09,4.5174246565693466e-09
1887,3.2644623670918804e-09,5.223139698529167e-09
1888,4.438430289965822e-09,0.0
1889,3.132568371366773e-09,1.8795409673089125e-09
1890,3.932631831293776e-09,4.5880703680722945e-09
1891,1.2748440081367107e-09,3.824532024410132e-09
1892,1.2537024751679837e-09,1.1283322720601063e-08
1893,4.310891699166319e-09,3.695050043717174e-09
1894,1.8904617871129403e-09,2.520615716150587e-09
1895,4.814891596538473e-09,4.814891596538473e-09
1896,1.7691086373616827e-09,5.897029087265082e-09
1897,1.1653427112179315e-09,4.661370733849424e-09
1898,2.8291774478717002e-09,1.0750873968845553e-08
1899,1.1055156790007459e-09,1.1055156790007459e-08
1900,5.191053142894475e-10,1.038210628578895e-09
1901,1.676621730339889e-09,5.029865191019667e-09
1902,1.9641135939885146e-09,9.820567692386817e-10
1903,3.2401321625741275e-09,1.0800440541913758e-09
1904,2.6873125946735854e-09,1.0211787859759625e-08
1905,2.0643036724443675e-09,3.096455536422127e-09
1906,5.144184633820714e-09,8.230695236477459e-09
1907,4.114274698707732e-09,4.114274698707732e-09
1908,4.911389073214423e-10,0.0
1909,2.750491723269022e-09,1.3752458449811655e-08
1910,2.67207544979442e-09,3.740905363258662e-09
1911,2.128149656499545e-09,2.6601871816467337e-09
1912,5.209421227725386e-10,1.5628263128064646e-09
1913,1.060597942803554e-09,1.060597942803554e-09
1914,6.696743715117748e-10,6.696743715117748e-10
1915,2.3561523843085297e-09,2.3561523843085297e-09
1916,4.394984820521586e-09,4.394984820521586e-09
1917,0.0,0.0
1918,8.040463406189247e-09,3.44591288836682e-09
1919,3.6831393490643904e-09,0.0
1920,1.514446346106979e-09,3.786115865267448e-09
