year,devrez_VERB avoir_VERB
1800,1.5720821977538435e-08
1801,1.6668277424969347e-08
1802,0.0
1803,0.0
1804,1.9774807569206132e-08
1805,1.7057265822018053e-08
1806,5.76333825108577e-09
1807,0.0
1808,4.5321479902327155e-09
1809,2.259030518203531e-09
1810,0.0
1811,7.521229861140455e-09
1812,8.00162425207418e-09
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,1.1921177378582115e-09
1819,0.0
1820,5.933240565525466e-09
1821,1.97229765852569e-09
1822,7.017931125119503e-09
1823,0.0
1824,1.2631669044083083e-08
1825,2.641632912414593e-09
1826,6.1655889282974385e-09
1827,1.1060727445055818e-08
1828,3.668920500743411e-09
1829,8.573175946935407e-09
1830,0.0
1831,9.354723218280014e-09
1832,0.0
1833,1.2741991461950875e-08
1834,1.4001796166951408e-08
1835,6.806779140333674e-09
1836,6.72075017860152e-09
1837,4.87052354003481e-09
1838,5.049729523420865e-09
1839,2.0974426639952526e-09
1840,4.458782232319436e-09
1841,5.778493683550323e-09
1842,9.391571076378114e-09
1843,8.269675610961258e-09
1844,4.390849017710252e-09
1845,1.3950569588416784e-08
1846,5.269050973311096e-09
1847,3.775256551818984e-09
1848,4.02261068899179e-09
1849,4.1897072478036534e-09
1850,6.788996032014438e-10
1851,5.159551008659946e-09
1852,1.0416872697760482e-08
1853,1.1943863675867306e-09
1854,3.117398783558656e-09
1855,1.1675261646360013e-08
1856,1.0354378465748937e-09
1857,2.9289055625270066e-09
1858,4.893676019968041e-10
1859,9.165912473463322e-09
1860,5.034902272882391e-09
1861,4.2443675241088386e-09
1862,8.584174260306554e-09
1863,1.2986014041871385e-08
1864,1.6302074357099627e-08
1865,7.0602665935837194e-09
1866,9.731225603104576e-09
1867,3.396968040192405e-09
1868,8.397785578040384e-09
1869,1.953407657850903e-09
1870,2.2936195165357276e-09
1871,1.1683295220166201e-08
1872,3.628403577593531e-09
1873,5.9860045809045914e-09
1874,5.974609140757536e-10
1875,6.865832347102696e-09
1876,1.3301232115736639e-08
1877,6.184815992682502e-10
1878,4.831270938865373e-09
1879,1.5273313280772527e-08
1880,7.059631101924424e-09
1881,7.669758161910067e-09
1882,6.655385131892899e-09
1883,1.2006744043446815e-08
1884,6.601696966868076e-09
1885,1.740321664556177e-08
1886,4.5174246565693466e-09
1887,7.1818169189441505e-09
1888,8.876860135842435e-09
1889,6.891650361495749e-09
1890,1.3108772733971819e-08
1891,1.1473596295275001e-08
1892,1.3790726782758611e-08
1893,6.15841644346915e-09
1894,6.301539290376468e-09
1895,5.416753268150387e-09
1896,1.0614652268259306e-08
1897,8.740070001067579e-09
1898,3.960848538042683e-09
1899,5.527578395003729e-09
1900,3.114631885736685e-09
1901,1.1736351446245408e-08
1902,8.838511256215043e-09
1903,1.6200660368781428e-08
1904,3.7622376325430196e-09
1905,1.4450125540577119e-08
1906,1.9547901075611662e-08
1907,6.685696440911215e-09
1908,1.4734167219643268e-09
1909,5.5009836685826485e-09
1910,1.60324518105881e-08
1911,1.1172785363555704e-08
1912,8.335073964360618e-09
1913,7.954484182448596e-09
1914,6.027069510139427e-09
1915,2.3561523843085297e-09
1916,3.2962386153911893e-09
1917,1.0966424435210342e-09
1918,1.9526840588923733e-08
1919,1.2890987832747669e-08
1920,5.300562211374427e-09
1921,4.543648568500203e-09
1922,5.164555005876537e-09
1923,2.1231896241147297e-09
1924,2.578324886925998e-09
1925,2.1996355847875293e-09
1926,0.0
1927,2.2298449753321847e-09
1928,4.570416489713125e-09
1929,4.4561625500705304e-09
1930,5.2518016602221e-09
1931,7.983749661377715e-09
1932,4.383814644626227e-09
1933,8.02946331646126e-09
1934,7.188948103475923e-09
1935,5.98414207075848e-09
1936,6.0623572828433225e-09
1937,1.1332006444320086e-08
1938,1.2965214457594243e-09
1939,0.0
1940,2.5357829169792012e-09
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,0.0
1946,4.1763312808029696e-09
1947,0.0
1948,2.174377566888097e-09
1949,3.9268033269479474e-09
1950,3.190608444114673e-09
1951,3.1984206394497505e-09
1952,7.381362632230548e-09
1953,1.0773827385790469e-09
1954,9.772536113672459e-10
1955,7.508486277174597e-09
1956,4.360570571293465e-09
1957,4.417518795207798e-09
1958,9.099467845885556e-09
1959,1.007597205671118e-08
1960,2.076250060767393e-09
1961,4.86371165564492e-09
1962,5.7077609305622445e-09
1963,6.466053248388448e-10
1964,1.8251904432275978e-09
1965,4.924839203113152e-09
1966,8.862519607077957e-09
1967,4.930335695263466e-09
1968,5.3896989093971115e-09
1969,6.358460868938209e-09
1970,3.219107425067591e-09
1971,1.541519245584766e-09
1972,9.747279428040656e-09
1973,5.513203671370093e-09
1974,6.750686232237513e-09
1975,1.7134440533084216e-09
1976,3.4281160132820787e-09
1977,2.3507127355770763e-09
1978,5.346532105932056e-09
1979,5.266775904289034e-09
1980,4.548120546843393e-09
1981,7.590659656386833e-09
1982,2.483000915987077e-09
1983,4.4207211225000265e-09
1984,3.479405208395292e-09
1985,4.812446441349039e-09
1986,8.392279760016663e-09
1987,1.8332451112712533e-09
1988,5.99655392008458e-09
1989,3.841685636274406e-09
1990,5.448650863826288e-09
1991,7.6199047072123e-09
1992,8.815910668147353e-09
1993,2.2156829704300662e-09
1994,1.2659823411809157e-08
1995,7.591431483433553e-09
1996,3.2028553142993132e-09
1997,9.110299181713799e-09
1998,7.629006759657386e-09
1999,6.8553016596695215e-09
2000,9.719669513685858e-09
2001,9.638665865452367e-09
2002,8.324320788233308e-09
2003,1.1667384391955693e-08
2004,9.690540814233373e-09
2005,1.261049931144953e-08
2006,1.7706927479821388e-08
2007,1.7176262190332636e-08
2008,2.299017509699297e-08
2009,2.384096298158056e-08
2010,3.023227534981743e-08
2011,4.397567821001758e-08
2012,4.1872308287338456e-08
2013,5.048316253919438e-08
2014,4.222617988602906e-08
2015,3.8346755104612384e-08
2016,5.178350193091319e-08
2017,4.578412671207843e-08
2018,4.646640050509632e-08
2019,4.489738358870454e-08
