year,moins_ADV apporté_VERB,moins_ADV rapporté_VERB
1800,1.8864987794131594e-08,2.2009151834367913e-08
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,5.851017448321727e-09
1804,9.39303390623536e-08,1.730295728918918e-08
1805,6.822906328807221e-08,1.1371510844071508e-08
1806,2.0171682990621775e-08,5.76333825108577e-09
1807,9.11025637151397e-08,0.0
1808,6.571614363792833e-08,0.0
1809,3.162642769893864e-08,2.9367397402779716e-08
1810,5.616304221689461e-08,0.0
1811,4.763445815569867e-08,0.0
1812,4.267533171287141e-08,0.0
1813,1.4378708002027452e-08,2.8757416448144113e-09
1814,3.1466771410748606e-09,0.0
1815,1.6183340889597275e-08,0.0
1816,1.1588019432906549e-08,9.270415546325239e-09
1817,7.784366928831332e-09,3.113746815941454e-09
1818,3.5763532135746345e-09,5.960588467246453e-09
1819,1.8631890696951814e-08,7.24573512300708e-09
1820,1.4239777357261119e-08,7.119888678630559e-09
1821,1.0847637454958203e-08,7.88919063410276e-09
1822,1.5038423839541792e-08,1.2030739071633434e-08
1823,1.581229902569703e-08,1.2847492847356534e-08
1824,2.189489300974401e-08,8.421112696055388e-09
1825,4.138558296062911e-08,1.8491430608946757e-08
1826,5.284790383086602e-09,7.0463874735082754e-09
1827,9.217273166939322e-09,2.7651818612639545e-09
1828,3.210305266065916e-08,6.420610709767516e-09
1829,2.4004892296147773e-08,4.286587973467704e-09
1830,7.305785310052215e-09,7.305785310052215e-09
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,1.7588959622116818e-08,1.8941957335982806e-08
1833,1.2278646011054661e-07,1.1583628278799551e-08
1834,1.0361329572106115e-07,1.120143711119681e-08
1835,1.8907719834260206e-08,7.563087933704082e-10
1836,2.9571300075303952e-08,3.36037508930076e-09
1837,2.435261770017405e-08,6.262101948095733e-09
1838,2.7142295522253335e-08,2.3354999711955315e-08
1839,3.146163862766116e-08,9.088918062616358e-09
1840,2.293087852933695e-08,5.095750932326837e-09
1841,4.044945711711989e-08,8.988767952189392e-09
1842,1.609983613093391e-08,6.037438549100216e-09
1843,6.438533262098645e-08,2.008349753168659e-08
1844,8.617040947456189e-08,3.2931368743049916e-09
1845,1.6182660544927785e-08,1.1160455670733427e-08
1846,2.1661655580373917e-08,5.269050973311096e-09
1847,2.6966118227278457e-08,1.941560512364049e-08
1848,1.045878850192139e-08,9.65426583121598e-09
1849,3.016589289472904e-08,1.256912263158938e-08
1850,2.5798184921654865e-08,6.1100964288129944e-09
1851,2.4507867735223954e-08,1.9348316282474798e-09
1852,3.841221740685796e-08,9.114764054629632e-09
1853,2.20961471342207e-08,7.763511611358354e-09
1854,2.234135720868835e-08,6.754363734984281e-09
1855,1.326734277995456e-08,2.653468555990912e-09
1856,2.485050742961903e-08,5.694908100650764e-09
1857,1.8061584228235006e-08,4.393358121745905e-09
1858,3.3766365703513657e-08,2.936205500958522e-09
1859,3.0043821652725455e-08,8.656694916453489e-09
1860,1.876645328025006e-08,7.781213007262977e-09
1861,2.4994607272788016e-08,5.659156698811785e-09
1862,8.584174260306554e-09,5.873382225018986e-09
1863,1.897955925755923e-08,6.99246927027275e-09
1864,1.4863656971897399e-08,7.671564716815737e-09
1865,1.4120533187167439e-08,9.413688495385486e-09
1866,2.919367680931373e-08,1.9462451650298362e-09
1867,3.688136729351754e-08,7.279217228983725e-09
1868,2.0747471296544973e-08,1.0373735648272486e-08
1869,2.1487483792270723e-08,1.4650557433881772e-09
