year,les_DET arts_NOUN,les_DET rares_ADJ
1800,4.5247672190384947e-05,3.9616472946590875e-07
1801,3.912521257376511e-05,4.7385533363808463e-07
1802,4.153655066829742e-05,3.8938418356337934e-07
1803,4.048904326481306e-05,3.9396852713480257e-07
1804,4.027881173840342e-05,4.3504577362796226e-07
1805,4.311792697819783e-05,4.2927452170715696e-07
1806,4.534018168556031e-05,4.7547540571457603e-07
1807,4.801389907527209e-05,4.811353999656376e-07
1808,3.9787727871498646e-05,5.008023649111237e-07
1809,3.578756209066114e-05,4.563241544630614e-07
1810,3.754265478050911e-05,4.937667341664564e-07
1811,3.647796724237651e-05,4.3121721660099865e-07
1812,3.812240651512866e-05,3.360682256925429e-07
1813,3.824448761946542e-05,5.837755487902996e-07
1814,3.671857689724334e-05,5.349350953309795e-07
1815,3.341859902938893e-05,5.178669253425028e-07
1816,2.9528590809846378e-05,4.4729755188654963e-07
1817,3.207470657606848e-05,4.2191268789792957e-07
1818,3.106420353304884e-05,4.3273874617000274e-07
1819,3.446175026766696e-05,3.5193570546709907e-07
1820,3.125393749314753e-05,4.2126008814591387e-07
1821,3.4561559809631603e-05,4.0629330300134825e-07
1822,3.086786915673656e-05,3.970143893639033e-07
1823,2.9126255565614656e-05,4.714041565989646e-07
1824,2.7163984043454548e-05,4.429505224834429e-07
1825,3.2852227807467216e-05,4.473164914031713e-07
1826,2.961596720396642e-05,4.104520634484743e-07
1827,3.0185647712954733e-05,3.152307312959124e-07
1828,2.7465538266824296e-05,4.173396952467101e-07
1829,3.197537445842613e-05,3.7379046347041367e-07
1830,2.8974743937482117e-05,6.042927793714625e-07
1831,2.6205700084602768e-05,6.314438181220794e-07
1832,2.9242323105194146e-05,6.994994166120705e-07
1833,2.843896600168705e-05,6.961760661283733e-07
1834,2.7117744961557833e-05,6.58084449156604e-07
1835,2.3476582086345843e-05,6.716022014074952e-07
1836,2.2072288142993557e-05,7.238248045382534e-07
1837,2.318299692127823e-05,8.314679433851779e-07
1838,2.260953234767271e-05,7.587218675553231e-07
1839,2.385701067453283e-05,9.543363788111492e-07
1840,2.2706028898866748e-05,8.783800495848482e-07
1841,2.277496923497324e-05,9.617982001941527e-07
1842,2.118336024992118e-05,1.0941180832446662e-06
1843,2.33163508323031e-05,1.035481517419612e-06
1844,2.134227001704403e-05,1.2491964938021738e-06
1845,2.0550305787736534e-05,1.2148155974500696e-06
1846,2.145616139870299e-05,1.2868193977055853e-06
1847,2.196498213535847e-05,1.2043068053912975e-06
1848,1.9405075526890414e-05,1.1134586657135515e-06
1849,1.7859885637960815e-05,1.378413756469854e-06
1850,1.9543482764561304e-05,1.2518908931724582e-06
1851,1.8847195018878438e-05,1.4969146917565013e-06
1852,2.088648052200881e-05,1.6100578363875684e-06
1853,2.1364585627736687e-05,1.5640489579027417e-06
1854,1.9926931617675336e-05,1.481283902649011e-06
1855,2.0755961188001493e-05,1.596326669073278e-06
1856,2.0478371190790767e-05,1.7333229749283419e-06
1857,1.9153577291319834e-05,1.5899074696790194e-06
1858,1.9120571487007965e-05,1.709361043822355e-06
1859,2.097771677611604e-05,2.0012240895539435e-06
1860,1.9160548887953155e-05,1.887630588726097e-06
1861,2.0510198549317238e-05,1.7477361211604148e-06
