year,pouvais_VERB aller_VERB
1800,2.5153315874604232e-08
1801,4.0480102825313224e-08
1802,2.0140561218795483e-08
1803,3.510610468993036e-08
1804,2.7190360185613827e-08
1805,4.5486043376286034e-08
1806,8.645007376628655e-09
1807,1.7081731584767113e-08
1808,2.039466551195801e-08
1809,3.840352036377226e-08
1810,2.3401266702194334e-08
1811,5.766276700569506e-08
1812,2.9339290108509886e-08
1813,5.751483289628823e-09
1814,2.8320094713762956e-08
1815,1.8880564667256294e-08
1816,1.622322720606917e-08
1817,5.293369653713853e-08
1818,3.2187177367859476e-08
1819,1.5526575580793178e-08
1820,3.20394981656591e-08
1821,5.818278125957477e-08
1822,8.822541985864518e-08
1823,5.830785099192326e-08
1824,8.5053237341981e-08
1825,7.308517524506897e-08
1826,4.227832306469281e-08
1827,6.175572764277604e-08
1828,4.586150481600271e-08
1829,8.487444347338169e-08
1830,4.800944353178238e-08
1831,1.153749238369528e-07
1832,4.464889968858188e-08
1833,7.18184978154568e-08
1834,7.654315226091057e-08
1835,5.899208588289184e-08
1836,7.325617445985699e-08
1837,4.244313345225237e-08
1838,6.627769977285425e-08
1839,5.383435919270596e-08
1840,4.0129037870428874e-08
1841,6.099521243640993e-08
1842,5.366612043644636e-08
1843,4.1939067330076796e-08
1844,3.512679214168202e-08
1845,3.682950477923441e-08
1846,4.27378594736183e-08
1847,4.0988499705463255e-08
1848,3.137636639394259e-08
1849,6.200767188602185e-08
1850,3.2587180953669304e-08
1851,5.4175284702751014e-08
1852,4.7526981461487594e-08
1853,3.762317035693741e-08
1854,3.4810952342922974e-08
1855,8.013475394363923e-08
1856,3.520488789376941e-08
1857,3.026535466688074e-08
1858,5.9213480341213653e-08
1859,5.9578429301154756e-08
1860,6.087654469411063e-08
1861,5.7063161307269183e-08
1862,7.499857446191527e-08
1863,5.094513255698985e-08
1864,4.6029388300894425e-08
1865,4.848049783845454e-08
1866,5.54679857600604e-08
1867,4.4160586298858107e-08
1868,5.08807040944248e-08
1869,4.102156125895817e-08
1870,5.447346396181274e-08
1871,7.859671313781291e-08
1872,9.071008832961525e-08
1873,4.42964314117944e-08
1874,5.974609251779839e-08
1875,5.263805036292979e-08
1876,5.985554452081487e-08
1877,3.896434108696667e-08
1878,3.623453181944569e-08
1879,4.7652736867576095e-08
1880,5.390990764908565e-08
1881,5.020205406935929e-08
1882,9.983077831066112e-08
1883,5.434631589196215e-08
1884,5.479408571318345e-08
1885,2.3848851782304337e-08
1886,3.0976625708944994e-08
1887,6.594213886046418e-08
1888,4.311618084784641e-08
1889,4.9494580878217675e-08
1890,4.784702056781498e-08
1891,4.143242904319777e-08
1892,5.014809900671935e-08
1893,4.92673315477532e-08
1894,3.0247388593807045e-08
1895,5.055636265183239e-08
1896,5.425266635938897e-08
1897,3.96216535136773e-08
1898,3.508180057565369e-08
1899,3.979856444402685e-08
1900,5.0353214930964896e-08
1901,3.129693837422565e-08
1902,2.553347577816112e-08
1903,3.348136701220028e-08
1904,4.192207825326477e-08
1905,4.5930754311029887e-08
1906,3.240836221607424e-08
1907,3.599990350267035e-08
1908,5.893667065492991e-08
1909,4.2357573448725816e-08
1910,4.435645095668406e-08
1911,5.054355511902031e-08
1912,5.990834495150921e-08
1913,4.560571298384275e-08
1914,4.68772043404897e-08
1915,3.534228554258334e-08
1916,5.273981784625903e-08
1917,5.15421945124217e-08
1918,4.5945505178224266e-08
1919,5.4326307008523145e-08
1920,4.543338860685253e-08
1921,3.862101038976107e-08
1922,2.3609393551282665e-08
1923,3.3971033985835675e-08
1924,5.801231139912488e-08
1925,5.27912540349007e-08
1926,6.35329868714507e-08
1927,5.1286434654684854e-08
1928,5.255979118601317e-08
1929,5.458799279267623e-08
1930,5.987053697253941e-08
1931,6.729160162421977e-08
1932,4.164623845781534e-08
1933,5.735331143341682e-08
1934,2.995395220750652e-08
1935,5.38572777486479e-08
1936,4.849885826274658e-08
1937,4.910535977842301e-08
1938,3.5006078036303734e-08
1939,5.352917753498332e-08
1940,7.100192078723921e-08
1941,5.312704587367989e-08
1942,6.371844563091145e-08
1943,4.935499831049128e-08
1944,5.1410978585408884e-08
1945,6.099811145077183e-08
1946,7.099762910911522e-08
1947,5.8412268799656886e-08
1948,6.740570768215548e-08
1949,4.908504180889395e-08
1950,4.3604980959344175e-08
1951,5.970385075215745e-08
1952,4.323369751091377e-08
1953,4.632745742583211e-08
1954,1.0456613352971544e-07
1955,6.945349895204345e-08
1956,6.192010459926678e-08
1957,5.301022554249357e-08
1958,6.4523497655955e-08
1959,6.510628480782543e-08
1960,7.266874746392205e-08
1961,7.365049015106706e-08
1962,8.181123689610104e-08
1963,7.177319361062473e-08
1964,5.049693641012709e-08
1965,6.073967995234852e-08
1966,5.926809976131153e-08
1967,6.015009290649687e-08
1968,6.243067929290191e-08
1969,5.359274268812442e-08
1970,5.5184699476740207e-08
1971,5.446701223377204e-08
1972,5.0788454331041066e-08
1973,5.458071683506205e-08
1974,4.894247496167736e-08
1975,4.226495420311949e-08
1976,4.742227233123231e-08
1977,5.171568062678489e-08
1978,5.999996943728547e-08
1979,4.330460257051527e-08
1980,5.798853663918635e-08
1981,3.985096341807548e-08
1982,6.145427278170246e-08
1983,5.241712486281358e-08
1984,6.668859953151696e-08
1985,6.978047650818553e-08
1986,6.474044056403727e-08
1987,7.638521282160582e-08
1988,5.876622566347578e-08
1989,7.628489839817121e-08
1990,6.211462277860846e-08
1991,7.502675458681551e-08
1992,6.281336339952759e-08
1993,8.585771382740859e-08
1994,8.017888575295729e-08
1995,7.157635195653711e-08
1996,6.725996115619637e-08
1997,6.521056405972558e-08
1998,7.629006404386018e-08
1999,8.911892024343615e-08
2000,7.201391127864554e-08
2001,6.615629644102228e-08
2002,8.674818730014522e-08
2003,7.875484442365632e-08
2004,7.708384686111458e-08
2005,9.728098859795864e-08
2006,9.26525203226447e-08
2007,9.666640465866294e-08
2008,1.0941619876803088e-07
2009,1.09668427228371e-07
2010,1.483271034885547e-07
2011,1.4607573461944412e-07
2012,2.131062188936994e-07
2013,2.345654195323732e-07
2014,2.2022577184088732e-07
2015,2.1766770430531324e-07
2016,2.247403898536504e-07
2017,2.2715970260378526e-07
2018,2.7311918415762193e-07
2019,2.43619325601685e-07
