year,vos_DET ondes_NOUN,vos_DET rondes_NOUN
1800,5.659496338239478e-08,3.144164484325529e-09
1801,3.333655484993869e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,6.631153492975272e-08,0.0
1804,1.9774807125116922e-08,0.0
1805,9.381496779425902e-08,0.0
1806,4.3225035994964855e-08,5.76333825108577e-09
1807,3.4163461837266595e-08,0.0
1808,1.8128592405020072e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,3.042164831157379e-08,0.0
1811,2.2563690915688994e-08,0.0
1812,8.00162469616339e-09,0.0
1813,7.476928409744232e-08,0.0
1814,1.2586708120210233e-08,0.0
1815,4.8550023556970245e-08,0.0
1816,1.622322720606917e-08,6.952811659743929e-09
1817,2.490997497162084e-08,0.0
1818,5.9605887781089e-08,0.0
1819,1.8631890696951814e-08,0.0
1820,5.3399165089729195e-08,0.0
1821,3.4515209801355695e-08,0.0
1822,1.7043547018147365e-08,0.0
1823,2.569498569471307e-08,0.0
1824,2.189489300974401e-08,0.0
1825,5.3713203662653086e-08,0.0
1826,1.4973573381205085e-08,0.0
1827,2.304318225121449e-08,9.217273055917019e-10
1828,2.7516904310687096e-08,0.0
1829,2.400489212961432e-08,0.0
1830,3.444155693976825e-08,0.0
1831,1.09138444948087e-08,1.5591206103948707e-09
1832,2.8412936226018815e-08,0.0
1833,2.085053074640797e-08,6.950177322551099e-09
1834,4.1071937850745144e-08,9.334530925997342e-10
1835,1.285724948729694e-08,0.0
1836,1.612980005116782e-08,2.016224964762614e-09
1837,1.113262537710824e-08,1.3915781860163179e-09
1838,1.5780405204779413e-08,0.0
1839,2.516931019158619e-08,1.3982950353153e-09
1840,2.6752692505738196e-08,9.554533164646273e-09
1841,2.247191988047348e-08,0.0
1842,6.708265054555795e-09,2.0124795163667386e-09
1843,1.5357969118667825e-08,2.3627644285539873e-09
1844,1.5916828077777723e-08,5.488561272137815e-10
1845,2.343695659767775e-08,2.7901139176833567e-09
1846,1.1709002212256792e-08,2.9272506640865004e-09
1847,4.853901280910122e-09,1.6179670936367074e-09
1848,5.63165514222419e-09,1.6090443422100975e-09
1849,1.8434712201198522e-08,0.0
1850,2.308258650884909e-08,1.3577992064028876e-09
1851,1.3543821619776963e-08,6.449438760824933e-10
1852,3.906327261660181e-09,1.9531636308300904e-09
1853,1.2541057081705276e-08,1.7915795513800958e-09
1854,6.754363734984281e-09,2.5978321716024766e-09
1855,2.812676669350367e-08,3.714855978387277e-09
1856,2.070875626536406e-08,0.0
1857,2.2454942127936306e-08,4.881509085841174e-10
1858,1.6149131365494895e-08,3.4255731584664773e-09
1859,1.5785737383922083e-08,0.0
