year,veux_VERB approcher_VERB,veux_VERB rapprocher_VERB
1800,3.144164484325529e-09,6.288328968651058e-09
1801,1.4287095950749062e-08,0.0
1802,0.0,6.713520406265161e-09
1803,9.751696339321825e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,5.693910232196231e-09,1.1387820464392462e-08
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,5.394447111228828e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,0.0
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,9.86148829262845e-10,5.9168927535324656e-09
1822,4.210758675071702e-08,1.0025615893027862e-09
1823,3.9530747564242574e-09,0.0
1824,5.052667617633233e-09,0.0
1825,0.0,0.0
1826,1.7615968683770689e-09,0.0
1827,0.0,7.373818444733615e-09
1828,4.586150570418113e-09,9.172301140836225e-09
1829,0.0,1.0287811491593857e-08
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,0.0,0.0
1832,0.0,2.705993873419743e-09
1833,0.0,1.853380560135065e-08
1834,0.0,1.213489042584115e-08
1835,1.5126175867408165e-09,3.025235173481633e-09
1836,5.376600054063374e-09,6.72075017860152e-09
1837,6.957890930081589e-10,2.7831563720326358e-09
1838,4.418513555037862e-09,3.1560809521380406e-09
1839,0.0,6.292327547896548e-09
1840,0.0,4.458782232319436e-09
1841,5.1364388298225094e-09,1.2841097074556274e-09
1842,0.0,6.708265054555795e-10
1843,0.0,6.497602011990011e-09
1844,0.0,1.0977122322231025e-08
1845,0.0,5.580227946389016e-10
1846,0.0,1.3465353276842507e-08
1847,5.393223645455691e-10,5.393223645455691e-10
1848,2.413566457803995e-09,5.63165514222419e-09
1849,8.379414939696517e-10,7.54147322368226e-09
1850,1.3577992064028876e-09,6.788996032014438e-10
1851,6.449438760824933e-10,9.029214709244116e-09
1852,1.9531636308300904e-09,0.0
1853,4.777545470346922e-09,0.0
1854,5.195664454227256e-10,0.0
1855,0.0,5.306937111981824e-10
1856,0.0,3.6240324075009767e-09
1857,1.4644527812635033e-09,1.4644527812635033e-09
1858,0.0,4.893676130990343e-09
1859,0.0,6.110608019582742e-09
1860,0.0,3.661747127736703e-09
1861,1.4147891747029462e-09,2.8295783494058924e-09
1862,0.0,4.517986429419807e-09
1863,0.0,7.491931519609807e-09
1864,6.712618905169165e-09,6.233146443435089e-09
1865,0.0,1.2237795665726026e-08
1866,7.298419202328432e-09,1.4596839292835284e-09
1867,0.0,1.94112459439566e-09
1868,4.93987406535723e-10,4.939874287401835e-09
1869,0.0,3.906815315701806e-09
1870,1.7202146374017957e-09,1.1468097582678638e-09
1871,0.0,4.248470908407853e-09
1872,2.4189357183956872e-09,2.4189357183956872e-09
1873,0.0,1.7958012854535355e-09
1874,0.0,4.779687312606029e-09
1875,0.0,4.005069165202713e-09
1876,0.0,6.650616057868319e-09
1877,1.2369631985365004e-09,1.2369631985365004e-09
1878,6.039088673581716e-10,0.0
1879,1.0385853066452455e-08,1.1607718342077078e-08
1880,0.0,6.417846254436199e-10
1881,0.0,6.972507571312292e-10
1882,0.0,6.655385131892899e-10
1883,1.2638677882037541e-09,2.5277355764075082e-09
1884,0.0,3.9610181801208455e-09
