year,voulez_VERB établir_VERB,voulez_VERB rétablir_VERB
1800,3.458580977167003e-08,3.144164484325529e-09
1801,5.2386017301842e-08,2.3811825400343878e-08
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,4.6808139586573816e-08,5.851017448321727e-09
1804,3.460591457837836e-08,1.4831105232815389e-08
1805,2.55858996212055e-08,1.421438877713399e-08
1806,3.1698359492793315e-08,0.0
1807,3.4163463169534225e-08,0.0
1808,1.1330369531492579e-08,0.0
1809,4.51806094758922e-08,2.259030518203531e-09
1810,3.978215445954447e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,7.468182872116813e-08,0.0
1813,3.4508900625951355e-08,8.627225156487839e-09
1814,5.97868634599763e-08,6.293354282149721e-09
1815,2.4275012222574333e-08,4.315557688983063e-08
1816,4.8669683394564345e-08,2.3176038865813098e-09
1817,6.227493543065066e-08,1.556873407970727e-09
1818,7.867976847819591e-08,1.1921177378582115e-09
1819,7.763287612760905e-08,1.8631890696951814e-08
1820,2.7292905713238724e-08,5.933240565525466e-09
1821,6.212737702071536e-08,2.1695274909916407e-08
1822,3.0076847679083585e-08,0.0
1823,4.743689885344793e-08,2.9648061783404955e-09
1824,3.621078548121659e-08,1.6000115010683658e-08
1825,8.805443485471187e-09,7.044354433105582e-09
1826,4.315912249808207e-08,1.0569580766173203e-08
1827,3.410390903013649e-08,0.0
1828,6.053718948351161e-08,2.7516904310687096e-09
1829,2.5719527840806222e-08,2.571952872898464e-09
1830,5.5315229730013016e-08,3.026682549034376e-08
1831,2.182768810143898e-08,1.5591206103948707e-09
1832,4.7354891563600177e-08,5.411987746839486e-09
1833,1.50587169400751e-08,1.6217079235048004e-08
1834,1.166816332442977e-07,1.4001796166951408e-08
1835,5.218530674255817e-08,9.832014313815307e-09
1836,5.645430078971003e-08,1.344150035720304e-08
1837,3.6876823372722356e-08,8.349468672008697e-09
1838,2.840472923537618e-08,6.312161904276081e-10
1839,4.194885150354821e-08,2.7965900706306e-09
1840,6.942960339983983e-08,1.7835128929277744e-08
1841,7.704657889462396e-08,1.4125206782011901e-08
1842,5.2995293486901573e-08,2.3478927246856074e-08
1843,4.7255287682901326e-08,8.269675610961258e-09
1844,4.9945906965831455e-08,9.330554107123135e-09
1845,5.412821124650691e-08,1.4508592549589139e-08
1846,6.030136034951283e-08,8.781752214304106e-09
1847,7.11905556727288e-08,1.5101026207275936e-08
1848,1.1021953838508125e-07,1.287235473768078e-08
1849,1.2736710175431654e-07,3.6869426622843093e-08
1850,1.0726613908218496e-07,3.59816780814981e-08
1851,5.611011744122152e-08,1.2898877521649865e-08
1852,6.966283905285309e-08,9.114764054629632e-09
1853,2.9859659633757474e-08,7.166318205520383e-09
1854,3.013485283531736e-08,1.8704392701351935e-08
1855,2.5473298137512757e-08,6.8990182455763716e-09
1856,2.485050742961903e-08,1.3978411317339123e-08
1857,2.4895696171256532e-08,5.857811125054013e-09
1858,3.6213201326518174e-08,8.31924928945682e-09
1859,3.971895168319861e-08,1.0693564256314403e-08
1860,5.446849016266242e-08,1.6935580049448618e-08
1861,5.7063161307269183e-08,1.7920662287451705e-08
1862,5.873382136201144e-08,1.490935552794781e-08
1863,6.493007020935693e-08,1.6981710260211003e-08
1864,4.507044337742627e-08,8.63051052846231e-09
1865,5.318734253023649e-08,6.118897832863013e-09
1866,4.719644408623935e-08,4.379051787850585e-09
1867,3.396968040192405e-08,1.2132028714972876e-08
1868,4.3964877960434023e-08,1.0373735648272486e-08
1869,3.320792885119772e-08,8.30198221279943e-09
1870,4.931282049369656e-08,9.747882501187632e-09
1871,7.222400455475508e-08,1.6993883633631413e-08
1872,8.042961496812495e-08,1.269941218851045e-08
1873,4.0106229448610975e-08,8.380406590902112e-09
1874,5.377148326601855e-08,5.377148060148329e-09
1875,5.263805036292979e-08,9.7265964171811e-09
1876,3.023007266733657e-08,2.2370254981751714e-08
1877,3.030559980743419e-08,1.608052180301911e-08
1878,3.38188961279684e-08,9.662541877730746e-09
1879,3.5434087664043545e-08,8.55305515301552e-09
1880,4.6208491255583795e-08,1.0268554007097919e-08
1881,6.066081681410651e-08,1.4642266066289267e-08
1882,5.989846840748214e-08,9.983077475794744e-09
1883,4.676310894069502e-08,5.0554711528150165e-09
1884,2.1125430293977843e-08,8.582206056928499e-09
1885,5.220964993668531e-08,1.4824961702686323e-08
1886,8.066830048392148e-08,1.097088819790315e-08
1887,5.223139609711325e-08,4.570247291724172e-09
1888,6.02358412038484e-08,1.2047167707862627e-08
1889,3.3831739187917265e-08,4.385595886446936e-09
1890,4.7191583973926754e-08,1.9663159989136147e-09
1891,4.398211927991724e-08,1.3385862196457765e-08
1892,4.7013841708576365e-08,1.3163876211308434e-08
1893,3.1407925149551374e-08,1.4164357686752282e-08
1894,3.276800342177921e-08,1.1972924873759894e-08
1895,3.972285611553161e-08,2.4074457982692365e-09
1896,5.5432071377481407e-08,9.435246361988447e-09
1897,3.903898004864459e-08,9.905413378419325e-09
1898,2.9423445013776472e-08,1.640922953072277e-08
1899,3.3165470370022376e-08,6.080336234504102e-09
1900,3.1665425836990835e-08,2.07642125715779e-09
1901,4.191554126009578e-08,6.706486921359556e-09
1902,4.3210498290591204e-08,6.874397495693074e-09
1903,6.53426681651581e-08,5.400220270956879e-09
1904,6.019580212068831e-08,4.299700151477737e-09
1905,4.335037573355294e-08,7.2250627702885595e-09
1906,2.9321851613417493e-08,4.115347618238729e-09
1907,4.6285588695127444e-08,3.0857059130084963e-09
1908,5.549869541709995e-08,3.929111258571538e-09
1909,2.9705311987981986e-08,5.5009836685826485e-09
1910,2.939282950364941e-08,3.206490406526541e-09
1911,1.755723388896513e-08,3.7242617878519013e-09
1912,3.4903123946605774e-08,2.0837684910901544e-09
1913,1.96210621083992e-08,3.71209285532359e-09
1914,2.1429579888376793e-08,1.2723813114234872e-08
1915,3.534228465440492e-09,0.0
1916,1.3184954461564757e-08,3.2962386153911893e-09
1917,1.6449636319748606e-08,3.289927441585405e-09
1918,2.1824114071478107e-08,4.594550517822427e-09
1919,1.2890987832747669e-08,2.762354567309444e-09
1920,1.514446346106979e-08,2.2716695191604686e-09
1921,1.2116395886607734e-08,7.572747429129834e-10
1922,1.0329110011753073e-08,1.4755870969551665e-09
1923,1.6985516992917837e-08,4.246379248229459e-09
1924,1.933743654092268e-08,9.02413699321869e-09
1925,1.4297631523163545e-08,5.499089184013428e-09
1926,1.3375366592072169e-08,1.1146138456652466e-09
1927,1.1149224654616319e-08,4.4596899506643695e-09
1928,4.570416489713125e-09,3.4278122562625413e-09
1929,2.2280811862174232e-08,4.4561625500705304e-09
1930,1.1553964007759987e-08,6.302162347537887e-09
1931,1.8248570654577634e-08,2.2810713318222042e-09
1932,8.767629289252454e-09,2.1919073223131136e-09
1933,1.4911860191091364e-08,2.2941324395731044e-09
1934,7.188948103475923e-09,2.3963160344919743e-09
1935,3.590485242455088e-09,0.0
1936,6.0623572828433225e-09,9.699771652549316e-09
1937,1.2591118148108649e-09,5.0364472592434595e-09
1938,2.5930428915188486e-09,1.2965214457594243e-09
1939,4.588215141154706e-09,4.588215141154706e-09
1940,2.5357829169792012e-09,0.0
1941,1.4757512545315876e-08,0.0
1942,6.068423541449874e-09,3.034211770724937e-09
1943,2.9032352077962287e-09,0.0
1944,3.2131861615880553e-09,0.0
1945,1.089252066321933e-08,0.0
1946,1.8097434661967782e-08,4.1763312808029696e-09
1947,1.549713246618012e-08,1.1920870957027319e-09
1948,1.4133454406817236e-08,6.523132700664291e-09
1949,2.1597418964347526e-08,2.945102384188658e-09
1950,1.2762433776458693e-08,7.444753258312176e-09
1951,1.5992101864981123e-08,3.1984206394497505e-09
1952,8.435843135146115e-09,0.0
1953,2.1547654327491728e-08,2.1547654771580937e-09
1954,7.818028890937967e-09,1.9545072227344917e-09
1955,5.631364707880948e-09,3.754243138587299e-09
1956,9.593255967388359e-09,8.72114158667614e-10
1957,1.0602045463770082e-08,0.0
1958,5.790570245522986e-09,1.6544486891589827e-09
1959,1.007597205671118e-08,7.750747821333448e-10
1960,6.920833239831836e-09,2.7683333403416555e-09
1961,2.779263708063695e-09,3.47407969059077e-09
1962,5.7077609305622445e-09,1.9025869768540815e-09
1963,1.6165133231993423e-08,1.939815863494232e-09
1964,9.734349326606662e-09,4.867174663303331e-09
1965,1.2038495533772675e-08,8.20806533852192e-09
1966,4.985167390003653e-09,1.1078149508847446e-09
1967,1.4791006641701188e-08,4.930335584241163e-10
1968,1.0330256650092906e-08,3.1439910674890825e-09
1969,3.179230390060184e-08,6.8126366770115965e-09
1970,1.3796174869185052e-08,2.2993624781975086e-09
1971,1.490135304038631e-08,0.0
1972,3.5911027485013847e-09,1.0260293725750103e-09
1973,8.269805285010534e-09,4.410563025913916e-09
1974,9.00091468025721e-09,2.812785782069227e-09
1975,1.0851811893530794e-08,2.2845920710778955e-09
1976,1.1427053969725876e-08,1.7140580066410394e-09
1977,1.1753563455840776e-08,1.7630346071939584e-09
1978,5.940591130126904e-09,0.0
1979,8.192762912528906e-09,3.5111840102075575e-09
1980,1.0801786132219604e-08,2.2740602734216964e-09
1981,7.590659656386833e-09,6.325549528618524e-10
1982,9.311253101884631e-09,6.207502289967692e-10
1983,6.946847541655643e-09,1.2630632095778083e-09
1984,2.0296528902008504e-08,1.1598016991243298e-09
1985,2.8273122509858695e-08,1.2031116103372597e-09
1986,1.1988970705090196e-08,4.196139880008332e-09
1987,4.277571630240118e-09,2.4443267410134695e-09
1988,3.597932174415064e-09,3.597932174415064e-09
1989,8.780995486290522e-09,2.7440609784434855e-09
1990,7.083246433836621e-09,0.0
1991,7.6199047072123e-09,2.9307325455363298e-09
1992,2.7549720282848966e-09,4.4079553340736766e-09
1993,8.308811416668505e-09,2.7696036575264316e-09
1994,1.1077346151466827e-08,3.164955852952289e-09
1995,4.337960657352369e-09,0.0
1996,6.939520069693117e-09,0.0
1997,3.835915585170824e-09,1.438468344439059e-09
1998,8.10582001520288e-09,4.768129224785866e-10
1999,1.0511462811280126e-08,1.3710603763428253e-09
2000,4.418031274155965e-09,0.0
2001,8.762423675534592e-09,4.3812117822561447e-10
2002,5.6955880012310445e-09,4.38122149670761e-10
2003,6.250384210204629e-09,8.333845835650777e-10
2004,6.166707589017051e-09,3.523833003171717e-09
2005,8.557123898356167e-09,2.251874686720612e-09
2006,6.58862386870851e-09,8.235779835885637e-10
2007,3.1955835755326234e-09,1.1983438685803094e-09
2008,1.1495087548496485e-08,1.2772318758180745e-09
2009,9.53638501499654e-09,2.384096253749135e-09
2010,1.4171378737160012e-08,1.4171379625338432e-09
2011,1.1471915861704929e-08,2.2943831279320648e-09
2012,9.19148224198807e-09,3.4042526575461807e-09
2013,1.3666713094551142e-08,2.2313000336282585e-09
2014,7.795602385840539e-09,2.815078836704288e-09
2015,9.087958829923082e-09,3.103205470367243e-09
