year,ses_DET adieux_NOUN,ses_DET radieux_ADJ
1800,8.897985210865045e-07,0.0
1801,9.310423791930589e-07,0.0
1802,7.631034861788066e-07,0.0
1803,6.92370434762779e-07,0.0
1804,1.025818086475283e-06,0.0
1805,9.779499059447971e-07,0.0
1806,1.0229925759830394e-06,0.0
1807,5.010640866665028e-07,0.0
1808,8.588420192801038e-07,0.0
1809,1.0301178978711079e-06,0.0
1810,1.2004850828972735e-06,0.0
1811,8.774768502917141e-07,0.0
1812,1.1175602878665813e-06,0.0
1813,1.4033619066822212e-06,0.0
1814,1.2869909120638567e-06,0.0
1815,1.0761921573898547e-06,0.0
1816,9.965696747826769e-07,0.0
1817,9.029865630783007e-07,0.0
1818,8.857434603548597e-07,0.0
1819,8.95365843689433e-07,0.0
1820,1.0929029219397535e-06,0.0
1821,1.2060600163010804e-06,0.0
1822,1.1298869679876589e-06,0.0
1823,1.2076642841307716e-06,0.0
1824,1.2235876800659184e-06,0.0
1825,1.2591783757898156e-06,0.0
1826,1.0772164444894372e-06,0.0
1827,1.0185087075953447e-06,9.217273055917019e-10
1828,9.456642779959168e-07,0.0
1829,1.127372607268029e-06,0.0
1830,1.3181723552690983e-06,3.1310507520032616e-09
1831,9.573000294693657e-07,0.0
1832,1.3164660201958611e-06,0.0
1833,1.2568236602561456e-06,0.0
1834,1.1826851020746432e-06,0.0
1835,1.2826996922399303e-06,2.2689263801112247e-09
1836,1.1243814537209573e-06,2.688300027031687e-09
1837,1.074298364933668e-06,3.478945576063097e-09
1838,1.0528686340549598e-06,3.1560809521380406e-09
1839,1.1535934003603643e-06,4.194885327990505e-09
1840,1.010232567821845e-06,7.64362617644565e-09
1841,9.412524386576138e-07,4.494383976094696e-09
1842,1.1491257585483083e-06,4.024959032733477e-09
1843,1.0189421457695857e-06,1.1813822142769936e-09
1844,1.0801488894429667e-06,5.488561272137815e-10
1845,1.034016201550969e-06,5.580227835366713e-09
1846,1.0110723573930613e-06,2.3418005312692003e-09
1847,1.1352736262182361e-06,5.9325460100012606e-09
1848,9.420954447669772e-07,1.6090443422100975e-09
1849,9.460359411406216e-07,0.0
1850,9.599640220514516e-07,2.0366988096043315e-09
1851,8.558405433234384e-07,0.0
1852,1.0696826358014278e-06,0.0
1853,1.088086034606306e-06,1.1943863675867306e-09
1854,9.8717619767541e-07,0.0
1855,1.2099816153465781e-06,4.776243400783642e-09
1856,1.0473453624371132e-06,3.1063134287023786e-09
