year,aviez_VERB ajouté_VERB
1800,0.0
1801,7.143547975374531e-09
1802,2.2378401354217203e-09
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,1.4234775136401367e-08
1808,6.798221985349073e-09
1809,0.0
1810,7.020380277111826e-09
1811,0.0
1812,2.9339290108509886e-08
1813,2.8757416448144113e-09
1814,3.776012391654149e-08
1815,2.697223555614414e-09
1816,0.0
1817,1.0898113522728181e-08
1818,2.384235475716423e-09
1819,0.0
1820,9.493184904840746e-09
1821,1.8736827200882544e-08
1822,1.1028177482330648e-08
1823,1.9765373782121287e-09
1824,1.3473780313688621e-08
1825,4.4027217427355936e-09
1826,1.8496766784892316e-08
1827,4.608636583469661e-09
1828,2.7516904310687096e-09
1829,5.143905745796928e-09
1830,3.1310507520032616e-09
1831,4.677361609140007e-09
1832,1.7588959622116818e-08
1833,5.791814139399776e-09
1834,1.8669061851994684e-09
1835,5.294161553592858e-09
1836,8.064899859050456e-09
1837,0.0
1838,6.312161904276081e-10
1839,2.0974426639952526e-09
1840,1.9109065441114126e-09
1841,5.778493683550323e-09
1842,2.683306021822318e-09
1843,2.953455480181333e-09
1844,2.195424508855126e-09
1845,5.022205318283568e-09
1846,5.269050973311096e-09
1847,5.393223645455691e-10
1848,2.413566457803995e-09
1849,0.0
1850,5.431196825611551e-09
1851,6.449438760824933e-10
1852,3.2552727180501506e-09
1853,4.180352064508952e-09
1854,1.558699391779328e-09
1855,1.0613874223963649e-09
1856,6.73034605824796e-09
1857,1.5620829074691756e-08
1858,1.663849857891364e-08
1859,1.5276520048956854e-09
1860,3.204028820036342e-09
1861,1.4147890858851042e-08
1862,2.2589932147099034e-09
1863,1.9978483312144135e-09
1864,1.2945765348604255e-08
1865,5.6482134525026595e-09
1866,3.4059290943133647e-09
1867,4.85281148598915e-09
1868,7.409810987013543e-09
1869,4.395167341186834e-09
1870,4.013834153937523e-09
1871,1.274541272522356e-08
1872,1.7537283625301825e-08
1873,3.591602570907071e-09
1874,1.4339061493728877e-08
1875,1.1443054281912168e-09
1876,1.813804439976252e-09
1877,5.566334504436554e-09
1878,2.4156354694326865e-09
1879,2.443730107160036e-09
1880,1.3477476912271413e-08
1881,6.972507571312292e-10
1882,1.3310770263785798e-09
1883,0.0
1884,6.601696966868076e-10
1885,6.445635691854079e-10
1886,3.872078213618124e-09
1887,2.6115698492645834e-09
1888,5.706553452000662e-09
1889,8.14467782106476e-09
1890,1.9663159989136147e-09
1891,1.2748440081367107e-09
1892,6.268512375839919e-10
1893,2.463366621796581e-09
1894,1.8904617871129403e-09
1895,3.0093072478365457e-09
1896,3.5382172747233653e-09
1897,2.330685422435863e-09
1898,4.52668391659472e-09
1899,1.1055156790007459e-09
1900,5.19105292084987e-09
1901,3.353243460679778e-09
1902,3.437198747846537e-09
1903,4.320176216765503e-09
1904,0.0
1905,2.580379465655369e-09
1906,1.5432553013283723e-09
1907,3.599990305858114e-09
1908,0.0
1909,3.300590023513905e-09
1910,1.6032452032632705e-09
1911,1.0108711201439746e-08
1912,6.251305251225858e-09
1913,5.833288518886093e-09
1914,4.018046340092951e-09
1915,2.3561523843085297e-09
1916,2.197492410260793e-09
1917,1.0966424435210342e-09
1918,3.44591288836682e-09
1919,4.603924352863942e-09
1920,3.786115865267448e-09
1921,0.0
1922,1.4755870969551665e-09
1923,2.1231896241147297e-09
1924,3.867487219366694e-09
1925,0.0
1926,5.57306911730393e-09
