year,ses_DET âmes_NOUN,ses_DET ames_NOUN,ses_DET rames_NOUN
1800,6.288328968651058e-09,6.288328968651058e-09,1.2576657582030748e-07
1801,0.0,1.1905912700171939e-08,8.572257326200372e-08
1802,6.713520406265161e-09,6.713520406265161e-09,4.923248297927785e-08
1803,3.900678446910888e-09,1.950339267864365e-08,7.606323038089613e-08
1804,0.0,2.4718509461507665e-09,1.3100809326260787e-07
1805,2.842877711017877e-09,8.528632911009026e-09,1.421438877713399e-08
1806,0.0,0.0,4.610670600868616e-08
1807,0.0,2.562259560079383e-08,4.839823830593559e-08
1808,0.0,0.0,1.0423940155490641e-07
1809,0.0,2.259030518203531e-09,7.228897658251299e-08
1810,2.3401267590372754e-09,2.106114038724627e-08,1.263668423234776e-07
1811,2.5070767684098882e-09,7.521229861140455e-09,1.1532553401139012e-07
1812,2.6672082320544632e-09,2.6672082320544632e-09,3.200649700829672e-08
1813,0.0,5.751483289628823e-09,2.5881675469463516e-08
1814,3.1466771410748606e-09,6.293354459785405e-08,1.2586708564299443e-08
1815,2.1577788444915313e-08,8.091670444798638e-09,3.776112933451259e-08
1816,1.1588019432906549e-08,0.0,4.8669681618207505e-08
1817,0.0,1.401186100480345e-08,2.646684760243545e-08
1818,1.0729059418679299e-08,1.1921177378582115e-09,5.6029534789558966e-08
1819,2.4842520929269085e-08,0.0,6.210629965863745e-08
1820,7.119888678630559e-09,1.1866481131050932e-08,7.950542357804125e-08
1821,1.972297603014539e-08,0.0,2.4653720620548825e-08
1822,5.012807946513931e-09,1.303330066093622e-08,6.115625694746996e-08
1823,3.9530747564242574e-09,8.894418535021487e-09,7.115534828017189e-08
1824,4.210556348027694e-09,1.2631669044083083e-08,3.3684450784221553e-08
1825,2.641632912414593e-09,5.283265824829186e-09,5.195211372210906e-08
1826,8.807984341885344e-10,4.403992281964975e-09,4.3159124052394304e-08
1827,9.217273055917019e-10,6.452091305675367e-09,3.871254605769536e-08
1828,9.172301251858528e-10,5.503380862137419e-09,8.805409379419871e-08
1829,3.0006116702452346e-08,7.715858174606183e-09,5.572564276690173e-08
1830,9.39315203396518e-09,1.0436835395921662e-08,6.470838376237964e-08
1831,1.4032085715598441e-08,1.4032085715598441e-08,7.327867024287116e-08
1832,3.5177919244233635e-08,2.705993873419743e-09,1.0959275009714275e-07
1833,1.6217079235048004e-08,3.706761031452288e-08,9.151066393542351e-08
1834,9.334531370086552e-09,2.240287422239362e-08,1.213489042584115e-07
1835,1.9664028627630614e-08,2.4201881387853064e-08,8.470658485748572e-08
1836,1.2097350121642592e-08,1.0753200274660202e-08,9.812294932132204e-08
1837,1.1828414692161004e-08,9.741046969047318e-09,7.375364052819577e-08
1838,2.1461350030449466e-08,1.1361890983607736e-08,5.3653376852480505e-08
1839,3.0063343814390464e-08,9.788065469251706e-09,7.900366938429215e-08
1840,1.9109066329292546e-08,0.0,2.051039686423728e-07
1841,2.632424944692957e-08,1.0914932513372833e-08,6.998397594770722e-08
1842,3.085801836277824e-08,2.683306021822318e-09,6.439934585600326e-08
1843,2.3627643841450663e-08,2.3627644840651385e-09,9.332919193028033e-08
1844,1.3721403568922597e-08,1.097712254427563e-09,4.335963410539989e-08
1845,2.0088820829045062e-08,1.674068439427856e-09,9.095771247302764e-08
1846,2.2832555401919308e-08,2.3418005312692003e-09,4.27378594736183e-08
1847,2.7505439703645607e-08,2.1572894581822766e-09,5.55502026600152e-08
1848,2.976732105253177e-08,2.574470947536156e-08,5.873011943435813e-08
1849,4.1897074254393374e-08,8.379414939696517e-10,1.1312209924341232e-07
1850,2.4440385715251978e-08,1.3577992064028876e-09,1.0251383741888276e-07
1851,2.837752988149589e-08,2.5152811611306447e-08,4.96606793465304e-08
1852,3.841221740685796e-08,6.510545436100301e-10,6.966283749854085e-08
1853,2.9859659633757474e-08,0.0,6.867721680237082e-08
1854,2.4939190268469247e-08,1.0391328908454511e-09,6.806320468344396e-08
1855,2.0697054736729115e-08,3.1841622671890946e-09,9.923972754677379e-08
1856,2.743910287872353e-08,5.177189121852166e-09,5.177189166261087e-08
1857,4.881509241272397e-08,5.857811125054013e-09,7.517523847866414e-08
1858,4.0128142586581816e-08,7.340513752396305e-09,7.095830389935998e-08
1859,2.13871282905842e-08,5.601390906662118e-09,8.147477315034735e-08
1860,1.556242520961426e-08,0.0,5.8587955015232396e-08
