year,puissions_VERB apporter_VERB,puissions_VERB rapporter_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,4.475680270843441e-09,0.0
1803,0.0,3.900678446910888e-09
1804,1.4831105232815389e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,4.078933102391602e-08
1809,4.518061036407062e-09,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,7.521229861140455e-09
1812,0.0,2.400487453257938e-08
1813,2.8757416448144113e-09,0.0
1814,6.293354282149721e-09,1.8880061958270744e-08
1815,5.394447111228828e-09,8.091670444798638e-09
1816,3.9399267848239106e-08,6.952811659743929e-09
1817,0.0,2.6466848268569265e-08
1818,1.4305412854298538e-08,3.5763532135746345e-09
1819,0.0,1.035105001712111e-09
1820,7.119888678630559e-09,5.933240565525466e-09
1821,9.86148829262845e-10,6.903041693817613e-09
1822,4.010246357211145e-09,9.023054303725075e-09
1823,9.882686891060644e-10,3.162459805139406e-08
1824,2.947389532437228e-08,2.189489300974401e-08
1825,7.924898959288385e-09,1.0566531649658373e-08
1826,0.0,1.2331177856594877e-08
1827,4.608636583469661e-09,8.295545583791863e-09
1828,1.4675682002973645e-08,8.255071293206129e-09
1829,8.57317605795771e-10,2.6576845613135447e-08
1830,5.218417697960831e-09,3.1310507520032616e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,2.705993873419743e-09,2.705993873419743e-09
1833,9.266902800675325e-09,2.6642345218874652e-08
1834,1.120143711119681e-08,1.120143711119681e-08
1835,1.3613558280667348e-08,1.663879345414898e-08
1836,2.352262562510532e-08,6.048674894287842e-09
1837,4.174734336004349e-09,1.3915782304252389e-08
1838,1.0730675015224733e-08,5.049729523420865e-09
1839,6.292327547896548e-09,3.076248944466897e-08
1840,7.64362617644565e-09,2.356784811752277e-08
1841,2.0545755319290038e-08,9.630822361827995e-09
1842,3.3541325272778977e-09,1.0733224087289273e-08
1843,0.0,1.2995204023980023e-08
1844,5.488561161115513e-09,1.6465683927435748e-08
1845,8.928364714222425e-09,2.1204865419122143e-08
1846,6.439951683034906e-09,7.025401593807601e-09
1847,5.3932236454556914e-09,8.629157832729106e-09
1848,5.63165514222419e-09,1.206783295515379e-08
1849,2.262441967104678e-08,3.1841775438579134e-08
1850,4.752297222410107e-09,7.467895635215882e-09
1851,1.1608989325395669e-08,5.159551008659946e-09
1852,1.2370036550635177e-08,8.463708844885787e-09
1853,3.5831591027601917e-09,1.6721408258035808e-08
1854,1.2989160858012383e-08,9.352196350675968e-09
1855,5.306937111981824e-09,5.306937111981824e-09
1856,9.836659486950339e-09,2.2261913201759853e-08
1857,2.9289055625270066e-09,2.9289055625270066e-09
1858,4.404308473482388e-09,5.872411001917044e-09
1859,7.129042689513199e-09,1.7313389832906978e-08
1860,3.661747127736703e-09,1.8308735638683515e-09
1861,9.431927239234028e-09,9.903524222920623e-09
1862,1.626475132354699e-08,9.035972858839614e-09
1863,3.995696662428827e-09,9.989241656072068e-10
1864,4.794727948009836e-10,7.671564716815737e-09
1865,2.3534221238463715e-09,1.1296426905005319e-08
1866,4.379051787850585e-09,6.3252967308358166e-09
1867,8.249779526181555e-09,2.135237053835226e-08
1868,2.9639244392143382e-09,5.433861360870651e-09
1869,3.4184632902167778e-09,5.860222973552709e-09
1870,2.8670243956696595e-09,4.587239033071455e-09
1871,7.434824311758348e-09,1.1683295220166201e-08
1872,1.3908880269752899e-08,7.861540751719076e-09
1873,1.7958012854535355e-09,1.4366410283628284e-08
1874,3.5847653734322193e-09,5.974609251779839e-09
1875,7.437985338754061e-09,5.721527251978387e-09
1876,6.04601479992084e-10,6.04601479992084e-10
1877,1.8554447978047506e-09,2.288381928394756e-08
1878,1.2078177347163432e-09,4.22736201599605e-09
1879,4.27652757650776e-09,7.331190321480108e-09
1880,3.2089231272180996e-09,1.2835692508872398e-09
1881,2.7890030285249168e-09,9.761510710859511e-09
1882,6.655385131892899e-09,1.9966155395678697e-09
1883,6.951272890631799e-09,8.21514056781325e-09
1884,9.242375753615306e-09,4.621187876807653e-09
1885,2.127059772760731e-08,5.156508553483263e-09
1886,6.4534639854230136e-09,3.872078213618124e-09
1887,2.154545164501087e-08,1.0446279397058333e-08
1888,5.706553452000662e-09,4.4384300679212174e-09
1889,2.5687061366852504e-08,1.50363277384713e-08
1890,8.520702365899524e-09,7.209825181320184e-09
1891,8.92390783491237e-09,2.5496880162734215e-09
1892,1.6298132621272998e-08,5.641661360300532e-09
1893,1.539604177480669e-08,6.15841644346915e-09
1894,1.7014155417882648e-08,2.520615716150587e-09
1895,8.426059849853118e-09,1.2037228991346183e-08
1896,7.66613794667137e-09,1.8870492723976895e-08
1897,1.1070755867592652e-08,1.7480140668268973e-09
1898,2.2633418694795182e-08,4.52668391659472e-09
1899,1.2713430308508578e-08,6.080336234504102e-09
1900,8.30568502863116e-09,1.038210628578895e-09
1901,1.7883964531506535e-08,5.029864968975062e-09
1902,3.928227076954727e-09,7.856454153909453e-09
1903,1.296052865029651e-08,2.1600881083827517e-09
1904,1.4511488011237361e-08,2.6873125946735854e-09
1905,8.257214467732865e-09,7.741138396966107e-09
1906,4.115347618238729e-09,5.658602919567102e-09
1907,6.685696440911215e-09,1.1828539925318182e-08
1908,4.4202499438483756e-09,9.822778146428846e-10
1909,1.4852655993990993e-08,3.850688656825696e-09
1910,1.336037680488289e-08,4.809735720812114e-09
1911,1.2236860413850081e-08,1.0640748282497725e-09
1912,9.897900277167082e-09,4.167536982180309e-09
1913,1.0605979205990934e-08,4.242391771214216e-09
1914,4.68772043404897e-09,6.027069510139427e-09
1915,7.068456930880984e-09,9.424609537234119e-09
1916,1.0987462051303964e-09,1.0987462051303964e-09
1917,9.869782324756216e-09,1.864292187292449e-08
1918,2.2972752589112133e-08,2.2972752589112133e-09
1919,6.4454939163738345e-09,0.0
1920,7.572231730534895e-09,3.028892692213958e-09
1921,1.2116395886607734e-08,7.572747762196741e-09
1922,1.3280283539529592e-08,7.377935595798135e-09
1923,1.4862327368803108e-08,1.2739137744688378e-08
1924,1.933743654092268e-08,1.0313299547703991e-08
1925,1.2097995494286806e-08,2.1996355847875293e-09
1926,4.458455382660986e-09,7.802296586589819e-09
1927,1.4493992672726108e-08,1.1149224654616319e-08
1928,1.2568645679778001e-08,3.4278122562625413e-09
1929,1.7824650200282122e-08,2.2280812750352652e-09
1930,2.2057568216382606e-08,1.1553964007759987e-08
1931,1.8248570654577634e-08,1.1405356659111021e-09
1932,2.4110979879310435e-08,5.4797681947604815e-09
1933,2.867665571670841e-08,4.588264879146209e-09
1934,2.875579241390369e-08,4.7926320689839486e-09
1935,4.787313656606784e-09,3.590485242455088e-09
1936,1.091224355320719e-08,0.0
1937,5.0364472592434595e-09,2.5182236296217297e-09
1938,1.6854778905894818e-08,3.8895642262559704e-09
1939,9.176430282309411e-09,3.058810094103137e-09
1940,1.0143131667916805e-08,5.0715658339584024e-09
1941,1.7709016475464523e-08,2.9515025978810172e-09
1942,9.102635090130207e-09,9.102635090130207e-09
1943,1.4516175816936538e-08,1.4516175816936538e-08
1944,1.6065930807940276e-08,0.0
1945,0.0,2.178504043826024e-09
1946,9.744772988540262e-09,2.7842208538686464e-09
1947,2.1457568166738383e-08,3.5762612871081956e-09
1948,2.391815279167986e-08,1.0871887834440486e-09
1949,2.4542520904446974e-08,1.9634016634739737e-09
1950,9.571825110299415e-09,2.1270722960764488e-09
1951,1.2793682557799002e-08,2.1322803522849654e-09
1952,1.4762725264461096e-08,4.2179215675730575e-09
1953,2.2625037843226892e-08,0.0
1954,1.3681550115052232e-08,2.9317608341017376e-09
1955,2.3464020060259827e-08,9.385607846468247e-10
1956,1.2209598665435806e-08,0.0
1957,7.951533653738352e-09,2.6505113659425206e-09
1958,1.3235589513271862e-08,2.4816730892496253e-09
1959,4.650448914844674e-09,0.0
