year,puissions_VERB attraper_VERB,puissions_VERB rattraper_VERB
1947,0.0,3.5762612871081956e-09
1948,0.0,0.0
1949,0.0,0.0
1950,0.0,0.0
1951,0.0,0.0
1952,0.0,0.0
1953,0.0,0.0
1954,0.0,1.9545072227344917e-09
1955,0.0,1.8771215692936494e-09
1956,0.0,0.0
1957,0.0,0.0
1958,0.0,4.9633461784992505e-09
1959,0.0,1.5501495642666896e-09
1960,0.0,0.0
1961,0.0,0.0
1962,0.0,6.341956404476434e-10
1963,0.0,1.2932106496776896e-09
1964,1.8251904432275978e-09,1.2167936658258327e-09
1965,0.0,1.0944086747954884e-09
1966,0.0,5.539074754423723e-10
1967,0.0,3.451234853457663e-09
1968,0.0,1.3474247273492779e-09
1969,0.0,1.8167031212712459e-09
1970,0.0,1.3796175313274261e-09
1971,5.138397485282553e-10,0.0
1972,0.0,5.130146862875051e-10
1973,0.0,0.0
1974,0.0,0.0
1975,0.0,5.711480177694739e-10
1976,0.0,0.0
1977,1.7630346071939584e-09,5.876781838942691e-10
1978,0.0,0.0
1979,0.0,5.851973350345929e-10
1980,0.0,1.1370301367108482e-09
1981,1.2651099057237047e-09,1.2651099057237047e-09
1982,0.0,0.0
1983,6.315316047889041e-10,0.0
1984,0.0,1.739702604197646e-09
1985,0.0,0.0
1986,5.994485463567401e-10,0.0
1987,1.2221633705067347e-09,0.0
1988,0.0,0.0
1989,1.0976244357863152e-09,2.1952488715726304e-09
1990,0.0,5.44865097484859e-10
1991,0.0,5.861465202094962e-10
1992,5.509944167592096e-10,0.0
1993,5.539207426075166e-10,5.539207426075166e-10
1994,1.5824779264761446e-09,0.0
1995,0.0,0.0
1996,5.338092190498855e-10,0.0
1997,0.0,0.0
1998,0.0,4.768129224785866e-10
1999,4.570201161957499e-10,0.0
2000,0.0,0.0
2001,0.0,4.3812117822561447e-10
2002,4.38122149670761e-10,0.0
2003,4.1669229178253886e-10,0.0
2004,0.0,0.0
2005,1.3511248786457486e-09,4.5037495954858286e-10
2006,8.235779835885637e-10,8.235779835885637e-10
2007,3.994479469415779e-10,3.994479469415779e-10
2008,4.257439678578834e-10,2.554463751636149e-09
2009,9.53638501499654e-10,0.0
2010,0.0,0.0
2011,0.0,1.1471915639660324e-09
2012,1.7021263287730903e-09,1.0212758416727752e-09
2013,2.789125042035323e-10,0.0
2014,1.2992671383216248e-09,2.5985342766432495e-09
2015,4.433150790905671e-10,1.10828768384863e-09
2016,1.0356699942093428e-09,8.285360175719347e-10
2017,1.509366853724714e-09,1.509366853724714e-09
2018,5.162933414126769e-10,2.8396134332808742e-09
2019,2.55098775436835e-10,1.53059265262101e-09
