year,devriez_VERB avoir_VERB
1800,2.5153315874604232e-08
1801,9.048493865293494e-08
1802,6.713520406265161e-08
1803,4.290746247193056e-08
1804,7.168367943677367e-08
1805,1.9900143755080535e-08
1806,6.627838899930794e-08
1807,2.2775640928784924e-08
1808,4.985362878073829e-08
1809,6.551188391767937e-08
1810,9.594519667643908e-08
1811,5.515568801683912e-08
1812,7.468182872116813e-08
1813,4.601186631703058e-08
1814,6.293354282149721e-09
1815,3.236668177919455e-08
1816,2.7811246638975717e-08
1817,6.383181272440197e-08
1818,4.768470773797162e-08
1819,6.521161566297451e-08
1820,5.577246042776096e-08
1821,9.960103142248045e-08
1822,1.0627152846609533e-07
1823,7.313188632451784e-08
1824,6.652678763430231e-08
1825,6.516027895031584e-08
1826,5.460950447400137e-08
1827,7.097300169789378e-08
1828,5.228211819030548e-08
1829,1.8860987438529264e-08
1830,7.201416707403041e-08
1831,2.8064171431196883e-08
1832,4.19429042608499e-08
1833,5.79181431703546e-08
1834,3.9205030333278046e-08
1835,8.24376584773745e-08
1836,7.258410050781094e-08
1837,6.192522761239161e-08
1838,7.006499913586595e-08
1839,6.082583325905944e-08
1840,3.4396318682183846e-08
1841,4.4301785351308354e-08
1842,4.22620693996123e-08
1843,6.025049259505977e-08
1844,6.75093048130293e-08
1845,5.636030309119633e-08
1846,5.503231292891542e-08
1847,3.9909856752728956e-08
1848,3.620349886546137e-08
1849,3.016589289472904e-08
1850,2.7155984128057753e-08
1851,3.353708066811123e-08
1852,3.6459056218518526e-08
1853,6.389966955566706e-08
1854,8.832629561084104e-08
1855,4.776243400783642e-08
1856,6.678573782892272e-08
1857,7.078187991282903e-08
1858,6.704335930862726e-08
1859,4.53203412575931e-08
1860,4.943358788978003e-08
1861,5.3761986862355116e-08
1862,9.48777127973699e-08
1863,1.0488703594546678e-07
1864,5.274200631788517e-08
1865,8.284045804884954e-08
1866,7.93094869777633e-08
1867,5.483676801532056e-08
1868,7.459210138449635e-08
1869,7.520619504930437e-08
1870,3.669791226457164e-08
1871,2.0180236148803488e-08
1872,3.688877114882416e-08
1873,4.6092235805872406e-08
1874,4.779687401423871e-08
1875,4.63443683429432e-08
1876,5.501873445723504e-08
1877,3.587193120324628e-08
1878,2.6571990829893366e-08
1879,3.421222061206208e-08
1880,2.9522093214495726e-08
1881,6.414706632540401e-08
1882,5.723631346654656e-08
1883,3.728409936343269e-08
1884,3.4328824227713994e-08
1885,3.996294140051759e-08
1886,3.9366128135043255e-08
1887,3.9173546184656516e-08
1888,3.360525724360741e-08
1889,3.132568338060082e-08
1890,3.867087983167039e-08
1891,3.888274235919198e-08
1892,4.576013878931917e-08
1893,3.571881634911733e-08
1894,3.465846631911518e-08
1895,4.213030280197927e-08
1896,4.422771837653272e-08
1897,2.9133568446582103e-08
1898,3.451596342074481e-08
1899,4.09040801230276e-08
1900,3.8932899570909285e-08
1901,4.5827658112784775e-08
1902,3.928226988136885e-08
1903,3.510143287144274e-08
1904,3.3860139581065596e-08
1905,4.3866453580676534e-08
1906,2.1091157265118454e-08
1907,2.3142794347563722e-08
1908,4.7640472899956876e-08
1909,5.666013080940502e-08
1910,3.954671612405036e-08
1911,4.203095471666529e-08
1912,4.0112542620818203e-08
1913,5.2499597558153255e-08
1914,3.750176347239176e-08
1915,4.005459075528961e-08
1916,7.69122365795738e-09
1917,4.276905585243185e-08
1918,4.824278221349232e-08
1919,6.169258170984904e-08
1920,3.7861159540852896e-08
1921,5.6038331308627676e-08
1922,4.574319945049865e-08
1923,3.715581797791856e-08
1924,6.574728672603669e-08
1925,5.829034321891413e-08
1926,6.241837269271855e-08
1927,6.466550672712401e-08
1928,5.141718517620575e-08
1929,4.67897081080082e-08
1930,3.571225093423891e-08
1931,4.334035708097872e-08
1932,2.849479585620429e-08
1933,2.982372038218273e-08
1934,2.036868629318178e-08
1935,3.8298509252854274e-08
1936,6.062357016389797e-08
1937,3.777335422228134e-08
1938,4.926781471681352e-08
1939,5.199976982339649e-08
1940,8.114505334333444e-08
1941,5.312704587367989e-08
1942,4.8547388331598995e-08
1943,3.4838823381733164e-08
1944,7.069009200222354e-08
1945,9.367567344042982e-08
1946,5.986074569364064e-08
1947,8.46381809083141e-08
1948,7.827759418432834e-08
1949,7.362756093698408e-08
1950,9.359118280372059e-08
1951,7.569595084078173e-08
1952,4.74516177462192e-08
1953,7.110725874781565e-08
1954,7.231676590890856e-08
1955,6.100645322248965e-08
1956,7.761816078755146e-08
1957,9.276789825207743e-08
1958,8.520410688106494e-08
1959,9.145882273742245e-08
1960,6.851625045101173e-08
1961,6.878677538679767e-08
1962,7.673767044025226e-08
1963,7.500621990175205e-08
1964,6.935724172763003e-08
1965,5.417322768153099e-08
1966,5.53907462119696e-08
1967,5.127548874384047e-08
1968,6.826952159144639e-08
1969,6.313043598993318e-08
1970,5.7484061954937715e-08
1971,5.343933295876013e-08
1972,4.463227654127877e-08
1973,4.851619195278545e-08
1974,4.725480096112733e-08
1975,4.683413834527528e-08
1976,4.913633233627479e-08
