year,devons_VERB assembler_VERB,devons_VERB rassembler_VERB
1800,0.0,1.8864987794131594e-08
1801,0.0,7.143547975374531e-09
1802,0.0,2.2378401354217203e-09
1803,1.950339223455444e-09,7.801356893821776e-09
1804,0.0,4.943701892301533e-09
1805,0.0,1.421438877713399e-08
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,2.259030518203531e-09
1810,0.0,2.106114038724627e-08
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,9.440030979135372e-09
1815,0.0,0.0
1816,0.0,1.3905623319487859e-08
1817,0.0,1.401186100480345e-08
1818,0.0,0.0
1819,0.0,5.175524897538253e-09
1820,0.0,8.306536791735653e-09
1821,0.0,2.9584463767662328e-09
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,8.421112696055388e-10
1825,0.0,0.0
1826,8.807984341885344e-10,2.642395191543301e-09
1827,0.0,9.217273055917019e-10
1828,0.0,5.503380862137419e-09
1829,0.0,1.714635211591542e-09
1830,0.0,0.0
1831,4.677361609140007e-09,0.0
1832,0.0,2.705993873419743e-09
1833,0.0,1.1583628500844156e-09
1834,0.0,0.0
1835,0.0,5.294161553592858e-09
1836,0.0,1.3441500135158435e-09
1837,6.957891152126194e-09,1.3915781860163179e-09
1838,0.0,0.0
1839,0.0,6.9914751765765e-10
1840,0.0,1.9109065441114126e-09
1841,0.0,1.2841097074556274e-09
1842,0.0,4.695785538189057e-09
1843,0.0,1.7720733769266417e-09
1844,3.2931368743049916e-09,0.0
1845,0.0,1.1160455892778032e-09
1846,5.854501328173001e-10,1.7563503984519002e-09
1847,1.0786447290911383e-09,1.6179670936367074e-09
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,5.431196825611551e-09
1851,0.0,1.2898877521649865e-09
1852,0.0,6.510545436100301e-10
1853,5.971931837933653e-10,5.971931837933653e-10
1854,5.195664454227256e-10,2.0782657816909023e-09
1855,1.5920811335945473e-09,2.1227748447927297e-09
1856,6.212626857404757e-09,5.177189232874468e-10
1857,0.0,3.4170564155999728e-09
1858,6.361778659424999e-09,2.936205500958522e-09
1859,3.5645213447565993e-09,0.0
1860,0.0,1.8308735638683515e-09
1861,4.715963730639317e-10,8.017138064531082e-09
1862,4.9697850279528666e-09,5.873382225018986e-09
1863,4.994620828036034e-10,4.495158911765884e-09
1864,0.0,4.794727948009836e-10
1865,0.0,2.8241067262513297e-09
1866,0.0,0.0
1867,0.0,4.85281148598915e-10
1868,0.0,2.4699371437009177e-09
1869,0.0,1.4650557433881772e-09
1870,5.734048791339319e-10,1.7202146374017957e-09
1871,8.496941816815706e-09,3.18635318130589e-09
1872,0.0,2.4189357183956872e-09
1873,5.986004469882289e-10,0.0
1874,5.974609140757536e-10,2.9873046258899194e-09
1875,0.0,1.716458086775674e-09
1876,0.0,1.813804439976252e-09
1877,0.0,3.710889595609501e-09
1878,0.0,3.6234530931267273e-09
1879,0.0,1.0385853066452455e-08
1880,6.417846254436199e-10,0.0
1881,6.972507571312292e-10,6.972507571312292e-10
1882,0.0,1.3310770263785798e-09
1883,0.0,0.0
1884,0.0,2.6406787867472303e-09
1885,0.0,0.0
1886,0.0,0.0
1887,2.6115698492645834e-09,4.570247291724172e-09
1888,0.0,5.07249175996094e-09
1889,1.8795409673089125e-09,4.385595886446936e-09
1890,0.0,2.6217545912032847e-09
1891,0.0,2.5496880162734215e-09
1892,0.0,3.761107425503951e-09
1893,6.158416554491453e-10,1.2316833108982905e-09
1894,0.0,0.0
1895,0.0,4.213029924926559e-09
1896,5.89702897624278e-10,3.5382172747233653e-09
1897,0.0,5.826713556089658e-10
1898,0.0,1.13167097914868e-09
1899,0.0,0.0
1900,5.191053142894475e-10,0.0
1901,0.0,0.0
1902,0.0,9.820567692386817e-10
1903,5.400220270956879e-10,5.400220270956879e-10
1904,0.0,1.0749250378694342e-09
1905,1.5482277682110634e-09,0.0
