year,pourrions_VERB appliquer_VERB
1800,1.2576657937302116e-08
1801,7.143547975374531e-09
1802,8.951360541686881e-09
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,8.645007376628655e-09
1807,0.0
1808,9.064295980465431e-09
1809,2.259030518203531e-09
1810,7.020380277111826e-09
1811,5.0141535368197765e-09
1812,5.3344164641089264e-09
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,0.0
1819,2.898294049202832e-08
1820,1.1866481131050932e-09
1821,5.9168927535324656e-09
1822,2.8071724500478012e-08
1823,4.941343334508019e-09
1824,1.6842225392110777e-08
1825,1.7610886082763955e-09
1826,1.6735169694470642e-08
1827,2.488663675137559e-08
1828,1.2841221419535032e-08
1829,8.573175946935407e-09
1830,4.174734336004349e-09
1831,4.677361609140007e-09
1832,1.3529969367098715e-09
1833,1.1583628500844156e-09
1834,9.334531370086552e-09
1835,1.3613558280667348e-08
1836,8.736974699274924e-09
1837,5.5663127440652715e-09
1838,3.1560809521380406e-09
1839,8.38977065598101e-09
1840,1.3376346252869098e-08
1841,1.4125206782011901e-08
1842,3.3541325272778977e-09
1843,5.31621990873532e-09
1844,1.4819115712327857e-08
1845,3.9061593959388574e-09
1846,1.7563503984519002e-09
1847,2.3190860787281053e-08
1848,2.333114323960217e-08
1849,4.1897072478036534e-09
1850,6.788996032014438e-10
1851,5.8044946626978344e-09
1852,1.0416872697760482e-08
1853,1.1943863675867306e-08
1854,1.3508727469968562e-08
1855,5.837630823180007e-09
1856,1.346069211649592e-08
1857,1.8061584228235006e-08
1858,1.2723557318849998e-08
1859,3.055304009791371e-09
1860,6.865775947773045e-09
1861,1.4619487842537637e-08
1862,8.132375661773494e-09
1863,1.1987090431375691e-08
1864,5.753673537611803e-09
1865,6.118897832863013e-09
1866,1.5083399418358567e-08
1867,1.3102591012170706e-08
1868,2.667531973088444e-08
1869,1.5627261262807224e-08
1870,1.4335121534259088e-08
1871,2.0180236148803488e-08
1872,1.5118347462816928e-08
1873,7.781805422268917e-09
1874,1.0754296120296658e-08
1875,5.721527251978387e-09
1876,8.464420275799966e-09
1877,1.6699003069220453e-08
1878,1.0870359723469392e-08
1879,8.55305515301552e-09
1880,1.2193908105473383e-08
1881,1.6036766581351003e-08
1882,1.1314154946262533e-08
1883,4.423537092179686e-09
1884,7.2618666635548834e-09
1885,7.090199094506033e-09
1886,9.680196200179125e-09
1887,1.1752064210668323e-08
1888,1.5851536971922542e-08
1889,6.891650361495749e-09
1890,9.176140736144589e-09
1891,4.461953917456185e-09
1892,1.0656471260972467e-08
1893,1.1085149687062312e-08
1894,1.2603078580752936e-08
1895,1.2639090662958097e-08
1896,6.486732040400511e-09
1897,1.5149455023788505e-08
1898,7.921697076085366e-09
1899,6.633094074004475e-09
1900,1.142031713641245e-08
1901,1.2854099118442264e-08
1902,8.838511256215043e-09
1903,9.1803746826713e-09
1904,1.289910045443321e-08
1905,8.257214467732865e-09
1906,3.0865106026567446e-09
1907,1.0799970695529737e-08
1908,1.1787333775714615e-08
1909,6.0510818578052294e-09
1910,2.67207544979442e-09
1911,1.1172785363555704e-08
1912,1.0939784189645252e-08
1913,9.545381374209683e-09
1914,2.276892807628883e-08
1915,1.0602685840410686e-08
1916,2.197492321442951e-08
1917,7.676496771580332e-09
1918,1.8378202071289707e-08
1919,1.749491218561161e-08
1920,6.815008557481406e-09
1921,1.2873671018098776e-08
1922,5.164555005876537e-09
1923,9.554353752605493e-09
1924,5.156649773851996e-09
