year,aurez_VERB assuré_VERB,aurez_VERB rassuré_VERB
1800,9.432493897065797e-09,0.0
1801,2.6193008650921e-08,0.0
1802,4.475680270843441e-09,0.0
1803,3.315576790896557e-08,0.0
1804,4.943701892301533e-09,0.0
1805,8.528632911009026e-09,0.0
1806,3.458002950651462e-08,0.0
1807,0.0,0.0
1808,1.1330369531492579e-08,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,1.2535384286138651e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,9.440030979135372e-09,0.0
1815,2.697223555614414e-09,0.0
1816,6.952811659743929e-09,0.0
1817,1.8682481339737933e-08,1.556873407970727e-09
1818,2.6226590676969863e-08,1.1921177378582115e-09
1819,2.2772310259711048e-08,0.0
1820,2.4919611263385377e-08,0.0
1821,8.875339574387908e-09,0.0
1822,1.303330066093622e-08,0.0
1823,2.668325471688604e-08,0.0
1824,6.736890156844311e-09,0.0
1825,2.1133063299316746e-08,0.0
1826,1.145037931138404e-08,0.0
1827,2.1199728195142598e-08,0.0
1828,2.2930752408001354e-08,0.0
1829,8.573175946935407e-09,0.0
1830,1.461157062010443e-08,0.0
1831,9.354723218280014e-09,0.0
1832,1.0823975493678972e-08,0.0
1833,1.3900354645102198e-08,0.0
1834,3.360431222176885e-08,0.0
1835,1.2100940693926532e-08,0.0
1836,6.72075017860152e-09,6.720750067579218e-10
1837,4.87052354003481e-09,0.0
1838,1.4517972601879592e-08,0.0
1839,2.516931019158619e-08,0.0
1840,1.52872523528913e-08,6.369688665408546e-10
1841,2.3113974734201292e-08,0.0
1842,1.9453969102301016e-08,0.0
1843,3.0125246297529884e-08,0.0
1844,1.4270259640625227e-08,0.0
1845,1.9530798311961917e-08,1.1160455892778032e-09
1846,2.517435504501009e-08,0.0
1847,1.88762818709165e-08,0.0
1848,4.34441957963827e-08,8.84974404868899e-09
1849,2.8490010350878947e-08,5.865590679832167e-09
1850,1.8330290174617403e-08,2.7155984128057753e-09
1851,1.5478653025979838e-08,6.449438760824933e-10
1852,2.929745512858517e-08,0.0
1853,8.957897534855874e-09,0.0
1854,8.313063126763609e-09,0.0
1855,1.0083180512765466e-08,0.0
1856,2.485050742961903e-08,0.0
1857,7.322263684272912e-09,0.0
1858,1.761723389392955e-08,3.4255731584664773e-09
1859,1.2730433596175317e-08,1.018434669930457e-09
1860,1.0069804545764782e-08,0.0
1861,1.0846716413936974e-08,0.0
1862,2.2589931703009825e-08,1.8071945051545413e-09
1863,2.6471489888990618e-08,0.0
1864,2.9727313943794798e-08,0.0
1865,1.1767110841276462e-08,0.0
1866,1.216403244796993e-08,0.0
1867,9.220341823379385e-09,0.0
1868,1.778354707937524e-08,0.0
1869,7.813630631403612e-09,2.9301114867763545e-09
1870,1.3761717099214366e-08,5.734048791339319e-10
1871,3.9298356568906456e-08,6.37270636261178e-09
1872,1.8746751706544273e-08,2.4189357183956872e-09
1873,1.0176207432266438e-08,0.0
1874,2.8080663128093875e-08,0.0
1875,2.574687130163511e-08,1.1443054281912168e-09
1876,9.673623679873344e-09,0.0
1877,4.329371083855449e-09,1.8554447978047506e-09
1878,2.8383716710322915e-08,0.0
1879,1.0996785704264767e-08,0.0
1880,2.1820676820993867e-08,0.0
1881,1.673401861523871e-08,6.972507571312292e-10
1882,1.0648616211028639e-08,1.9966155395678697e-09
1883,5.0554711528150165e-09,0.0
1884,1.9144920315739e-08,6.601696966868076e-10
1885,1.4824961702686323e-08,0.0
1886,1.5488312854472497e-08,0.0
1887,1.5016526688782506e-08,0.0
1888,2.0924028731883482e-08,0.0
1889,1.8795409673089125e-08,0.0
1890,1.9007721618891082e-08,0.0
1891,1.1473596295275001e-08,0.0
1892,1.2537024751679837e-08,1.2537024751679837e-09
1893,2.586534897375259e-08,1.847525021858587e-09
1894,1.827446460822557e-08,5.041231432301174e-09
1895,1.745398137131815e-08,0.0
1896,1.2383760683576384e-08,2.948514543632541e-09
1897,1.1070755867592652e-08,5.2440420894583895e-09
