year,sans_ADP assurer_VERB,sans_ADP rassurer_VERB
1800,1.8864987794131594e-08,9.432493897065797e-09
1801,2.3811825400343878e-08,0.0
1802,8.280008501060365e-08,8.951360541686881e-09
1803,6.631153226521747e-08,1.5602713787643552e-08
1804,4.943701981119375e-08,0.0
1805,3.695741046527701e-08,0.0
1806,1.123850950079941e-07,0.0
1807,5.693910054560547e-08,0.0
1808,1.110376244284339e-07,0.0
1809,4.0662548883574345e-08,0.0
1810,4.212228077449254e-08,0.0
1811,2.757784400841956e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,7.189353823378042e-08,1.1502966579257645e-08
1814,8.496028325311045e-08,1.8880061958270744e-08
1815,8.90083740046066e-08,0.0
1816,1.1819780176836048e-07,1.8540831092650478e-08
1817,1.7592670076282957e-07,6.227493631882908e-09
1818,9.894577068791932e-08,0.0
1819,1.0351049839485427e-07,1.035105001712111e-09
1820,5.3399165977907614e-08,3.5599443393152796e-09
1821,8.283650110296747e-08,9.86148829262845e-10
1822,1.59407292699143e-07,0.0
1823,8.993244904331732e-08,0.0
1824,6.147412268120434e-08,0.0
1825,7.484626673992523e-08,8.805443041381977e-10
1826,8.63182429977627e-08,5.284790383086602e-09
1827,1.1337245808817897e-07,0.0
1828,5.319934581748953e-08,4.586150570418113e-09
1829,7.372931065674493e-08,0.0
1830,9.080047380649603e-08,3.1310507520032616e-09
1831,8.886987501455224e-08,1.5591206103948707e-09
1832,6.764984439300292e-08,1.3529969367098715e-09
1833,6.139323005527331e-08,1.1583628278799551e-08
1834,4.480574977705487e-08,7.467624740797874e-09
1835,2.7983425354705105e-08,5.294161553592858e-09
1836,4.5029024398068884e-08,0.0
1837,4.522629182268645e-08,0.0
1838,4.860364821723806e-08,1.8936485712828244e-09
1839,5.2436065267613685e-08,4.194885327990505e-09
1840,5.095751021144679e-08,1.3376346252869098e-08
1841,6.484754067059839e-08,6.420548537278137e-10
1842,5.836190730690305e-08,6.708265054555795e-10
1843,4.7845977957372554e-08,5.906910960362666e-09
1844,7.409557412074719e-08,3.2931368743049916e-09
1845,5.0780073923561986e-08,2.399498022498392e-08
1846,6.498496762930017e-08,5.854501328173001e-10
1847,4.961765665001394e-08,2.1572894581822766e-09
1848,8.045221733254948e-08,2.413566457803995e-09
1849,7.54147322368226e-08,8.379414939696517e-10
1850,4.752297133592265e-08,4.073397619208663e-09
1851,7.029888071663493e-08,4.514607354622058e-09
1852,4.948014353800545e-08,3.906327261660181e-09
1853,6.031651222926371e-08,6.569124799682413e-09
1854,8.313062860310083e-08,5.7152309551611324e-09
1855,3.714855978387277e-08,1.5920811335945473e-09
1856,7.403380281045813e-08,6.73034605824796e-09
1857,3.221796163188628e-08,1.9526036343364694e-09
1858,7.144767155686793e-08,2.4468380654951716e-09
1859,6.212451353349024e-08,1.018434669930457e-09
1860,5.813023501444192e-08,9.612086238064421e-09
1861,4.291527133659656e-08,1.6034276129062164e-08
1862,5.783022427596762e-08,4.517986429419807e-09
1863,5.8437063188421234e-08,8.490855130105501e-09
1864,6.185198886399235e-08,1.3904711160250827e-08
1865,6.871992641599434e-08,2.3534221238463715e-09
1866,4.4277076227672296e-08,5.838735717134114e-09
1867,5.192508290008391e-08,9.7056229719783e-10
1868,6.915823469455518e-08,9.87974813071446e-10
1869,6.299739396808945e-08,3.906815315701806e-09
1870,6.364793847524197e-08,3.4404292748035914e-09
1871,4.991953161948004e-08,1.0621177271019633e-09
1872,6.47065334646868e-08,1.3304146229131675e-08
1873,6.105724281724179e-08,8.380406590902112e-09
1874,6.572070354593507e-08,1.1949218503559678e-08
1875,4.405575770860537e-08,1.1443054503956773e-08
1876,7.255217582269324e-08,6.04601479992084e-09
1877,5.504486144669585e-08,1.8554447978047506e-09
1878,7.911205995858595e-08,9.662541877730746e-09
1879,5.9260454321474754e-08,1.4662380642960215e-08
1880,6.225310755780811e-08,6.417846254436199e-10
1881,4.322954572089088e-08,7.669758161910067e-09
1882,6.389169637799341e-08,1.3310770263785798e-09
1883,4.7395041335995813e-08,3.791603475633565e-09
1884,4.621187876807653e-08,1.9805090900604227e-09
1885,8.959433728250588e-08,2.5782542767416317e-09
1886,6.517998230037847e-08,0.0
1887,5.0272720319988196e-08,9.793386546164129e-09
1888,4.818867083145051e-08,1.268122939990235e-08
1889,6.3277880435475e-08,1.2530273707511697e-08
1890,5.571228456346944e-08,4.5880703680722945e-09
1891,5.8642823930199484e-08,1.3385862196457765e-08
1892,7.522215006439126e-08,2.5074049503359674e-09
1893,6.959010795393183e-08,1.2316833108982905e-09
1894,6.427570298228602e-08,3.150769645188234e-09
1895,7.52326840824935e-08,0.0
1896,6.427761650718011e-08,2.358811590497112e-09
1897,5.010973758157178e-08,8.740070001067579e-09
1898,4.5266839276969506e-08,1.6975064687230201e-09
1899,7.849160965633928e-08,4.4220627160029835e-09
1900,5.4506059221637315e-08,8.824790675987515e-09
1901,7.153585857011535e-08,1.1177477832191585e-09
1902,6.628883397752361e-08,3.437198747846537e-09
1903,6.210253422622714e-08,0.0
1904,5.965833871357518e-08,2.6873125946735854e-09
1905,1.0631163949170741e-07,6.708986699521802e-09
1906,5.812928449699939e-08,7.201858220895474e-09
1907,6.377126088308316e-08,0.0
1908,5.79543915080194e-08,8.349361202419914e-09
1909,6.326131085643283e-08,5.5009836685826485e-09
1910,4.542528131423751e-08,0.0
1911,5.586392859413536e-08,8.51259862599818e-09
1912,7.08481309175113e-08,3.646594803896619e-09
1913,6.41661728195686e-08,5.302989602995467e-09
1914,6.964613419313537e-08,8.036092680185902e-09
1915,1.0367070757411057e-07,2.3561523843085297e-09
1916,9.00971883766033e-08,1.0987462051303964e-09
1917,6.360526327853222e-08,2.1932848870420685e-09
1918,8.499918635607173e-08,2.2972752589112133e-09
1919,6.169258132127098e-08,4.603924352863942e-09
1920,4.316171953178127e-08,5.300562211374427e-09
1921,5.376650591415455e-08,3.0290989716519334e-09
1922,5.681010301072931e-08,2.951174193910333e-09
1923,6.263409346729532e-08,1.0615948120573648e-09
1924,3.609654786185246e-08,2.578324886925998e-09
1925,6.928851803422731e-08,0.0
1926,6.018914433525424e-08,3.343841648018042e-09
1927,5.9090890403012963e-08,1.1149224876660924e-09
1928,6.398583163313987e-08,9.14083297942625e-09
1929,4.3447585085232276e-08,4.4561625500705304e-09
1930,8.087774827636451e-08,7.352522590764465e-09
1931,4.219981875053236e-08,0.0
1932,6.685317543997371e-08,7.6716757391182e-09
1933,6.997104162742573e-08,3.4411986593596566e-09
1934,5.391711255242626e-08,1.1981580172459871e-09
1935,4.6676309040094566e-08,4.787313656606784e-09
1936,5.577368522580173e-08,0.0
1937,6.799204044227736e-08,1.2591118148108649e-09
1938,6.352954784460962e-08,1.2965214457594243e-09
1939,5.8117390899781185e-08,0.0
1940,5.5787225505810056e-08,0.0
1941,4.7224041566096275e-08,0.0
1942,5.4615812983271894e-08,0.0
1943,5.516146828199453e-08,0.0
1944,8.675602458652065e-08,6.4263723231761105e-09
1945,5.8819608739213436e-08,2.178504043826024e-09
1946,5.4292307538617024e-08,2.7842208538686464e-09
1947,4.52993091926146e-08,4.7683483828109274e-09
1948,5.001068514864926e-08,0.0
1949,6.970076227297284e-08,0.0
1950,7.125692191856103e-08,2.1270722960764488e-09
1951,5.757156884556025e-08,3.1984206394497505e-09
1952,5.694194271654851e-08,1.0544804140977249e-08
1953,6.356558213127528e-08,3.232148326759443e-09
1954,6.352148473887098e-08,7.818028890937967e-09
1955,5.5375085850073447e-08,8.447047505910632e-09
1956,6.104799132877758e-08,5.232684952005684e-09
1957,3.8874166108371355e-08,1.1485549400447326e-08
1958,6.70051740758737e-08,7.445019267748876e-09
1959,5.348015896800007e-08,7.750747821333448e-10
1960,5.8134998814907135e-08,6.2287499602575735e-09
1961,6.322825107929475e-08,6.25334317660986e-09
1962,6.722473955278474e-08,6.341956404476434e-10
1963,6.918677275535856e-08,2.5864212993553792e-09
1964,5.901449440237627e-08,1.8251904432275978e-09
1965,5.80036581543375e-08,1.6416130677043839e-09
1966,7.090015508026681e-08,5.539074754423723e-10
1967,4.9796388346123877e-08,2.465167847631733e-09
1968,7.680321173486604e-08,5.838840522187638e-09
1969,7.630153386894989e-08,7.2668124850849836e-09
1970,7.49592146687128e-08,5.978342709767048e-09
1971,6.628532434049816e-08,3.5968783507200897e-09
