year,sans_ADP appliquer_VERB
1800,1.5720821977538435e-08
1801,1.1905912922216544e-08
1802,3.1329761895904085e-08
1803,5.460949736857401e-08
1804,2.4718509461507665e-08
1805,2.55858996212055e-08
1806,3.458002950651462e-08
1807,1.1387820464392462e-08
1808,6.798221985349073e-09
1809,3.162642769893864e-08
1810,4.44624070894406e-08
1811,1.7549536934780008e-08
1812,3.200649700829672e-08
1813,2.5881674137195887e-08
1814,4.405347908686963e-08
1815,6.203614333344376e-08
1816,2.3176038865813098e-08
1817,5.4490570278176165e-08
1818,2.980294344645529e-08
1819,1.8631889808773394e-08
1820,2.3732962262101864e-08
1821,3.944595405869222e-08
1822,5.213320264374488e-08
1823,3.5577674140085946e-08
1824,2.2737005167527968e-08
1825,1.7610886970942374e-08
1826,1.409277539110576e-08
1827,4.1477727363847805e-08
1828,6.328887991458032e-08
1829,2.6576845169046237e-08
1830,3.1310508408211035e-08
1831,2.9623292263636358e-08
1832,4.058990932254147e-08
1833,3.01174338801502e-08
1834,3.9205031665545675e-08
1835,2.117664621437143e-08
1836,2.8899226123257904e-08
1837,2.1569462660409044e-08
1838,3.28232410140572e-08
1839,4.61437359433603e-08
1840,5.414235371148379e-08
1841,4.558589372649635e-08
1842,4.8970334898257306e-08
1843,2.4809026388794564e-08
1844,3.512679214168202e-08
1845,4.0177639437644075e-08
1846,2.0490753982471688e-08
1847,4.961765576183552e-08
1848,5.470750918945555e-08
1849,1.9272654583346593e-08
1850,6.313766665044795e-08
1851,4.901573458226949e-08
1852,4.296959943417278e-08
1853,5.016422788273189e-08
1854,5.975014261139222e-08
1855,3.661786607267459e-08
1856,3.5204887616213654e-08
1857,3.2217959411440233e-08
1858,4.3553715745048294e-08
1859,2.800695320104296e-08
1860,3.524431724244437e-08
1861,2.5466203368296192e-08
1862,2.6656119311851967e-08
1863,3.446288232566985e-08
1864,4.171413259257406e-08
1865,3.7654753981541944e-08
1866,2.8707115351522816e-08
1867,5.82337378318698e-08
1868,3.655506963795574e-08
1869,3.95565056265923e-08
1870,3.096386169687548e-08
1871,4.036047429600842e-08
1872,2.7817760539505798e-08
1873,6.94376494081439e-08
1874,4.182226476245887e-08
1875,3.490131683658859e-08
1876,2.9020871039620033e-08
1877,3.0924081073635534e-08
1878,4.650098345271303e-08
1879,3.604501941367744e-08
1880,3.401458403828883e-08
1881,2.8587280598291187e-08
1882,1.5972924538587563e-08
1883,3.412443155825784e-08
1884,1.7164412113856997e-08
1885,2.9649923460883798e-08
1886,2.5813854609424425e-08
1887,4.439668721545331e-08
1888,4.818867083145051e-08
1889,5.575971573357208e-08
1890,2.6872983838188702e-08
1891,5.673056024946277e-08
1892,2.193979398157353e-08
1893,2.2170299374124625e-08
1894,1.8274464830270176e-08
1895,2.5278180881826984e-08
1896,1.2973463581200662e-08
1897,2.9716238358901137e-08
1898,2.4330926606808134e-08
1899,4.8089930260175606e-08
1900,2.6993477009185085e-08
1901,3.297355999354323e-08
1902,2.4551420119145462e-08
1903,3.7801541452608944e-08
1904,2.741058935384899e-08
1905,2.631987161549887e-08
1906,4.1153475294208874e-08
1907,3.599990411329301e-08
1908,2.2101251717643322e-08
1909,4.0707276660612024e-08
1910,2.4048677604859847e-08
1911,3.671058201870636e-08
1912,3.0735584743979416e-08
1913,3.181793989393e-08
1914,3.2144369221942526e-08
1915,3.06299816621447e-08
1916,3.186363883855847e-08
1917,2.7416060532914344e-08
1918,2.2972751700933713e-08
1919,2.025726653087645e-08
1920,2.8774480131943392e-08
1921,3.104826579169995e-08
1922,3.8365264742878935e-08
1923,3.078624999375279e-08
1924,3.609654797287476e-08
1925,3.409435000989447e-08
1926,2.8979959765251806e-08
1927,3.456259833889419e-08
1928,3.6563331695660395e-08
1929,4.121950425428622e-08
1930,2.4158288258746552e-08
1931,3.307553431142196e-08
1932,4.493410110661955e-08
1933,4.3588515019621354e-08
1934,3.354842625924448e-08
1935,2.5133397585364037e-08
1936,4.243650009172484e-08
1937,3.399601833375954e-08
1938,3.630260181353151e-08
1939,2.4470481641003516e-08
1940,4.057252667166722e-08
1941,4.427253941230447e-08
1942,3.3376331032286544e-08
1943,3.4838823381733164e-08
1944,3.213186161588055e-08
1945,3.485606603348401e-08
1946,4.037120149291695e-08
1947,2.7418003423207438e-08
1948,3.587722918751979e-08
1949,4.123143582113187e-08
1950,3.722376584747167e-08
1951,2.771964546788297e-08
1952,4.323369484637851e-08
1953,3.016671734634713e-08
1954,2.9317608785106586e-08
1955,2.62797024142003e-08
1956,3.4012451299858526e-08
1957,3.003912896204497e-08
1958,4.38428906512911e-08
1959,2.6352542592533723e-08
1960,3.668041564930391e-08
1961,2.2234109997576468e-08
1962,3.3612367666968623e-08
1963,3.3623477113664535e-08
1964,3.224503147825075e-08
1965,4.487075688786035e-08
1966,3.711180085463894e-08
1967,3.1554147739143446e-08
1968,3.6380469081720435e-08
1969,3.4517360858465906e-08
1970,4.046878032681889e-08
1971,4.573173928434926e-08
