year,moins_ADV enseigné_VERB,moins_ADV renseigné_VERB
1800,9.432493897065797e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,1.4305412854298538e-08,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,3.9530747564242574e-09,0.0
1824,0.0,0.0
1825,2.641632912414593e-09,0.0
1826,1.7615968683770689e-09,0.0
1827,3.6869092223668076e-09,0.0
1828,4.586150570418113e-09,0.0
1829,6.858540846366168e-09,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,5.791814139399776e-09,0.0
1834,0.0,0.0
1835,7.563087933704082e-10,0.0
1836,8.064899859050456e-09,0.0
1837,8.349468672008697e-09,0.0
1838,3.787297142565649e-09,0.0
1839,5.5931801412612e-09,6.9914751765765e-10
1840,2.5478754661634184e-09,0.0
1841,1.2841097074556274e-09,0.0
1842,6.708265054555795e-10,0.0
1843,3.5441467538532834e-09,5.906911071384968e-10
1844,3.841992946007622e-09,1.097712254427563e-09
1845,6.696273757711424e-09,0.0
1846,5.854501328173001e-10,5.854501328173001e-10
1847,7.550513103637968e-09,0.0
1848,1.367687652020777e-08,0.0
1849,2.1786478399121734e-08,0.0
1850,8.82569484161877e-09,0.0
1851,1.0319102017319892e-08,1.2898877521649865e-09
1852,6.510545436100301e-09,0.0
1853,2.388772735173461e-09,5.971931837933653e-10
1854,2.5978321716024766e-09,0.0
1855,2.653468555990912e-09,2.1227748447927297e-09
1856,3.1063134287023786e-09,9.836659486950339e-09
1857,7.810414537345878e-09,4.393358121745905e-09
1858,6.8511463169329545e-09,8.31924928945682e-09
1859,3.055304009791371e-09,6.619825576592575e-09
1860,5.492620580582752e-09,7.781213007262977e-09
1861,1.3676294763342867e-08,2.357981809808507e-09
1862,9.035972525772706e-10,2.710791813242963e-09
1863,1.4983863039219614e-09,1.4983863039219614e-09
1864,1.0548401263577034e-08,2.3973640850272204e-09
1865,5.177528628053096e-09,4.23615986733239e-09
1866,4.379051787850585e-09,2.432806400776144e-09
1867,6.308654931785895e-09,8.73506067478047e-09
1868,2.4699371437009177e-09,1.4819622196071691e-09
1869,3.906815315701806e-09,0.0
1870,2.8670243956696595e-09,6.307453670473251e-09
1871,9.559059321873065e-09,3.18635318130589e-09
1872,5.442605477412599e-09,5.442605477412599e-09
1873,7.183205141814142e-09,4.788803575905831e-09
1874,4.779687312606029e-09,9.559374625212058e-09
1875,0.0,8.58229043387837e-09
1876,7.255217759905008e-09,1.209202959984168e-09
1877,3.710889595609501e-09,1.2369631985365004e-09
1878,1.2078177347163432e-09,1.2078177347163432e-09
1879,5.498392852132383e-09,2.443730107160036e-09
1880,0.0,1.0910338410496934e-08
1881,1.3945015142624584e-09,1.2550513517339823e-08
1882,3.3276925659464496e-09,1.0648616211028639e-08
1883,7.58320695126713e-09,4.423537092179686e-09
1884,6.601696966868076e-10,1.9805090900604227e-09
1885,2.5782542767416317e-09,3.86738152613475e-09
1886,2.5813855497602844e-09,1.097088819790315e-08
1887,1.3057849246322917e-09,9.793386546164129e-09
1888,6.340614699951175e-09,9.510921827882157e-09
1889,2.5060546970934183e-09,1.2530273707511697e-08
1890,1.4419650362640368e-08,1.3108772956016423e-09
1891,1.2748440081367107e-09,1.0836173736095134e-08
1892,3.1342561879199593e-09,1.1283322720601063e-08
1893,3.695050043717174e-09,7.390100087434348e-09
1894,3.780923574225881e-09,2.3315696040526745e-08
1895,4.213029924926559e-09,2.768562623600701e-08
1896,2.948514543632541e-09,1.3563166589847242e-08
1897,4.661370844871726e-09,1.3984112534615178e-08
1898,7.355861253444118e-09,6.7900258748920805e-09
1899,3.8693048765026106e-09,2.65323762960179e-08
1900,9.34389543516545e-09,2.180242297811219e-08
1901,1.1177477832191585e-09,2.6267072072982955e-08
1902,4.910283846193408e-10,3.289890315727462e-08
1903,5.940242076007962e-09,1.7820726228023887e-08
1904,4.837162670412454e-09,3.708491291831706e-08
1905,6.192911072844254e-09,2.115911179600971e-08
1906,2.572092316910357e-09,1.8519063615940468e-08
1907,1.5428529565042481e-09,2.5714216533856415e-08
1908,1.4734167219643268e-09,2.161011281032188e-08
1909,3.300590023513905e-09,1.980354014108343e-08
1910,5.878565634276356e-09,2.8858414324872683e-08
1911,8.51259862599818e-09,3.937076797910777e-08
1912,6.772247651554153e-09,1.510732161591477e-08
1913,0.0,3.340883480973389e-08
1914,6.696743715117748e-10,1.9420557606508737e-08
1915,5.890381071793627e-09,3.416420923940677e-08
1916,9.888715624128963e-09,5.7134801778602196e-08
1917,1.315970976634162e-08,5.483212106582869e-08
1918,2.2972752589112133e-08,2.412139110674616e-08
1919,0.0,2.5781975665495338e-08
1920,1.1358347151713133e-08,3.33178178379967e-08
1921,1.060184651180407e-08,2.4232791773215467e-08
1922,9.591316185719734e-09,2.5084981203349344e-08
1923,9.554353752605493e-09,2.7601466001669905e-08
1924,3.867487219366694e-09,2.5783249313349188e-08
1925,7.698724324711748e-09,2.5295809891190402e-08
1926,5.57306911730393e-09,3.566764306128789e-08
1927,7.804457524684949e-09,2.6758140592164636e-08
1928,0.0,1.1426041446327417e-08
1929,6.684243825105796e-09,2.5622934884950155e-08
1930,6.302162347537887e-09,3.046045193855207e-08
1931,0.0,4.44808918587114e-08
1932,3.287861094491973e-09,2.301502632917618e-08
1933,6.882397318719313e-09,2.408838994938378e-08
1934,9.585264137967897e-09,2.3963160344919743e-08
1935,0.0,2.8723881939640705e-08
1936,3.6374143697059935e-09,5.33487423126644e-08
1937,8.813782592653752e-09,2.0145789036973838e-08
1938,2.5930428915188486e-09,2.3337385357535823e-08
1939,4.588215141154706e-09,3.364691281149135e-08
1940,0.0,4.3108308034334186e-08
1941,2.9515025978810172e-09,3.836953510472085e-08
1942,0.0,4.247896612241675e-08
1943,0.0,3.4838823381733164e-08
1944,9.639558484764166e-09,4.177142187700156e-08
1945,6.535512131478072e-09,3.0499055725385915e-08
1946,1.2528993842408909e-08,3.3410650246423756e-08
1947,2.3841741914054637e-09,2.0265479960812627e-08
1948,2.174377566888097e-09,3.587722829934137e-08
1949,3.9268033269479474e-09,1.47255123650325e-08
1950,6.381216888229346e-09,2.3397795700930146e-08
1951,4.264560704569931e-09,3.0918066329377325e-08
1952,6.326882129314981e-09,3.690681538159879e-08
1953,5.386913581872932e-09,2.477980309834038e-08
1954,2.9317608341017376e-09,2.443134050622575e-08
1955,3.754243138587299e-09,3.191106756617046e-08
1956,6.976913269340912e-09,2.9651880950609666e-08
1957,2.6505113659425206e-09,2.297109880089465e-08
1958,7.445019267748876e-09,2.7298403537656668e-08
1959,5.425523585955716e-09,1.0851047171911432e-08
1960,1.1765417085030094e-08,2.145458388724819e-08
1961,6.25334317660986e-09,1.598076693198891e-08
1962,5.0735651235811474e-09,1.6489087428794846e-08
1963,5.1728425987107585e-09,2.7804029301137234e-08
1964,6.6923653285755336e-09,1.7035111099517053e-08
1965,3.830430195250756e-09,2.0793764932136583e-08
1966,4.431259803538978e-09,1.3293779410616935e-08
1967,4.437302081328198e-09,1.9721342781053863e-08
1968,3.1439910674890825e-09,1.3474247495537384e-08
1969,4.995933444718048e-09,1.1808570121729645e-08
1970,2.7592350626548523e-09,1.4256047897731605e-08
1971,6.166076982339064e-09,1.1818314327172175e-08
1972,5.643161493651405e-09,1.539044092169206e-08
1973,4.410563025913916e-09,1.543697081274331e-08
1974,7.313243344242437e-09,2.0814615808717463e-08
1975,1.7134440533084216e-09,9.709516746170266e-09
1976,8.570290255249802e-09,1.8854638739185248e-08
1977,5.876781727920388e-09,9.402850942308305e-09
1978,1.7821774056514528e-09,1.0099005187669263e-08
1979,9.948355028654987e-09,1.404473604083023e-08
1980,5.6851505725319385e-09,1.1370301145063877e-08
1981,8.223214109648325e-09,9.488323904349727e-09
1982,3.7245013739806154e-09,2.2347007799794483e-08
1983,3.157658134966823e-09,1.705135410645653e-08
1984,2.8995041922996734e-09,8.69851302098823e-09
1985,3.609334831011779e-09,5.414002135495366e-09
