year,plus_ADV envoyé_VERB,plus_ADV renvoyé_VERB
1800,3.772997558826319e-08,0.0
1801,4.7623650800687756e-08,0.0
1802,0.0,4.475680270843441e-09
1803,3.1205427575287104e-08,0.0
1804,2.2246657849223084e-08,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0
1806,5.187004603612877e-08,2.881669125542885e-09
1807,2.562259560079383e-08,5.693910232196231e-09
1808,1.8128591960930862e-08,0.0
1809,4.292158095609011e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,4.262030373070047e-08,2.5070767684098882e-09
1812,2.6672083208723052e-08,5.3344164641089264e-09
1813,8.627225156487839e-09,5.751483289628823e-09
1814,3.1466772298927026e-08,3.1466771410748606e-09
1815,1.3486118000116676e-08,0.0
1816,9.270415546325239e-09,0.0
1817,2.80237220096069e-08,3.113746815941454e-09
1818,3.457141417584353e-08,0.0
1819,3.3123360054787554e-08,1.035105001712111e-09
1820,6.40789963313182e-08,0.0
1821,2.465372084259343e-08,0.0
1822,3.408709403629473e-08,1.0025615893027862e-09
1823,2.2730180404550993e-08,0.0
1824,2.4421225930382207e-08,4.210556348027694e-09
1825,4.6668848341369085e-08,8.805443041381977e-10
1826,2.9947145208097936e-08,1.7615968683770689e-09
1827,3.594736597278825e-08,9.217273166939322e-09
1828,1.0089530988466322e-08,9.172301251858528e-10
1829,2.8291481157793896e-08,2.571952872898464e-09
1830,2.400472176589119e-08,2.0873671680021744e-09
1831,2.182768810143898e-08,2.0268567268999504e-08
1832,3.3824925083081325e-08,1.0823975493678972e-08
1833,5.09679658478035e-08,2.3167257001688313e-09
1834,6.347480763224667e-08,1.120143711119681e-08
1835,2.8739734148075513e-08,0.0
1836,2.5538851033957144e-08,9.409050427677812e-09
1837,2.922314124020886e-08,6.957890930081589e-10
1838,2.651107955387033e-08,1.64116205070286e-08
1839,8.38977065598101e-09,1.3982950353153e-09
1840,3.758116307039927e-08,2.5478754661634184e-09
1841,1.6051371787284552e-08,1.926164561183441e-09
1842,1.8783142152756227e-08,6.037438549100216e-09
1843,1.5357969118667825e-08,5.906911071384968e-10
1844,3.1833653935109396e-08,5.488561272137815e-10
1845,1.5066614622583074e-08,2.7901139176833567e-09
1846,2.517435504501009e-08,7.610851504580296e-09
1847,2.480882876909618e-08,3.235934187273415e-09
1848,2.091757700384278e-08,1.6090443422100975e-09
1849,4.357295679824347e-08,6.703531951757213e-09
1850,4.0055077477063605e-08,6.788996032014438e-10
1851,2.4507867735223954e-08,1.9348316282474798e-09
1852,8.463708844885787e-09,0.0
1853,7.166318205520383e-09,5.971931837933653e-10
1854,2.8576154775805662e-08,5.195664343204953e-09
1855,1.8043586180738203e-08,2.653468555990912e-09
1856,1.0354378687793542e-08,1.0354378465748937e-09
1857,2.8312753030945714e-08,1.4644527812635033e-09
1858,3.0830157982109085e-08,3.4255731584664773e-09
1859,3.4626779665813956e-08,5.092173349652285e-10
1860,1.5104706818647173e-08,1.0527522853465143e-08
1861,2.7352589526685733e-08,9.431927461278633e-10
1862,3.3884898442693157e-08,4.517986262886353e-10
1863,2.1476870060155306e-08,3.995696662428827e-09
1864,6.712618905169165e-09,1.4384183844029508e-09
1865,2.3063536858103362e-08,6.589582213223366e-09
1866,2.578774882522339e-08,3.4059290943133647e-09
1867,4.367530337390235e-08,5.82337378318698e-09
1868,3.408512938563035e-08,6.421836395986702e-09
1869,2.2952539424636598e-08,0.0
1870,2.6376625328339287e-08,0.0
1871,2.3366590440332402e-08,0.0
1872,2.8422494580127022e-08,0.0
1873,2.5141218884527916e-08,5.986004469882289e-10
1874,5.197910013521323e-08,1.5533982988813477e-08
1875,2.6319025181464895e-08,1.2587359599081083e-08
1876,4.0508300713781864e-08,0.0
1877,3.0924081073635534e-08,4.9478527941460015e-09
1878,3.140326043649111e-08,0.0
1879,2.871382953628654e-08,0.0
