year,elles_PRON entrent_VERB,elles_PRON rentrent_VERB
1800,8.489244294196396e-07,2.0122652344412018e-07
1801,5.571967278683587e-07,1.8335105256284123e-07
1802,6.95968282116155e-07,1.7902721083373763e-07
1803,8.757022982308627e-07,1.9308357934733067e-07
1804,5.19088700912107e-07,2.496569404542015e-07
1805,5.45832513410005e-07,1.5067252157052735e-07
1806,4.2648703413306066e-07,1.383201144733448e-07
1807,4.498189198898217e-07,1.7081730874224377e-07
1808,5.257291633142813e-07,1.9941450446481213e-07
1809,6.686730102956062e-07,2.3268013848998237e-07
1810,5.35889014940949e-07,1.8018976533085151e-07
1811,5.189648888404008e-07,1.8552368530322383e-07
1812,5.041023598550964e-07,1.813701597797035e-07
1813,2.530652700727387e-07,1.552900528167811e-07
1814,2.0768068864640554e-07,2.2656075771010364e-07
1815,3.3985017466875433e-07,1.537417464447799e-07
1816,6.697875107875007e-07,2.4798361053512963e-07
1817,4.841876304340076e-07,2.6778222306234056e-07
1818,5.722164928556595e-07,2.6822649878965876e-07
1819,4.709727789986573e-07,2.3496883727602835e-07
1820,3.298881736668591e-07,1.7443727173827028e-07
1821,3.9643184379656304e-07,1.607422523974833e-07
1822,3.398683787736445e-07,1.6241497746705136e-07
1823,3.4885884048208027e-07,2.2334872973317488e-07
1824,4.943193161466297e-07,1.8947503477306782e-07
1825,2.77371452028774e-07,1.77869951656362e-07
1826,3.6553133497818635e-07,1.1890778850442985e-07
1827,2.8573546373422687e-07,1.7604992130770825e-07
1828,3.2011332251613567e-07,1.797770980971336e-07
1829,3.7464779722995445e-07,2.006123143161176e-07
1830,3.256292870901234e-07,1.6803305769030885e-07
1831,3.3521092035471156e-07,1.792988690851871e-07
1832,3.3013125744218996e-07,2.58422417687143e-07
1833,3.475088519167002e-07,1.7259606011066353e-07
1834,3.6591362118088e-07,2.3989744768471155e-07
1835,3.312632372853841e-07,2.2764894680449288e-07
1836,3.111707371772354e-07,1.975900563166988e-07
1837,3.2910825353837936e-07,2.163904113672288e-07
1838,3.1939540789949206e-07,1.7863417944852245e-07
1839,3.8662858514726395e-07,1.733885888199893e-07
1840,2.4586999103348717e-07,2.2676091582241042e-07
1841,3.03049880301387e-07,2.401285144060239e-07
1842,3.139467992241407e-07,2.5558489546995133e-07
