year,devons_VERB assurer_VERB,devons_VERB rassurer_VERB
1800,1.5720821977538435e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,0.0,0.0
1803,9.751696339321825e-09,0.0
1804,2.4718509905596875e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,2.2660739951163578e-09
1809,1.581321384946932e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,1.4378708002027452e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,2.4275012222574333e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,1.556873407970727e-09
1818,1.1921177378582115e-09,0.0
1819,2.898294049202832e-08,0.0
1820,2.3732962262101864e-09,0.0
1821,4.930744257336528e-09,0.0
1822,6.115625694746996e-08,0.0
1823,1.9765373782121287e-09,0.0
1824,1.6000115010683658e-08,0.0
1825,1.6730341556581152e-08,0.0
1826,6.1655889282974385e-09,0.0
1827,6.452091305675367e-09,0.0
1828,1.1923991571904935e-08,0.0
1829,8.573175946935407e-09,0.0
1830,7.305785310052215e-09,0.0
1831,7.795603274018958e-09,0.0
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,0.0,0.0
1834,1.8669062740173104e-08,0.0
1835,9.075705520444899e-09,2.2689263801112247e-09
1836,1.008112526790228e-08,6.720750067579218e-10
1837,2.0873672568200163e-08,0.0
1838,2.5879863585487328e-08,6.312161904276081e-10
1839,4.194885327990505e-09,6.9914751765765e-10
1840,1.1465439264668476e-08,6.369688665408546e-10
1841,2.1829865914924085e-08,4.494383976094696e-09
1842,1.8112315203211438e-08,6.708265054555795e-10
1843,1.1813821920725331e-08,1.1813822142769936e-09
1844,1.5367971784030487e-08,2.195424508855126e-09
1845,1.2276501593078137e-08,0.0
1846,4.6836010625384006e-09,8.196302303531411e-09
1847,1.5101026207275936e-08,4.314578916364553e-09
1848,5.63165514222419e-09,8.04522137798358e-09
1849,1.6758828991214614e-08,2.513824481908955e-09
1850,1.0183494048021657e-08,2.0366988096043315e-09
1851,3.8696632564949596e-09,0.0
1852,5.859490670445666e-09,0.0
1853,7.763511611358354e-09,1.7915795513800958e-09
1854,1.7145692865483397e-08,0.0
1855,4.2455496895854594e-09,0.0
1856,1.346069211649592e-08,0.0
1857,8.298565390418844e-09,0.0
1858,6.361778659424999e-09,4.893676019968041e-10
1859,1.323965115318515e-08,2.036869339860914e-09
1860,4.119465657481669e-09,0.0
1861,6.6023493339173456e-09,3.3011746669586728e-09
1862,1.0391368654438793e-08,2.710791813242963e-09
1863,2.9967726078439227e-09,0.0
1864,1.2945765348604255e-08,1.4384183844029508e-09
1865,3.294791106611683e-09,2.3534221238463715e-09
1866,7.784980660119345e-09,1.4596839292835284e-09
1867,6.79393608038481e-09,1.0190904120577216e-08
1868,9.87974857480367e-09,0.0
1869,6.8369265804335555e-09,0.0
1870,1.77755516972411e-08,5.734048791339319e-09
1871,1.5931766128574054e-08,7.434824311758348e-09
1872,1.5118347462816928e-08,6.047339295989218e-10
1873,4.190203295451056e-09,6.584604861359367e-09
1874,1.0754296120296658e-08,0.0
1875,6.865832347102696e-09,1.716458086775674e-09
1876,1.209202959984168e-08,0.0
1877,1.7317484335421796e-08,0.0
1878,6.039088673581716e-10,7.850815109122777e-09
1879,1.221865053580018e-09,1.0996785704264767e-08
1880,7.059631101924424e-09,6.417846254436199e-10
1881,1.3945014920579979e-08,0.0
1882,3.9932310791357395e-09,0.0
1883,2.211768546089843e-08,6.319338941018771e-10
1884,6.601696966868076e-09,0.0
1885,4.511945039809007e-09,1.933690763067375e-09
1886,1.2261581083805595e-08,6.453463874400711e-10
1887,7.1818169189441505e-09,9.793386546164129e-09
1888,7.60873763994141e-09,1.268122939990235e-09
1889,2.1301465480405568e-08,3.759081934617825e-09
1890,4.5880703680722945e-09,0.0
