year,aux_ADP ans_NOUN,aux_ADP rangs_NOUN
1800,2.5153315874604232e-08,1.3834323908668011e-07
1801,3.0955374485941434e-08,1.0715321963061797e-07
1802,6.713520406265161e-08,7.384872446891677e-08
1803,9.751696339321825e-09,8.971560561121805e-08
1804,4.943701892301533e-09,7.909923094295834e-08
1805,1.1371510844071508e-08,1.4214388599498307e-07
1806,7.204172636221529e-08,2.0459850702536642e-07
1807,3.131650672116848e-08,9.679647661187119e-08
1808,2.4926813502190726e-08,1.2690014727922971e-07
1809,9.036122072814123e-09,1.8298146842177232e-07
1810,1.4040760554223652e-08,1.193464669313471e-07
1811,8.774768645025688e-08,5.766276700569506e-08
1812,2.1337665856435706e-08,3.06728935584033e-07
1813,1.7254450312975678e-08,1.0640244352266848e-07
1814,1.8880061958270744e-08,2.1397404736944736e-07
1815,4.315557688983063e-08,8.361393355471591e-08
1816,2.3176038865813098e-08,1.2978581764855335e-07
1817,1.5568734412774177e-08,1.634717063936364e-07
1818,2.6226590676969863e-08,1.9073883095188648e-07
1819,4.968504008218133e-08,1.5009023179857195e-07
1820,1.6613073583471305e-08,1.566375509298723e-07
1821,1.0847637454958203e-08,1.5285306254053665e-07
1822,4.110502516141423e-08,1.1429202118051762e-07
1823,1.1859224047228167e-08,1.353928098524193e-07
1824,7.831634540877985e-08,1.9368558668020341e-07
1825,2.0252518551089338e-08,1.444092645463968e-07
1826,1.6735169472426037e-08,1.145037975547325e-07
1827,1.198245475064752e-08,1.8250200639613468e-07
1828,1.9261833017480967e-08,1.770254129951354e-07
1829,1.971830487779158e-08,1.8432329129680625e-07
1830,2.5048405571936883e-08,1.8681936508890828e-07
1831,9.354723218280014e-09,1.6994414009374736e-07
1832,2.3000947924067816e-08,1.217697227495762e-07
1833,2.5483982257767934e-08,1.4363699785135964e-07
1834,2.7070139907436896e-08,1.3161688294793805e-07
1835,1.663879345414898e-08,1.2479094380069e-07
1836,2.3522625958172227e-08,1.317267077638462e-07
1837,1.2524203452102256e-08,1.6490202003893728e-07
1838,2.398621434807069e-08,1.4959824401472588e-07
1839,1.6080393461237463e-08,1.7059198853530688e-07
1840,3.3759350870354865e-08,1.490507116619355e-07
1841,8.988767952189392e-09,1.643660425543203e-07
1842,1.609983613093391e-08,1.3617777794294739e-07
1843,3.366939316240547e-08,1.506262377604095e-07
1844,1.1525978838022866e-08,1.3556747024967564e-07
1845,1.0044410247989077e-08,1.4675999759905523e-07
1846,1.4050803187615202e-08,1.2704267282614978e-07
1847,1.887628364727334e-08,1.693472171382382e-07
1848,2.091757700384278e-08,1.6492704446591233e-07
1849,4.77626631578687e-08,1.5837093614301523e-07
1850,2.2403687793826066e-08,1.3645882557256073e-07
1851,1.805842853030981e-08,1.902584472190938e-07
1852,2.148479971708639e-08,1.5625309091049644e-07
1853,1.4332636411040767e-08,1.797551458793123e-07
1854,1.8184825922862302e-08,1.241763737391821e-07
1855,1.963566731433275e-08,1.7725169243476557e-07
1856,1.4496130074093116e-08,1.589397129464487e-07
1857,2.147864064383498e-08,1.3961115952199066e-07
1858,2.936205545367443e-08,1.8204475304983703e-07
1859,2.4442432078330967e-08,2.0826989555189357e-07
1860,2.8378539518314483e-08,1.7713701705446283e-07
1861,2.640939672504672e-08,1.4572327700079768e-07
1862,2.93669109308059e-08,2.0466477979041997e-07
1863,2.697095197179422e-08,1.7531119222979896e-07
1864,2.828889567041415e-08,1.448007864723877e-07
1865,1.7415323849689912e-08,2.3016468730929773e-07
1866,2.0435575009969398e-08,1.6640395550382436e-07
1867,2.329349513274792e-08,1.1743803440822376e-07
1868,1.6795571822214583e-08,1.6943767833232926e-07
1869,1.611561362135916e-08,1.5724931756722071e-07
1870,1.0321287380321564e-08,1.3417674438187532e-07
1871,1.8056001360733376e-08,1.3064048687283503e-07
1872,1.6932550250814415e-08,1.3546039812073474e-07
1873,1.5563611732716254e-08,1.7179833039504544e-07
