year,pourrons_VERB appeler_VERB,pourrons_VERB rappeler_VERB
1800,3.144164395507687e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,0.0
1808,0.0,0.0
1809,6.7770917766551975e-09,0.0
1810,4.680253518074551e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,0.0,0.0
1814,1.5733386149463513e-08,6.293354282149721e-09
1815,2.697223555614414e-09,0.0
1816,2.0858434979231788e-08,0.0
1817,6.227493631882908e-09,7.784366928831332e-09
1818,0.0,0.0
1819,1.035105001712111e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,9.861488514673056e-09,0.0
1822,1.0025615893027862e-08,0.0
1823,5.929612356680991e-09,0.0
1824,6.736890156844311e-09,0.0
1825,5.283265824829186e-09,8.805443485471187e-09
1826,1.5854372037438225e-08,4.403992281964975e-09
1827,4.608636583469661e-09,0.0
1828,2.7516904310687096e-09,1.8344602503717056e-09
1829,0.0,0.0
1830,5.218417697960831e-09,5.218417697960831e-09
1831,1.4032085715598441e-08,4.677361609140007e-09
1832,0.0,0.0
1833,1.0425265983826648e-08,0.0
1834,1.213489042584115e-08,0.0
1835,1.0588323107185715e-08,0.0
1836,9.409050427677812e-09,0.0
1837,2.0873671680021744e-09,0.0
1838,7.574594285131298e-09,6.943378316748294e-09
1839,1.2584655095793096e-08,6.9914751765765e-10
1840,3.1848443882154243e-09,3.821813088222825e-09
1841,1.9903700021473014e-08,3.852329122366882e-09
1842,9.391571076378114e-09,0.0
1843,1.1813822142769936e-09,0.0
1844,4.390849017710252e-09,5.488561272137815e-10
1845,6.138250796539069e-09,2.2320911785556063e-09
1846,7.610851504580296e-09,1.1709002656346001e-09
1847,7.011190739092399e-09,1.0786447290911383e-09
1848,2.413566457803995e-09,0.0
1849,8.379414495607307e-09,5.865590679832167e-09
1850,1.765138968323754e-08,0.0
1851,5.8044946626978344e-09,1.9348316282474798e-09
1852,9.765818376195057e-09,5.208436348880241e-09
1853,3.5831591027601917e-09,2.388772735173461e-09
1854,4.1565315633818045e-09,1.0391328908454511e-09
1855,6.368324534378189e-09,0.0
1856,2.019103817474388e-08,1.0354378465748937e-09
1857,6.345961978126979e-09,9.763018171682347e-10
1858,1.565976326389773e-08,0.0
1859,1.018434669930457e-08,5.092173349652285e-10
1860,1.5562426014525954e-08,1.373155145145688e-09
1861,1.9807048445841247e-08,4.715963730639317e-10
1862,8.584174260306554e-09,8.584174260306554e-09
1863,6.493007020935693e-09,1.4983863039219614e-09
1864,1.1986819536957682e-08,7.1920918109924514e-09
1865,1.553258677233771e-08,3.765475486972036e-09
1866,8.271541673821048e-09,9.731225825149181e-10
1867,1.747012134956094e-08,9.7056229719783e-10
1868,2.2723421366777075e-08,1.4819622196071691e-09
1869,1.1720445947105418e-08,4.883519144627257e-10
1870,1.0894693147633916e-08,4.013834153937523e-09
1871,5.3105884134652115e-09,7.434824311758348e-09
1872,1.69325495846806e-08,0.0
1873,4.1303430009520525e-08,5.986004469882289e-10
1874,2.5093358502203955e-08,6.572069999322139e-09
1875,2.2886109007913547e-08,5.721527140956084e-10
1876,2.539326260375674e-08,0.0
1877,1.0514186854493346e-08,0.0
1878,2.536417298415472e-08,0.0
1879,1.0996785704264767e-08,2.443730107160036e-09
