year,voulez_VERB envoyer_VERB,voulez_VERB renvoyer_VERB
1800,3.144164484325529e-09,0.0
1801,3.095537337571841e-08,0.0
1802,8.951360541686881e-09,0.0
1803,0.0,0.0
1804,9.887403784603066e-09,2.4718509461507665e-09
1805,0.0,5.685755422035754e-09
1806,1.729001475325731e-08,0.0
1807,0.0,0.0
1808,4.5321479902327155e-09,0.0
1809,9.036122072814123e-09,0.0
1810,4.680253518074551e-09,2.3401267590372754e-09
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,1.2586708564299443e-08,0.0
1815,5.394447111228828e-09,0.0
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,2.0239355080775567e-08,0.0
1818,1.5497530370112145e-08,9.536941902865692e-09
1819,8.280840013696888e-09,1.035105001712111e-09
1820,6.40789963313182e-08,1.1866481131050932e-09
1821,0.0,9.86148829262845e-10
1822,3.0076847679083585e-08,1.0025615893027862e-09
1823,1.8777104315859106e-08,9.882686891060644e-10
1824,2.4421225930382207e-08,1.6000115010683658e-08
1825,2.289415235168235e-08,0.0
1826,5.549030035467695e-08,2.642395191543301e-09
1827,4.608636583469661e-09,0.0
1828,3.668920500743411e-09,2.7516904310687096e-09
1829,9.430493719264632e-09,0.0
1830,1.0436835395921662e-08,0.0
1831,9.354723218280014e-09,0.0
1832,1.2176972319366541e-08,1.3529969367098715e-09
1833,4.6334514003376626e-09,0.0
1834,6.534171426153534e-09,1.0267983796552471e-08
1835,2.4958190181223472e-08,1.5126175867408165e-09
1836,2.2178475944656384e-08,0.0
1837,1.87863058442872e-08,4.87052354003481e-09
1838,9.468243078458727e-09,1.8936485712828244e-09
1839,2.1673573158409454e-08,4.894032734625853e-09
1840,1.6561189752906103e-08,3.821813088222825e-09
1841,1.4767261191650505e-08,3.2102742686390684e-09
1842,4.024959032733477e-09,2.0124795163667386e-09
1843,1.0041748765843295e-08,5.906911071384968e-10
1844,1.3721403568922597e-08,5.488561161115513e-09
1845,1.1718478631905782e-08,1.674068439427856e-09
1846,2.2832555401919308e-08,5.854501328173001e-10
1847,4.853901280910122e-09,9.168480197274675e-09
1848,1.287235473768078e-08,9.65426583121598e-09
1849,2.262441967104678e-08,1.4245005175439474e-08
1850,1.5614691761811628e-08,2.7155984128057753e-09
1851,7.094382858952031e-09,1.9348316282474798e-09
1852,1.2370036550635177e-08,0.0
1853,8.957897534855874e-09,6.569124799682413e-09
1854,1.7145692865483397e-08,5.195664454227256e-10
1855,5.306937111981824e-09,1.0613874223963649e-09
1856,1.9673318973900678e-08,0.0
1857,9.763017949637742e-09,0.0
1858,1.9574704523961373e-08,7.829881631948865e-09
1859,1.171199848215565e-08,1.018434669930457e-09
1860,2.654766717569146e-08,2.746310290291376e-09
1861,1.5091083938045813e-08,8.017138064531082e-09
1862,2.981871105589562e-08,4.066187830886747e-09
1863,3.696019490462277e-08,2.4973103585068657e-09
1864,3.452204211384924e-08,3.3563094525845827e-09
1865,1.6003271596787272e-08,0.0
1866,9.731225603104576e-09,2.919367858567057e-09
1867,3.008743121313273e-08,4.85281148598915e-09
1868,1.778354707937524e-08,2.4699371437009177e-09
1869,2.0999133099053324e-08,1.953407657850903e-09
1870,1.77755516972411e-08,6.307453670473251e-09
1871,1.1683295220166201e-08,7.434824311758348e-09
1872,1.1489944995446422e-08,6.047339518033823e-09
1873,2.454261860407314e-08,8.979006871356887e-09
1874,1.9118749250424116e-08,2.9873046258899194e-09
1875,1.5448122780981066e-08,4.577221712764867e-09
1876,1.269663130187837e-08,6.04601479992084e-10
1877,6.80329748092845e-09,8.040260901509555e-09
1878,1.0870359723469392e-08,6.039088673581716e-10
1879,2.2604503158163425e-08,6.109325489944695e-09
1880,2.3746030919369332e-08,1.2835692508872398e-09
1881,1.2550513517339823e-08,4.8807553554297556e-09
1882,1.1979693681496428e-08,6.655385131892899e-09
1883,1.0110942305630033e-08,1.1374810426900694e-08
1884,3.9610181801208455e-09,0.0
1885,1.2891271161663553e-08,3.86738152613475e-09
1886,1.7424351739236954e-08,1.4197620856748472e-08
1887,1.3710741875172516e-08,1.7628096316002484e-08
1888,8.876860135842435e-09,1.268122939990235e-09
1889,1.566284169030041e-08,0.0
1890,8.520702365899524e-09,6.554386478008212e-10
1891,1.466070642663908e-08,1.1473596295275001e-08
1892,9.402768341715273e-09,5.014809900671935e-09
1893,1.7243566574620672e-08,4.926733243593162e-09
1894,2.3315696040526745e-08,5.671385139294216e-09
1895,9.027921521465032e-09,1.0833506536300774e-08
1896,5.307326134129653e-09,1.179405795248556e-09
1897,8.740070001067579e-09,1.1653427112179315e-09
1898,7.355861253444118e-09,5.092519295146758e-09
1899,1.6582735185011188e-08,3.3165470370022376e-09
1900,6.748368974740515e-09,1.142031713641245e-08
1901,6.147612641171918e-09,3.353243460679778e-09
1902,2.455141867585553e-09,0.0
1903,1.2420506401156217e-08,0.0
1904,1.289910045443321e-08,2.1498500757388683e-09
1905,3.6125313851442797e-09,3.6125313851442797e-09
1906,1.5432553013283723e-08,3.0865106026567446e-09
1907,6.1714118260169926e-09,7.199980611716228e-09
1908,1.1296195090437777e-08,0.0
1909,8.251475058784763e-09,5.500983557560346e-10
1910,8.01622590529405e-09,1.068830135508847e-09
1911,6.916486494645824e-09,2.128149656499545e-09
1912,8.335073964360618e-09,0.0
1913,9.545381374209683e-09,1.060597942803554e-09
1914,1.339348720819089e-08,0.0
1915,1.1780761921542648e-09,1.1780761921542648e-09
1916,4.394984820521586e-09,1.0987462051303964e-09
1917,5.483212106582869e-09,0.0
1918,2.2972752589112133e-09,0.0
1919,1.1049418269237776e-08,9.207848372660976e-10
1920,7.572231730534895e-09,7.572231730534895e-10
1921,3.0290989716519334e-09,1.5145494858259667e-09
1922,7.377935595798135e-09,1.4755870969551665e-09
1923,5.307974060286824e-09,4.246379248229459e-09
1924,1.0313299547703991e-08,2.578324886925998e-09
1925,8.798542339150117e-09,1.0998177923937646e-09
1926,8.916910765321973e-09,1.1146138456652466e-09
1927,1.2264147031260109e-08,2.2298449753321847e-09
1928,9.14083297942625e-09,0.0
1929,6.684243825105796e-09,0.0
1930,5.2518016602221e-09,0.0
1931,2.2810713318222042e-09,4.5621426636444085e-09
1932,6.575722188983946e-09,3.287861094491973e-09
1933,4.588264879146209e-09,0.0
1934,1.677421224144382e-08,0.0
1935,1.0771455727365264e-08,0.0
1936,0.0,1.2124714565686645e-09
1937,0.0,5.0364472592434595e-09
1938,1.0372171566075394e-08,0.0
1939,1.5294050470515685e-09,0.0
1940,0.0,0.0
1941,5.9030051957620344e-09,0.0
1942,6.068423541449874e-09,0.0
1943,2.9032352077962287e-09,0.0
1944,6.4263723231761105e-09,0.0
1945,2.178504043826024e-09,6.535512131478072e-09
1946,1.5313215584455975e-08,0.0
1947,1.4305045148432782e-08,4.7683483828109274e-09
1948,7.610321262063735e-09,5.435944139264848e-09
1949,5.890204768377316e-09,4.908504269707237e-09
1950,9.571825110299415e-09,1.0635361480382244e-09
1951,7.462981344019681e-09,2.1322803522849654e-09
1952,1.0544803918932644e-09,2.1089607837865287e-09
1953,5.386913581872932e-09,1.0773827385790469e-09
1954,4.886268278880834e-09,9.772536113672459e-10
1955,1.595553378308523e-08,1.8771215692936494e-09
1956,9.593255967388359e-09,8.72114158667614e-10
1957,4.417518795207798e-09,1.7670075402875796e-09
1958,8.272243334772611e-09,0.0
1959,2.325224457422337e-09,1.5501495642666896e-09
1960,1.4533750203327145e-08,0.0
1961,9.03260666262895e-09,6.948159270159238e-10
1962,1.1415521861124489e-08,0.0
1963,8.405868889838075e-09,1.2932106496776896e-09
1964,1.3384730657151067e-08,0.0
1965,8.20806533852192e-09,5.472043373977442e-10
1966,8.308612464702492e-09,5.539074754423723e-10
1967,6.902469706915326e-09,0.0
1968,7.635406973349745e-09,0.0
1969,6.358460868938209e-09,4.995933444718048e-09
1970,6.438214850135182e-09,1.3796175313274261e-09
1971,5.652237344833111e-09,0.0
1972,1.1799337507056862e-08,1.0260293725750103e-09
1973,9.37244681864513e-09,5.513203782392395e-10
1974,5.06301445213353e-09,2.812785782069227e-09
1975,9.138368284311582e-09,5.711480177694739e-10
1976,5.142174241967723e-09,5.713526873840635e-10
1977,3.526069214387917e-09,0.0
1978,7.72276909088987e-09,1.1881182704343018e-09
1979,1.1118749476679568e-08,5.851973350345929e-10
1980,6.822181042309694e-09,0.0
1981,8.223214109648325e-09,6.325549528618524e-10
1982,4.345251713999687e-09,6.207502289967692e-10
1983,8.841442245000053e-09,1.2630632095778083e-09
1984,6.958810416790584e-09,1.1598016991243298e-09
1985,4.812446441349039e-09,6.015558051686298e-10
1986,1.6784559520033326e-08,1.1988970927134801e-09
