year,moins_ADV appelé_VERB,moins_ADV rappelé_VERB
1800,2.2009151834367913e-08,0.0
1801,3.809892135109294e-08,4.7623651688866175e-09
1802,1.1189200677108602e-08,0.0
1803,1.755305234496518e-08,5.851017448321727e-09
1804,4.943701892301533e-09,0.0
1805,0.0,2.842877755426798e-08
1806,2.5935023018064385e-08,1.4408345627714425e-08
1807,7.117387923472052e-08,1.7081731584767113e-08
1808,1.1330369531492579e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,9.360507036149102e-09,0.0
1811,2.0056614147279106e-08,7.521229861140455e-09
1812,1.8670457180292033e-08,1.600324850414836e-08
1813,8.627225156487839e-09,0.0
1814,1.2586708564299443e-08,0.0
1815,5.933891955578474e-08,0.0
1816,1.1588019432906549e-08,6.952811659743929e-09
1817,4.981994905506326e-08,0.0
1818,4.410835785506606e-08,2.1458118837358597e-08
1819,4.864993385922389e-08,1.5526575580793178e-08
1820,2.7292905713238724e-08,3.5599443393152796e-09
1821,4.2404398215012407e-08,9.86148829262845e-10
1822,6.717162648328667e-08,0.0
1823,3.261286707356703e-08,9.882686669016039e-09
1824,3.03160057057994e-08,3.2842340402794434e-08
1825,2.8177417732422327e-08,5.283265824829186e-09
1826,2.9947145208097936e-08,2.642395191543301e-09
1827,2.3043183361437514e-08,9.217273166939322e-09
1828,4.861319524707142e-08,1.559291185060374e-08
1829,2.8291481157793896e-08,0.0
1830,1.982998831806526e-08,7.305785310052215e-09
1831,2.8064171431196883e-08,1.5591206103948707e-09
1832,1.488296597074168e-08,8.117981842303834e-09
1833,3.59092489077284e-08,0.0
1834,3.173740381612333e-08,1.8669061851994684e-09
1835,1.739510224751939e-08,0.0
1836,2.755507466645213e-08,2.016224964762614e-09
1837,3.6181031504156635e-08,2.7831563720326358e-09
1838,2.7773513266993177e-08,5.049729523420865e-09
1839,3.705481788074394e-08,3.4957374772659477e-09
1840,3.885510224677091e-08,1.2739377330817092e-09
1841,4.173356416004026e-08,1.2841097074556274e-08
1842,2.5491406319133603e-08,1.0733224087289273e-08
1843,2.126487963494128e-08,4.7255288571079745e-09
1844,3.896878553177885e-08,1.4819115712327857e-08
1845,1.0044410636567136e-08,1.674068439427856e-09
1846,1.2294452567118697e-08,0.0
1847,4.1527822958187244e-08,1.294373674909366e-08
1848,3.137636639394259e-08,8.04522137798358e-09
1849,2.3462362719328667e-08,8.379414939696517e-10
1850,2.987158254086353e-08,1.0862393651223101e-08
1851,1.805842941848823e-08,6.449438760824933e-10
1852,1.7578472011337e-08,1.3021090872200602e-09
1853,2.508211416341055e-08,1.1346670270029335e-08
1854,2.8056588163849483e-08,4.676098175337984e-09
1855,2.7065379271107304e-08,1.5920811335945473e-09
1856,2.9509978460851016e-08,5.177189343896771e-09
1857,3.124165814938351e-08,4.881509085841174e-10
1858,2.202154192332273e-08,9.297984604472731e-09
1859,3.1571474323754956e-08,6.110608019582742e-09
1860,2.7920821210614122e-08,5.492620580582752e-09
1861,2.6409397335669382e-08,9.903524222920623e-09
1862,2.6656119089807362e-08,5.421583626485926e-09
1863,3.646073309937492e-08,4.495158911765884e-09
1864,5.178306139441702e-08,1.2945765348604255e-08
1865,1.4120533187167439e-08,8.47231973466478e-09
1866,2.0435575009969398e-08,8.271541673821048e-09
1867,4.755755256269367e-08,1.0190904120577216e-08
1868,3.507310708528166e-08,3.457911734727759e-09
1869,1.5627261262807224e-08,8.30198221279943e-09
1870,2.408300403544672e-08,1.6628741050794815e-08
1871,2.0180236148803488e-08,2.1242354542039266e-09
1872,2.4794090336399677e-08,9.675742873582749e-09
1873,1.496501056408306e-08,8.979006871356887e-09
1874,1.9716210886144836e-08,4.779687312606029e-09
1875,3.318485752856759e-08,6.293679799540541e-09
1876,1.9951848173604958e-08,1.6928840551599933e-08
1877,1.7317484335421796e-08,1.8554447978047506e-09
1878,3.200716847118201e-08,1.1474268646338714e-08
1879,1.0385853066452455e-08,1.832797580370027e-09
1880,4.55667077403632e-08,3.8507077526617195e-09
1881,3.416528571165145e-08,5.5780060570498335e-09
1882,2.1297232422057277e-08,1.7304001787010748e-08
1883,1.3270612164717477e-08,1.1374810426900694e-08
1884,2.442627788923346e-08,6.601696966868076e-10
1885,2.2559724754955823e-08,5.156508553483263e-09
1886,3.4203360144147155e-08,1.0325542199041138e-08
1887,2.9380160526670807e-08,6.528924512139156e-09
1888,2.4728397107764977e-08,1.268122939990235e-09
1889,2.6940087494153886e-08,9.397704836544563e-09
1890,2.6872983838188702e-08,1.3108772956016423e-09
1891,1.529812720946211e-08,2.5496880162734215e-09
1892,2.382034658410248e-08,4.387958441043338e-09
1893,2.155445777418663e-08,5.542574843531156e-09
1894,2.142523314319078e-08,7.561847148451761e-09
1895,1.2639090662958097e-08,6.018614495673091e-09
1896,1.7691087705884456e-08,1.1204354777305525e-08
1897,2.3889525024856084e-08,1.2236098356765979e-08
1898,1.9238406423482957e-08,1.0185038590293516e-08
1899,1.879376654301268e-08,0.0
1900,1.9206897405865675e-08,1.2977633190303095e-08
1901,6.147612641171918e-09,2.235495566438317e-09
1902,1.1293653123800595e-08,2.455141867585553e-09
1903,8.640352433531007e-09,7.560307935250421e-09
1904,1.6123875568041512e-08,4.837162670412454e-09
1905,1.7030505006232488e-08,3.6125313851442797e-09
1906,1.8519063615940468e-08,5.658602919567102e-09
1907,1.0799970695529737e-08,5.142843373384665e-10
1908,1.964555629285769e-08,9.822778146428846e-10
1909,9.901770070541716e-09,3.300590023513905e-09
1910,1.2825961626106164e-08,4.809735720812114e-09
1911,1.9153347352585115e-08,8.51259862599818e-09
1912,2.5526164293410147e-08,4.688478938419394e-09
1913,1.0075680734189518e-08,1.590896969716482e-09
1914,1.6072185360371805e-08,6.696743604095445e-09
1915,1.0602685840410686e-08,0.0
1916,6.592477230782379e-09,0.0
1917,1.7546279096336548e-08,4.386569774084137e-09
1918,6.89182577673364e-09,2.1824114071478107e-08
1919,1.2890987832747669e-08,5.524709134618888e-09
1920,1.665890891899835e-08,7.572231730534895e-10
1921,2.4232791773215467e-08,4.543648568500203e-09
1922,1.1804696775641332e-08,1.3280283539529592e-08
1923,9.554353752605493e-09,7.431163684401554e-09
1924,2.578324886925998e-09,0.0
1925,1.2097995494286806e-08,0.0
1926,1.114613823460786e-08,2.229227691330493e-09
1927,8.919379901328739e-09,1.1149224876660924e-09
1928,1.2568645679778001e-08,1.1426041446327417e-08
1929,6.684243825105796e-09,1.1140406375176326e-09
1930,1.05036033204442e-08,3.1510811737689437e-09
1931,5.7026783295555106e-09,1.1405356659111021e-09
1932,3.287861094491973e-09,1.0959536389520963e-08
1933,1.4911860191091364e-08,8.02946331646126e-09
1934,1.4377896206951846e-08,0.0
1935,5.98414207075848e-09,5.98414207075848e-09
1936,6.0623572828433225e-09,2.424942913137329e-09
1937,1.0072894518486919e-08,3.777335333410292e-09
1938,7.779128452511941e-09,2.5930428915188486e-09
1939,9.176430282309411e-09,9.176430282309411e-09
1940,7.607348528892999e-09,2.5357829169792012e-09
1941,8.854508237732261e-09,1.1806010391524069e-08
1942,3.3376331032286544e-08,0.0
1943,5.806470415592457e-09,2.9032352077962287e-09
1944,2.8918675454292497e-08,3.2131861615880553e-09
1945,1.089252066321933e-08,0.0
1946,1.1136883415474585e-08,1.3921104269343232e-09
1947,1.1920871401116528e-08,0.0
1948,6.523132700664291e-09,3.2615663503321457e-09
1949,1.9634016634739737e-09,4.908504269707237e-09
1950,1.595304155443955e-08,7.444753258312176e-09
1951,2.4521224162299404e-08,5.330700769690111e-09
1952,1.370824520563474e-08,9.490323193972472e-09
1953,6.464296653518886e-09,5.386913581872932e-09
