year,nos_DET routes_NOUN
1800,1.3834323731032327e-07
1801,1.500145048183299e-07
1802,1.6336232988578558e-07
1803,9.751695984050457e-08
1804,8.157108188910911e-08
1805,5.970043259750923e-08
1806,1.1814843325907987e-07
1807,5.4092145873596564e-08
1808,1.4049658947357102e-07
1809,6.77709144358829e-08
1810,8.658469230482524e-08
1811,1.3036799373367103e-07
1812,1.1735716043403954e-07
1813,5.4639092583741444e-08
1814,6.608021863030444e-08
1815,1.1058616422587875e-07
1816,8.343374346964083e-08
1817,9.185552762858151e-08
1818,1.192117711212859e-07
1819,1.43879598013541e-07
1820,5.102586797534059e-08
1821,1.3707468937695921e-07
1822,1.2632276025215106e-07
1823,1.9864200773156426e-07
1824,1.49895810430678e-07
1825,1.9724193123238365e-07
1826,1.8056367423469055e-07
1827,4.120120955519724e-07
1828,2.632450364359329e-07
1829,6.429882084546534e-07
1830,4.6235181905274203e-07
1831,7.437005322685764e-07
1832,4.613719695178986e-07
1833,4.2627753771284915e-07
1834,3.5844598755829793e-07
1835,5.710131603109403e-07
1836,3.172194134037909e-07
1837,4.5782921809234267e-07
1838,4.6773119422027776e-07
1839,2.447016296258653e-07
1840,3.012862652695958e-07
1841,3.678974245246991e-07
1842,3.931043401905754e-07
1843,4.861387878918322e-07
1844,4.0011611535106795e-07
1845,3.5322842251162e-07
1846,2.9331052253667167e-07
1847,2.588747456400142e-07
1848,2.9123701295041826e-07
1849,3.6115278323478606e-07
1850,3.2247731329704266e-07
1851,4.1792364147141825e-07
1852,2.565154879619058e-07
1853,2.0782322174284218e-07
1854,2.0730700622806353e-07
1855,2.0856263205359937e-07
1856,1.6308145989185618e-07
1857,1.923314520979602e-07
1858,2.833438506044672e-07
1859,2.1132519645306047e-07
1860,1.8629138409664847e-07
1861,2.0750240503630835e-07
1862,2.272547030557348e-07
1863,2.447364266799923e-07
1864,2.392569280473822e-07
1865,2.692314831076459e-07
1866,2.4960593769662864e-07
1867,2.3439079477327596e-07
1868,2.3859592346298086e-07
1869,1.7971350452228307e-07
1870,1.9495765846144764e-07
1871,4.099774377763765e-07
1872,2.146805391234352e-07
1873,2.855324066075582e-07
1874,2.664675542440875e-07
1875,2.6547885134675653e-07
1876,2.448635925134113e-07
1877,2.1152070495134012e-07
1878,1.9868601874861724e-07
1879,2.620900483307764e-07
1880,2.2847532576975027e-07
1881,2.7123054113786793e-07
1882,2.0432032155071056e-07
1883,2.7741897756783374e-07
1884,2.1257463789225994e-07
1885,3.016557617585569e-07
1886,1.4326689257160297e-07
1887,1.8215699681967124e-07
1888,1.8451189487400654e-07
1889,1.666526365795562e-07
1890,2.7135159097468886e-07
1891,2.090744191107774e-07
1892,2.3506920943106024e-07
1893,2.0014853463479199e-07
1894,2.6529479701942194e-07
1895,2.028273140552983e-07
1896,2.665457126127535e-07
1897,1.9461223299543917e-07
1898,2.4783594554378396e-07
1899,2.9351442343283907e-07
1900,3.0731034250663924e-07
1901,1.911348705974092e-07
1902,1.9690238417524597e-07
1903,2.5273029446992723e-07
1904,2.563696188673248e-07
1905,2.435878219131382e-07
1906,2.860166503637629e-07
1907,3.4765619894017163e-07
1908,4.164858049549025e-07
1909,3.157564538724955e-07
1910,2.1376602621359098e-07
1911,2.6123038399106235e-07
1912,2.750574426002572e-07
1913,3.10755205568114e-07
1914,3.408642674784801e-07
1915,4.67696245287641e-07
1916,3.0984641785636313e-07
1917,3.289927423821837e-07
1918,3.7675314512597424e-07
1919,4.2448179726761737e-07
1920,3.6346712306567497e-07
1921,3.01395344237676e-07
1922,2.8700169529827235e-07
1923,2.876921989525272e-07
1924,3.2744727018751973e-07
1925,3.2664589078024164e-07
1926,4.0794866862370327e-07
1927,4.7495696620103445e-07
1928,3.8734279783625425e-07
1929,4.0328269967915276e-07
1930,3.875829772681527e-07
1931,3.1706891334692955e-07
1932,2.78372219497669e-07
1933,3.016784049236776e-07
1934,3.8820320824584087e-07
1935,2.8005784713514004e-07
1936,3.394920220500808e-07
1937,2.795228137841832e-07
1938,2.8393819828664846e-07
1939,2.8141054286834333e-07
1940,3.0429395447839624e-07
1941,3.6598631858453246e-07
1942,2.2756587725325517e-07
1943,3.1935586441989017e-07
1944,2.89186765201066e-07
1945,3.4202512466663393e-07
1946,3.146169582635139e-07
1947,2.872929876218677e-07
1948,2.8158189380178555e-07
1949,2.1793758442356648e-07
1950,2.637569682661933e-07
1951,3.187759158862491e-07
1952,2.8576417321346526e-07
1953,2.5749446841416557e-07
1954,2.189048053935494e-07
1955,2.590427756743452e-07
1956,2.6773904870935894e-07
1957,2.3412849969872696e-07
1958,2.5809399240017683e-07
1959,2.472488569438269e-07
1960,2.2423500745105684e-07
1961,2.411011212899439e-07
1962,2.34018187494911e-07
1963,2.521760862350675e-07
1964,3.279258997679335e-07
1965,2.407699106754535e-07
1966,2.3596459097774414e-07
1967,2.618008281274342e-07
1968,2.3130792037306946e-07
1969,2.3980480712282315e-07
1970,2.276368835651965e-07
1971,2.3328325138294304e-07
1972,2.1649219839048328e-07
1973,1.891028844624998e-07
1974,1.9239455539832306e-07
1975,1.77627034858574e-07
1976,1.7769069149409233e-07
1977,1.5103329964460954e-07
1978,1.853464555168216e-07
1979,1.7146282171864868e-07
1980,1.8533590662173083e-07
1981,1.8344093000166595e-07
1982,1.8250057287616528e-07
1983,2.121946156563581e-07
1984,2.1746282463652733e-07
1985,1.9670875239796715e-07
1986,2.1939817251848126e-07
1987,1.6804746127974113e-07
1988,1.8889144648426281e-07
1989,2.0086526575369135e-07
1990,2.2502928764822627e-07
1991,2.2918328390630904e-07
1992,1.8182815875178449e-07
1993,2.320927876553469e-07
1994,1.930623181323199e-07
1995,1.887012910373187e-07
1996,1.830965556948172e-07
1997,1.5391611007942174e-07
1998,1.9263242378997347e-07
1999,1.649842644724231e-07
2000,1.6037454741990587e-07
2001,2.2037494673554647e-07
2002,1.7437260968478085e-07
2003,1.8459467909792693e-07
2004,2.1010854389658107e-07
2005,2.076228557967852e-07
2006,2.1701280061847683e-07
2007,2.2968256807587295e-07
2008,2.0095115615959003e-07
2009,2.2648914210776638e-07
2010,2.371344116625096e-07
2011,2.6729564339689205e-07
2012,2.747232059618909e-07
2013,2.6106210526677387e-07
2014,2.6808211828210915e-07
2015,2.713088242956019e-07
2016,2.943374326491721e-07
2017,3.0187334942866073e-07
2018,3.0487120383781985e-07
2019,3.0509814408219427e-07
