year,voudrions_VERB avoir_VERB
1800,6.288328968651058e-09
1801,4.524246932646747e-08
1802,1.1189200677108602e-08
1803,3.705644502360883e-08
1804,6.426812149129546e-08
1805,1.1371510844071508e-08
1806,2.5935023018064385e-08
1807,5.124519120158766e-08
1808,9.064295980465431e-09
1809,2.4849335034105025e-08
1810,1.1700633351097167e-08
1811,2.5070768572277302e-08
1812,5.3344166417446104e-08
1813,5.176335093892703e-08
1814,2.2026739543434815e-08
1815,4.045835311217161e-08
1816,2.5493642752394408e-08
1817,2.3353100786493997e-08
1818,2.6226590676969863e-08
1819,5.796588098405664e-08
1820,2.8479554714522237e-08
1821,4.7335142028259725e-08
1822,2.2056354964661296e-08
1823,3.063632902922109e-08
1824,5.4737231636181605e-08
1825,2.553578504205234e-08
1826,5.372870504061211e-08
1827,2.2121454890111636e-08
1828,1.6510142586412258e-08
1829,2.6576845613135447e-08
1830,3.965997663613052e-08
1831,3.274153215215847e-08
1832,4.19429042608499e-08
1833,5.09679658478035e-08
1834,3.080395316601425e-08
1835,3.025235173481633e-08
1836,6.25029770162655e-08
1837,2.1569462660409044e-08
1838,4.039783618736692e-08
1839,7.341049013120937e-08
1840,2.6115722917552375e-08
1841,3.4028907691663335e-08
1842,5.500777433553594e-08
1843,4.784597962270709e-08
1844,6.476502534269457e-08
1845,5.6918324276011845e-08
1846,4.156695965207291e-08
1847,3.721324404182269e-08
1848,4.505324113779352e-08
1849,6.535943697372204e-08
1850,4.616517301769818e-08
1851,8.190787070816441e-08
1852,4.362065553209504e-08
1853,6.031650912063924e-08
1854,6.546537179019651e-08
1855,6.209116065747367e-08
1856,8.387046790403474e-08
1857,3.612316845647001e-08
1858,3.0830157982109085e-08
1859,7.689181558134806e-08
1860,5.446849016266242e-08
1861,4.0557289082698844e-08
1862,6.00892207103243e-08
1863,7.292146619874984e-08
1864,4.794727814783073e-08
1865,6.165966226490127e-08
1866,5.400830360713371e-08
1867,7.036576477048584e-08
1868,6.323038803657255e-08
1869,4.395167252368992e-08
1870,5.103303379883073e-08
1871,4.354682658913589e-08
1872,8.163907949665372e-08
1873,7.123345113768664e-08
1874,4.301718448118663e-08
1875,6.923048090357042e-08
1876,6.227395488167531e-08
1877,3.3398006138440905e-08
1878,4.5293166550663955e-08
1879,4.948553566919145e-08
1880,5.0059199452334724e-08
1881,5.438555916725818e-08
1882,3.793569547383413e-08
1883,4.676310894069502e-08
1884,8.120087358065575e-08
1885,3.480643329112354e-08
1886,5.679048342699389e-08
1887,5.3537181798901656e-08
1888,6.78445744028977e-08
1889,5.7639258699282436e-08
1890,8.651790039948537e-08
1891,5.290602800300803e-08
1892,4.199903358426127e-08
1893,5.234653954744317e-08
1894,6.175508815431385e-08
1895,5.777869915846168e-08
1896,6.309821287686646e-08
1897,4.603103676004139e-08
1898,6.790025963709923e-08
1899,4.532614283903058e-08
1900,3.2703635355346705e-08
1901,5.812288605966387e-08
1902,3.0443761289689064e-08
1903,3.294134387488157e-08
1904,4.03096898082822e-08
1905,5.1091515018697464e-08
1906,4.578324208637241e-08
1907,5.862841589987511e-08
1908,7.367083298959187e-08
1909,5.4459736276157855e-08
1910,5.9320072409718705e-08
1911,3.6710581241550244e-08
1912,6.459682566628544e-08
1913,4.666630815108874e-08
1914,4.8216556081115414e-08
1915,6.597226587246041e-08
1916,3.955486249651585e-08
1917,6.141197417264266e-08
1918,3.790504266021344e-08
1919,4.1435317399418636e-08
1920,4.391894492528081e-08
1921,4.998013380941302e-08
1922,5.090775445637519e-08
1923,6.688047449188161e-08
1924,6.445812061883771e-08
1925,6.488924952918751e-08
1926,5.9074533709235766e-08
1927,6.020581366783517e-08
1928,4.4561559775502246e-08
1929,5.124586976990031e-08
1930,4.936693542845205e-08
1931,7.185374784057785e-08
1932,7.781270738860258e-08
1933,4.817677989876756e-08
1934,4.912448048344231e-08
1935,5.2660450222674626e-08
1936,5.2136272188363364e-08
1937,6.925115059175369e-08
1938,3.8895642262559704e-08
1939,3.976452944698394e-08
1940,2.7893612752905028e-08
1941,4.132103725851266e-08
1942,3.944475324146879e-08
1943,2.6129116648121453e-08
1944,3.213186161588055e-08
1945,6.971212940243277e-08
1946,5.8468636154884734e-08
1947,7.271731305991125e-08
1948,7.392883816237372e-08
1949,5.5956945743673714e-08
1950,5.317680873417885e-08
1951,5.330700858507953e-08
1952,4.639713679921442e-08
1953,4.8482224457302436e-08
1954,4.69081733456278e-08
1955,2.815682265122632e-08
1956,5.319896345667985e-08
1957,4.0641172205369e-08
1958,3.6397871383542224e-08
1959,4.4954337141689393e-08
1960,3.668041514970355e-08
1961,4.238377115939329e-08
1962,2.6002021868976044e-08
1963,2.909724017285953e-08
1964,3.711220841751128e-08
1965,4.2134733035936733e-08
1966,3.489617128593636e-08
1967,3.204718268534634e-08
1968,4.177016776907294e-08
1969,4.67801051229344e-08
1970,3.678979965116014e-08
1971,3.288574390580834e-08
1972,3.026786643545165e-08
1973,3.418186267367673e-08
1974,3.994155761688489e-08
1975,2.798625331479343e-08
1976,2.628222439682304e-08
1977,3.526069036752233e-08
1978,2.4950484345254154e-08
1979,2.5163485517509798e-08
1980,3.1268328370970266e-08
1981,2.783241725978769e-08
1982,3.5382761609525915e-08
1983,3.0945049189767815e-08
1984,2.0876431250371752e-08
1985,2.4062231318566774e-08
1986,2.6975184752586756e-08
1987,1.9554613928107756e-08
1988,1.798966131616453e-08
1989,3.018467253923518e-08
1990,1.4166492867673242e-08
1991,3.04796188288492e-08
1992,2.1488782309120324e-08
1993,2.049506697687775e-08
1994,3.270454485004848e-08
1995,1.3013881527967897e-08
1996,1.4412848692302305e-08
1997,2.013855748828064e-08
1998,1.2397135762398648e-08
1999,1.3253583119876566e-08
2000,2.0322945104567225e-08
2001,1.7524847351069184e-08
2002,1.1829298429688606e-08
2003,1.5417615628621206e-08
2004,1.4535810777260849e-08
2005,1.9816498664226856e-08
2006,1.3589036562677848e-08
2007,1.677681460421354e-08
2008,2.426740586258802e-08
2009,2.2887324035991696e-08
2010,1.6060896612657416e-08
2011,1.7207874236646603e-08
2012,2.11063664323774e-08
2013,2.2312999448104165e-08
2014,1.9489005964601347e-08
2015,1.8619234154471087e-08
2016,1.905632807108759e-08
2017,1.1320251402935355e-08
2018,1.523065407127433e-08
2019,1.224474122096808e-08
