year,des_DET aides_NOUN
1800,2.200915165673223e-07
1801,3.619397510590261e-07
1802,3.849085032925359e-07
1803,2.613454510580482e-07
1804,3.3617172046085386e-07
1805,2.44487490697054e-07
1806,3.22746954495301e-07
1807,3.103181045460701e-07
1808,2.334056237174309e-07
1809,2.7334268004608475e-07
1810,2.9953622604494967e-07
1811,2.23129830168034e-07
1812,6.027890577797734e-07
1813,4.054795845753745e-07
1814,7.08002338534186e-07
1815,3.803085260045691e-07
1816,5.098728443897471e-07
1817,3.985596066513608e-07
1818,5.293002507400502e-07
1819,3.488303890186728e-07
1820,4.710992964618299e-07
1821,4.7236527755956104e-07
1822,3.5390425523473823e-07
1823,4.5658013991811686e-07
1824,5.793725543767891e-07
1825,5.380125776e-07
1826,6.605988138730368e-07
1827,5.843751029743771e-07
1828,7.126877954455324e-07
1829,5.229637256576325e-07
1830,7.399716484002283e-07
1831,6.127343925577122e-07
1832,6.967934065293946e-07
1833,5.9192342138914e-07
1834,6.562175531854564e-07
1835,5.294161269375763e-07
1836,5.30267190157474e-07
1837,6.59608037523185e-07
1838,6.400532210903975e-07
1839,8.991036892780357e-07
1840,6.80919695739135e-07
1841,6.812201989170319e-07
1842,6.185020628990401e-07
1843,5.841935024619715e-07
1844,6.0538832080681e-07
1845,6.779977148596572e-07
1846,5.77839290194504e-07
1847,6.515014128183338e-07
1848,8.825608199813928e-07
1849,7.323608457454611e-07
1850,6.273032191472794e-07
1851,9.809596601684234e-07
1852,5.201925628028903e-07
1853,7.733651958830023e-07
1854,4.5669889736643654e-07
1855,7.302345572668401e-07
1856,6.507727068338909e-07
1857,5.272029675040812e-07
1858,6.694549004038208e-07
1859,5.789801242883641e-07
1860,6.26616476928632e-07
1861,5.479949916065152e-07
1862,5.963741607217798e-07
1863,6.51298545761847e-07
1864,5.557089926000458e-07
1865,6.090656601287492e-07
1866,5.245130640929574e-07
1867,6.396005520770132e-07
1868,7.404871329441676e-07
1869,6.397409872960225e-07
1870,6.943933161807081e-07
1871,7.477308905379232e-07
1872,5.230948225687371e-07
1873,5.644802456572506e-07
1874,7.516058131429304e-07
1875,6.419553439940273e-07
1876,5.659069888253043e-07
1877,5.182875675302512e-07
1878,5.990776017483768e-07
1879,8.100965138702065e-07
1880,5.429497860198751e-07
1881,5.961493840800358e-07
1882,5.59717872050669e-07
1883,6.281422741949427e-07
1884,5.419993147626201e-07
1885,5.549692101425308e-07
1886,6.388929074674365e-07
1887,5.347189464544044e-07
1888,6.949313551274372e-07
1889,5.494524906168863e-07
1890,4.876463446379375e-07
1891,5.86428256621474e-07
1892,4.927050589742521e-07
1893,5.622634420276995e-07
1894,5.35630861442371e-07
1895,5.380641603380809e-07
1896,5.484236886843519e-07
1897,5.407190180051202e-07
1898,5.482946043855463e-07
1899,4.339149022314359e-07
1900,4.5577445462186006e-07
1901,5.136051006715547e-07
1902,5.293285809671033e-07
1903,4.6765906347445707e-07
1904,5.288630910982306e-07
1905,4.892399481093435e-07
1906,4.5783242796915147e-07
1907,5.487414025395765e-07
1908,4.7100219902063145e-07
1909,5.65501101057464e-07
1910,4.5585604091513687e-07
1911,4.926666559157411e-07
1912,4.438426994823885e-07
1913,4.5340563392670674e-07
1914,4.5939661585947533e-07
1915,3.8051860151711026e-07
1916,4.7136212089071705e-07
1917,4.298838245375691e-07
1918,3.7790177920271617e-07
1919,4.088284564218725e-07
1920,3.362070875034817e-07
1921,4.0968563208565456e-07
1922,3.6668339031820096e-07
1923,4.161451667705762e-07
1924,3.880379049192584e-07
1925,4.3002875571573895e-07
1926,3.1432110869644703e-07
1927,3.7795872209756e-07
1928,3.416386320509446e-07
1929,3.264139052383541e-07
1930,5.293816291995768e-07
1931,3.683930112075018e-07
1932,3.6056874375134385e-07
1933,3.613258705570388e-07
1934,4.445166101874065e-07
1935,3.9615019886696246e-07
1936,3.685913219086956e-07
1937,3.512921864512464e-07
1938,3.370955745651827e-07
1939,3.395279186690914e-07
1940,3.499380483162895e-07
1941,4.220648812669481e-07
1942,5.249186627587221e-07
1943,3.1645262876800473e-07
1944,3.6951640325355584e-07
1945,3.9866624845785736e-07
1946,3.327143849318759e-07
1947,3.1232682395909706e-07
1948,4.250908016700805e-07
1949,9.522498047864758e-07
1950,3.2012438033746093e-07
1951,3.71016772859889e-07
1952,3.669591719379639e-07
1953,3.501494010293982e-07
1954,3.7819714826525797e-07
1955,4.82420237091219e-07
1956,5.398386564436919e-07
1957,4.921116141254345e-07
1958,7.668369770286176e-07
1959,6.681144717468612e-07
1960,6.650920791884118e-07
1961,8.094605474795458e-07
1962,7.692793113633911e-07
1963,9.466301733596083e-07
1964,1.0513097672415483e-06
1965,1.1743005625675096e-06
1966,1.2806340290438811e-06
1967,1.4342346119633476e-06
1968,1.1736069938095284e-06
1969,1.6009696786056793e-06
1970,1.5171193483709544e-06
1971,1.6848805461933125e-06
1972,1.6390818711187194e-06
1973,1.4328816875242012e-06
1974,1.712423963518006e-06
1975,1.7951182513797903e-06
1976,1.687204441935819e-06
1977,1.428057931462945e-06
1978,1.5718804746711612e-06
1979,1.6853683306727874e-06
1980,1.5128185935076033e-06
1981,1.6990426046081808e-06
1982,1.8219018835807788e-06
1983,1.8655443456694343e-06
1984,1.9844207557184745e-06
1985,2.1042421782802023e-06
1986,2.068697042556522e-06
1987,1.98112685989571e-06
1988,2.046024099477961e-06
1989,1.971882267248759e-06
1990,1.881419146698704e-06
1991,2.0151717610161768e-06
1992,2.214446501724865e-06
1993,2.2971092548118577e-06
1994,2.2539760773376827e-06
1995,2.1283119799875294e-06
1996,2.3647749118893557e-06
1997,2.244010568475119e-06
1998,2.736906087541513e-06
1999,2.638834207147056e-06
2000,2.645958970148854e-06
2001,2.9673948018782426e-06
2002,2.7005848930450327e-06
2003,2.803088961389477e-06
2004,2.796161392870644e-06
2005,2.742783401732396e-06
2006,2.3957884227598925e-06
2007,2.3946903384697293e-06
2008,2.7294444944203633e-06
2009,2.350242131576863e-06
2010,2.3670926143637416e-06
2011,2.1605442639405226e-06
2012,1.8525943783487264e-06
2013,1.8450062440056314e-06
2014,1.4835464563489609e-06
2015,1.5560359778454824e-06
2016,1.4143109532405163e-06
2017,1.6004319404183676e-06
2018,1.3901198077093113e-06
2019,1.3086567238751456e-06
