year,sans_ADP accompagner_VERB,sans_ADP raccompagner_VERB
1800,3.144164484325529e-09,0.0
1801,1.1905912700171939e-08,0.0
1802,8.951360541686881e-09,0.0
1803,1.1702034896643454e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,2.2743021688143017e-08,0.0
1806,8.645007376628655e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,4.680253518074551e-09,2.3401267590372754e-09
1811,5.0141535368197765e-09,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,2.5173417128598885e-08,0.0
1815,5.394447111228828e-09,0.0
1816,4.8669683394564345e-08,0.0
1817,6.227493631882908e-09,0.0
1818,1.668964877410417e-08,2.384235475716423e-09
1819,1.1386155129855524e-08,0.0
1820,1.1866481131050932e-08,1.1866481131050932e-09
1821,4.930744257336528e-09,0.0
1822,9.023054303725075e-09,1.0025615893027862e-09
1823,4.4472091786929013e-08,0.0
1824,5.052667617633233e-09,0.0
1825,1.8491430608946757e-08,0.0
1826,2.1139161532346407e-08,0.0
1827,2.1199728195142598e-08,0.0
1828,8.255071293206129e-09,0.0
1829,1.628903412154159e-08,0.0
1830,1.7742621594152297e-08,0.0
1831,6.236482441579483e-09,0.0
1832,3.5177919244233635e-08,0.0
1833,3.1275796175123105e-08,1.1583628500844156e-09
1834,1.3068342852307069e-08,9.334530925997342e-10
1835,4.5378527602224494e-09,0.0
1836,1.0753200108126748e-08,0.0
1837,3.2006298056330706e-08,1.3915781860163179e-09
1838,1.7674054220151447e-08,0.0
1839,2.9364196407755117e-08,0.0
1840,1.7198159341091923e-08,0.0
1841,3.274479709602929e-08,1.2841097074556274e-09
1842,1.9453969102301016e-08,0.0
1843,2.1855571574747046e-08,0.0
1844,2.085653250105679e-08,5.488561272137815e-10
1845,1.395057031006175e-08,5.580227946389016e-10
1846,1.1123552745573306e-08,0.0
1847,2.3730184040005042e-08,0.0
1848,1.689496542667257e-08,0.0
1849,2.513824481908955e-09,0.0
1850,3.394498016007219e-09,0.0
1851,1.1608989325395669e-08,1.2898877521649865e-09
1852,3.5156944022674e-08,2.6042181744401205e-09
1853,2.6873692604567623e-08,5.971931837933653e-10
1854,1.8704392701351935e-08,1.558699391779328e-09
1855,2.9188154115900034e-08,0.0
1856,1.9155599773057475e-08,0.0
1857,9.763017949637742e-09,4.881509085841174e-10
1858,1.3212924920846802e-08,4.893676019968041e-10
1859,2.2405563404603868e-08,0.0
1860,2.4716793944890014e-08,4.577183909670879e-10
1861,4.197207559286653e-08,0.0
1862,1.8523744316212287e-08,4.517986262886353e-10
1863,5.494082966350788e-09,0.0
1864,1.8699438442126848e-08,0.0
1865,2.5416959203994338e-08,0.0
1866,2.8707116683790446e-08,0.0
1867,1.4073153309368536e-08,9.7056229719783e-10
1868,3.359114231216154e-08,0.0
1869,2.0022428159904848e-08,4.883519144627257e-10
1870,2.5229814681893004e-08,0.0
1871,7.434824311758348e-09,0.0
