year,dernières_ADJ règles_NOUN
1800,2.5153315874604232e-08
1801,2.6193008650921e-08
1802,6.042168365638645e-08
1803,3.315576790896557e-08
1804,1.4831105232815389e-08
1805,1.9900143755080535e-08
1806,1.729001475325731e-08
1807,2.562259560079383e-08
1808,6.798221985349073e-09
1809,2.0331274441787173e-08
1810,2.574139479349924e-08
1811,2.0056614147279106e-08
1812,5.3344164641089264e-09
1813,1.1502966579257645e-08
1814,2.2026739543434815e-08
1815,5.394447111228828e-09
1816,0.0
1817,4.670620334934483e-09
1818,1.4305412854298538e-08
1819,5.796588098405664e-08
1820,2.3732962262101864e-09
1821,1.676452932031225e-08
1822,2.4061478143266868e-08
1823,4.941343334508019e-09
1824,1.0105335235266466e-08
1825,7.924898959288385e-09
1826,1.6735169694470642e-08
1827,3.041700225026034e-08
1828,9.172301140836225e-09
1829,1.1145129263923081e-08
1830,8.349468672008697e-09
1831,1.2472964883158966e-08
1832,9.470978667991403e-09
1833,8.108539617524002e-09
1834,8.401078055442213e-09
1835,9.832014313815307e-09
1836,2.352262562510532e-08
1837,2.2265250976261086e-08
1838,3.28232410140572e-08
1839,2.586845759822154e-08
1840,3.05745047057826e-08
1841,3.017657945747487e-08
1842,3.287049921141261e-08
1843,5.729703644874462e-08
1844,2.6893950177964143e-08
1845,1.897277535078956e-08
1846,4.156695965207291e-08
1847,2.8044762956369595e-08
1848,1.850401076808339e-08
1849,1.1731181359664333e-08
1850,2.1045888587423178e-08
1851,1.9993260380601896e-08
1852,2.408901877970493e-08
1853,1.1346670270029335e-08
1854,1.7665259477439577e-08
1855,5.466145225341279e-08
1856,2.174419400091665e-08
1857,1.3180074809326925e-08
1858,1.0766087576996597e-08
1859,1.8331824946926645e-08
1860,2.1512764902809067e-08
1861,3.4426534512022045e-08
1862,5.557123117228002e-08
1863,4.395266373080631e-08
1864,1.582260233945476e-08
1865,2.5416959203994338e-08
1866,2.919367680931373e-08
1867,3.154327288257264e-08
1868,5.285665327647848e-08
1869,4.00448565418543e-08
