year,pas_ADV usé_VERB,pas_ADV rusé_VERB
1800,2.829747991484055e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,1.7902721083373763e-08,6.713520406265161e-09
1803,6.241085515057421e-08,0.0
1804,4.2021465418429216e-08,0.0
1805,6.254330742194725e-08,5.685755422035754e-09
1806,6.051504897186533e-08,0.0
1807,7.402083213037258e-08,0.0
1808,4.985362878073829e-08,0.0
1809,5.873479480555943e-08,0.0
1810,3.2761775514700275e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,4.5342538612658245e-08,0.0
1813,4.026038169513413e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,9.440282155992463e-08,0.0
1816,7.879853569647821e-08,0.0
1817,1.0586739307427706e-07,0.0
1818,6.437435473571895e-08,0.0
1819,6.624672010957511e-08,2.070210003424222e-09
1820,5.3399165977907614e-08,0.0
1821,8.776724769177235e-08,9.86148829262845e-10
1822,4.210758675071702e-08,0.0
1823,6.917881023582595e-08,0.0
1824,1.2042191599448415e-07,0.0
1825,4.9310479255382234e-08,0.0
1826,2.290075862276808e-08,0.0
1827,9.309445658800541e-08,0.0
1828,6.695779575238703e-08,1.1006761724274838e-08
1829,6.858540757548326e-08,0.0
1830,4.800944353178238e-08,1.0436835840010872e-09
1831,7.795603096383275e-08,0.0
1832,1.1365174401589684e-07,1.3529969367098715e-09
1833,5.79181431703546e-08,0.0
1834,3.360431222176885e-08,0.0
1835,5.445423312266939e-08,0.0
1836,6.58633538819231e-08,6.720750067579218e-10
1837,4.731365876864402e-08,6.957890930081589e-10
1838,6.94337813911261e-08,0.0
1839,4.824117993962318e-08,2.0974426639952526e-09
1840,7.45253601053264e-08,1.4013314952876499e-08
1841,4.687000298986277e-08,0.0
1842,4.8970335342346516e-08,1.341653010911159e-09
1843,8.033399012674636e-08,0.0
1844,5.762989374602512e-08,0.0
1845,4.2409730838244286e-08,2.2320911785556063e-09
1846,7.903576459966644e-08,0.0
1847,3.128069891999985e-08,0.0
1848,6.194820656446609e-08,7.24069959545659e-09
1849,4.273501730267526e-08,0.0
1850,5.634866795389826e-08,2.7155984128057753e-09
1851,5.997978291816253e-08,1.2898877521649865e-09
1852,7.422021752745422e-08,1.9531636308300904e-09
1853,6.927440665549511e-08,2.388772735173461e-09
1854,6.28675422831293e-08,1.558699391779328e-09
1855,6.474463276617826e-08,0.0
1856,7.455152228885709e-08,0.0
1857,5.857810947418329e-08,9.274867096564776e-09
1858,6.606462932268187e-08,5.872411001917044e-09
1859,7.892868580938739e-08,3.5645213447565993e-09
1860,7.23195086038686e-08,4.577183909670879e-10
1861,5.847795137015055e-08,4.715963730639317e-10
1862,4.246907181482129e-08,2.2589932147099034e-09
1863,6.542953201460477e-08,1.9978483312144135e-09
1864,6.568777166648943e-08,0.0
1865,6.82492427017678e-08,2.3534221238463715e-09
1866,8.75810357570117e-08,9.731225825149181e-10
1867,6.890992665375961e-08,0.0
1868,4.742279102742941e-08,7.903798504571569e-09
1869,5.225365384831093e-08,2.9301114867763545e-09
1870,6.192772872282148e-08,1.1468097582678638e-09
1871,4.885741589077952e-08,4.248470908407853e-09
1872,7.619647846013322e-08,6.047339518033823e-09
1873,5.327543917132971e-08,5.9860045809045914e-09
1874,7.109785116199419e-08,5.377148060148329e-09
1875,4.405575992905142e-08,2.8607636259891933e-09
1876,5.1995726835230016e-08,0.0
1877,4.886004489890183e-08,0.0
1878,4.891661831152305e-08,6.039088673581716e-10
