year,avais_VERB emporté_VERB,avais_VERB remporté_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,2.0140561218795483e-08,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,1.9900143755080535e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,4.518061036407062e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,1.5497530370112145e-08,0.0
1819,8.280840013696888e-09,1.035105001712111e-09
1820,1.1866481131050932e-09,1.1866481131050932e-09
1821,1.97229765852569e-09,9.861488514673056e-09
1822,1.303330066093622e-08,6.015369535816717e-09
1823,1.7788837070042973e-08,9.882686891060644e-10
1824,1.0947446504872005e-08,0.0
1825,0.0,8.805443041381977e-10
1826,5.284790383086602e-09,0.0
1827,2.7651818612639545e-09,3.6869092223668076e-09
1828,4.586150570418113e-09,0.0
1829,1.2002446148073886e-08,1.714635211591542e-09
1830,7.305785310052215e-09,1.0436835395921662e-08
1831,1.7150327380477393e-08,1.5591206103948707e-09
1832,0.0,4.058990921151917e-09
1833,6.950177322551099e-09,0.0
1834,7.467624740797874e-09,0.0
1835,5.294161553592858e-09,0.0
1836,3.36037508930076e-09,0.0
1837,2.7831563720326358e-09,4.174734336004349e-09
1838,3.1560809521380406e-09,6.312161904276081e-10
1839,1.1885507689157748e-08,6.9914751765765e-10
1840,1.52872523528913e-08,0.0
1841,3.2102742686390684e-09,0.0
1842,2.2808102073668124e-08,0.0
1843,3.5441467538532834e-09,0.0
1844,3.2931368743049916e-09,0.0
1845,3.348136878855712e-09,0.0
1846,1.4636253098387897e-08,5.854501328173001e-10
1847,2.6966118227278457e-09,0.0
1848,4.02261068899179e-09,0.0
1849,3.3517659758786067e-09,0.0
1850,4.752297222410107e-09,6.788996032014438e-10
1851,8.384270167027807e-09,6.449438760824933e-10
1852,3.906327261660181e-09,0.0
1853,2.9859659189668264e-09,0.0
1854,4.676098175337984e-09,0.0
1855,5.306937111981824e-09,3.1841622671890946e-09
1856,5.177189343896771e-09,0.0
1857,8.298565390418844e-09,4.881509085841174e-10
1858,6.361778659424999e-09,0.0
1859,1.171199848215565e-08,0.0
1860,1.5104706818647173e-08,9.154367819341758e-10
1861,7.545541969022906e-09,1.4147891747029462e-09
1862,5.873382225018986e-09,0.0
1863,7.991393324857654e-09,0.0
1864,1.1986819536957682e-08,0.0
1865,7.0602665935837194e-09,0.0
1866,1.9462451650298362e-09,0.0
1867,1.747012134956094e-08,4.85281148598915e-10
1868,3.951899252285784e-09,0.0
1869,1.0255390314739543e-08,1.953407657850903e-09
1870,8.601073631098188e-09,0.0
1871,2.6552942955504477e-08,1.0621177271019633e-09
1872,1.9351485747165498e-08,0.0
1873,4.190203295451056e-09,5.986004469882289e-10
1874,1.4339061493728877e-08,5.974609140757536e-10
1875,8.58229043387837e-09,1.1443054281912168e-09
1876,1.813804439976252e-09,6.04601479992084e-10
1877,4.329371083855449e-09,6.184815992682502e-10
1878,9.662541877730746e-09,6.039088673581716e-10
1879,1.221865097988939e-08,6.10932526790009e-10
1880,1.0268554007097919e-08,7.059631101924424e-09
1881,8.367009307619355e-09,0.0
1882,4.6587693702804245e-09,0.0
1883,9.479008689083912e-09,0.0
1884,6.601696966868076e-09,0.0
1885,1.8692343672910283e-08,1.2891271383708158e-09
1886,5.162771099520569e-09,0.0
1887,3.264462256069578e-09,0.0
1888,6.340614699951175e-09,0.0
1889,5.012109394186837e-09,0.0
1890,2.6217545912032847e-09,1.3108772956016423e-09
1891,8.92390783491237e-09,0.0
1892,5.641661360300532e-09,0.0
1893,4.310891643655168e-09,1.847525021858587e-09
1894,8.192000855444803e-09,6.301539290376468e-10
1895,7.22233739480771e-09,1.2037228991346183e-09
1896,1.3563166589847242e-08,0.0
1897,7.574727511894253e-09,1.1653427112179315e-09
1898,5.6583546736987955e-09,0.0
1899,6.633094074004475e-09,0.0
1900,1.4015843596837385e-08,5.191053142894475e-10
1901,7.265360757457984e-09,1.676621730339889e-09
1902,1.0802624572647801e-08,4.910283846193408e-10
1903,6.480264325148255e-09,5.400220270956879e-10
1904,2.1498500757388683e-09,0.0
1905,3.096455536422127e-09,1.0321518084666081e-09
1906,5.144184522798412e-10,0.0
1907,6.1714118260169926e-09,5.142843373384665e-10
1908,3.929111258571538e-09,0.0
1909,2.2003934230241384e-09,0.0
1910,4.809735720812114e-09,2.67207544979442e-09
1911,6.916486494645824e-09,0.0
1912,2.0837684910901544e-09,2.0837684910901544e-09
1913,8.484783542428431e-09,5.30298971401777e-10
1914,2.0090231700464756e-09,0.0
1915,2.3561523843085297e-09,0.0
1916,1.0987461607214755e-08,0.0
1917,8.773139548168274e-09,0.0
1918,3.44591288836682e-09,0.0
1919,3.6831393490643904e-09,0.0
1920,2.2716695191604686e-09,0.0
1921,8.330022005509363e-09,0.0
1922,3.6889677978990676e-09,0.0
1923,9.554353752605493e-09,1.0615948120573648e-09
1924,1.0313299547703991e-08,0.0
1925,3.299453377181294e-09,0.0
1926,1.3375366592072169e-08,0.0
1927,1.5608915049369898e-08,0.0
1928,1.0283437212876834e-08,3.4278122562625413e-09
1929,2.0052731031228177e-08,0.0
1930,7.352522590764465e-09,3.1510811737689437e-09
1931,0.0,0.0
1932,7.6716757391182e-09,0.0
1933,1.0323596200123575e-08,0.0
1934,8.38710612072191e-09,0.0
1935,1.6755597798123745e-08,3.590485242455088e-09
1936,4.849885826274658e-09,0.0
1937,1.6368453259474336e-08,2.5182236296217297e-09
1938,1.0372171566075394e-08,0.0
1939,6.117620188206274e-09,0.0
1940,2.5357829613881222e-08,0.0
1941,5.9030051957620344e-09,2.9515025978810172e-09
1942,1.8205270180260413e-08,0.0
1943,2.322588166236983e-08,0.0
1944,6.4263723231761105e-09,6.4263723231761105e-09
1945,4.357008087652048e-09,0.0
1946,1.3921104269343232e-08,0.0
1947,4.7683483828109274e-09,0.0
1948,3.2615663503321457e-09,0.0
1949,1.2762110479513922e-08,0.0
1950,1.0635361036293034e-08,1.0635361480382244e-09
1951,1.2793682557799002e-08,0.0
1952,6.326882129314981e-09,0.0
1953,1.0773827385790469e-09,0.0
1954,1.8567819282111486e-08,2.9317608341017376e-09
1955,1.595553378308523e-08,0.0
1956,1.0465369904011368e-08,0.0
1957,3.534015080575159e-09,8.835037701437898e-10
1958,6.617794756635931e-09,0.0
1959,1.3176271629333769e-08,7.750747821333448e-10
1960,6.920833239831836e-09,0.0
1961,1.528595028332802e-08,2.08444772553662e-09
1962,4.43936931660005e-09,0.0
1963,3.2330267352165265e-09,6.466053248388448e-10
1964,8.517555549758526e-09,1.8251904432275978e-09
1965,1.0396882466068291e-08,0.0
1966,2.215629901769489e-09,4.985167390003653e-09
1967,9.367637332502454e-09,9.860671168482327e-10
1968,1.122853987567396e-08,0.0
1969,4.995933444718048e-09,9.083515606356229e-10
1970,1.3796175313274261e-09,0.0
1971,5.138397263237948e-09,5.138397485282553e-10
1972,4.6171320100540925e-09,1.0260293725750103e-09
1973,4.9618833486420044e-09,5.513203782392395e-10
1974,7.313243344242437e-09,0.0
1975,4.569184142155791e-09,0.0
1976,6.8562320265641574e-09,5.713526873840635e-10
1977,2.3507127355770763e-09,1.1753563677885381e-09
1978,1.1881182704343018e-09,0.0
1979,7.022368020415115e-09,0.0
1980,6.253665585376211e-09,0.0
1981,4.427884725544118e-09,6.325549528618524e-10
1982,4.966001831974154e-09,6.207502289967692e-10
1983,8.841442245000053e-09,3.157658134966823e-09
1984,5.799008384599347e-09,0.0
1985,9.624892882698077e-09,0.0
1986,6.593933843390687e-09,1.1988970927134801e-09
1987,7.944062296871834e-09,6.110816852533674e-10
1988,5.99655392008458e-09,0.0
1989,3.841685636274406e-09,1.6464366536794728e-09
1990,7.628111475810329e-09,0.0
