year,aurez_VERB établi_VERB,aurez_VERB rétabli_VERB
1800,6.288328968651058e-09,0.0
1801,4.286128785224719e-08,1.6668277424969347e-08
1802,8.951360541686881e-09,0.0
1803,5.851017448321727e-09,3.900678446910888e-09
1804,3.213406074564773e-08,2.4718509461507665e-09
1805,2.2743021688143017e-08,0.0
1806,2.881669125542885e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,9.360507036149102e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,8.627225156487839e-09,0.0
1814,2.5173417128598885e-08,0.0
1815,8.091670444798638e-09,0.0
1816,6.952811659743929e-09,2.3176038865813098e-09
1817,1.401186100480345e-08,4.670620334934483e-09
1818,1.0729059418679299e-08,1.1921177378582115e-09
1819,6.210630232317271e-09,1.449147024601416e-08
1820,2.4919611263385377e-08,4.746592452420373e-09
1821,2.3667571014129862e-08,2.6626018723163725e-08
1822,2.7069162911175226e-08,2.0051231786055723e-09
1823,0.0,1.9765373782121287e-09
1824,1.7684335773537896e-08,2.5263338088166165e-09
1825,2.905796137042671e-08,9.68598712347557e-09
1826,1.2331177856594877e-08,1.0569580766173203e-08
1827,2.488663675137559e-08,2.7651818612639545e-09
1828,2.2930752408001354e-08,9.172301140836225e-09
1829,5.143905745796928e-09,1.714635211591542e-09
1830,7.305785310052215e-09,2.0873671680021744e-09
1831,2.0268567268999504e-08,6.236482441579483e-09
1832,1.352996914505411e-08,5.411987746839486e-09
1833,1.853380560135065e-08,1.50587169400751e-08
1834,4.573920264761e-08,1.5868701908061666e-08
1835,9.075705520444899e-09,7.563087933704082e-10
1836,6.72075017860152e-09,2.688300027031687e-09
1837,1.87863058442872e-08,3.478945576063097e-09
1838,3.66105403770689e-08,1.3255539776935166e-08
1839,2.7266752411492234e-08,4.894032734625853e-09
1840,2.93005673057678e-08,1.0828470564661075e-08
1841,3.146068650039524e-08,7.0626033910059505e-09
1842,1.609983613093391e-08,6.037438549100216e-09
1843,1.5357969118667825e-08,3.5441467538532834e-09
1844,2.6345094994439933e-08,1.097712254427563e-09
1845,2.9017185099178278e-08,2.7901139176833567e-09
