year,quels_PRON ont_VERB
1977,3.4849315966312133e-07
1978,3.409899420603324e-07
1979,3.3122169895705156e-07
1980,3.547534106473904e-07
1981,3.352541142476184e-07
1982,3.2216937029261317e-07
1983,3.4671086268645013e-07
1984,3.3576259284018306e-07
1985,3.1220746166127356e-07
1986,3.4468291687517194e-07
1987,3.3059518500522245e-07
1988,3.5679495624663105e-07
1989,3.698994390788357e-07
1990,3.007655209330551e-07
1991,3.70444610098275e-07
1992,3.2012775363909896e-07
1993,3.4952398664245266e-07
1994,3.2071554301182914e-07
1995,3.1070642592112563e-07
1996,3.288264878165137e-07
1997,3.025578507731552e-07
1998,3.194646609472329e-07
1999,3.3316766234747774e-07
2000,3.5432613287866843e-07
2001,3.1895221752620273e-07
2002,3.0230427228161716e-07
2003,3.5793867425581993e-07
2004,3.4049035946281947e-07
2005,3.368804755154997e-07
2006,3.2490150658759376e-07
2007,2.816108093384173e-07
2008,2.87802919274327e-07
2009,2.7464788843190036e-07
2010,2.6217051640742284e-07
2011,2.581181064442717e-07
2012,2.556593869940116e-07
2013,2.529736349288214e-07
2014,2.0181948912068037e-07
2015,1.9949178664546707e-07
2016,2.0630547226119234e-07
2017,2.1231759461670663e-07
2018,2.2949238598357624e-07
2019,1.994872391719582e-07
