year,derniers_ADJ ans_NOUN,derniers_ADJ rangs_NOUN
1800,4.087413785214267e-08,4.4961552703171037e-07
1801,6.667310969987739e-08,3.9765748738318507e-07
1802,3.1329761895904085e-08,2.439245747609675e-07
1803,4.290746247193056e-08,4.992868412045937e-07
1804,4.449331569844617e-08,3.5594652558756934e-07
1805,3.4114531644036106e-08,4.3780318037534016e-07
1806,2.881669125542885e-08,2.1324350996110297e-07
1807,2.8469550272802735e-08,3.98573718030093e-07
1808,5.6651849433819734e-08,2.923235342677799e-07
1809,2.4849335034105025e-08,9.284615316573763e-07
1810,3.978215445954447e-08,2.6443433398526395e-07
1811,4.763445815569867e-08,5.515568659575365e-07
1812,5.601137331723294e-08,6.401299970093532e-07
1813,5.176335093892703e-08,2.8182267897136626e-07
1814,2.8320094713762956e-08,6.796822731303109e-07
1815,3.776112933451259e-08,7.417364713546704e-07
1816,1.0429217667251578e-07,4.032630727124342e-07
1817,2.1796227045456362e-08,6.601143240914098e-07
1818,3.337929754820834e-08,5.805613341181015e-07
1819,1.8631890696951814e-08,4.668323470014002e-07
1820,8.662531314485022e-08,6.229902851373481e-07
1821,4.536284592404627e-08,6.76498075335985e-07
1822,3.0076847679083585e-08,6.476548151113093e-07
1823,4.644862983127496e-08,7.668965054108412e-07
1824,7.157945702829238e-08,6.787416850784211e-07
1825,4.490776106536032e-08,8.400392630392162e-07
1826,3.699353356978463e-08,5.874925363968941e-07
1827,4.977327350275118e-08,5.189324951970775e-07
1828,2.2930752408001354e-08,6.530678433591675e-07
1829,5.1439055681612444e-08,5.435393859443138e-07
1830,2.7135772739939057e-08,6.345596261780884e-07
1831,2.9623292263636358e-08,5.706381216441514e-07
1832,2.0294953273491956e-08,7.130294079615851e-07
1833,2.20088942626262e-08,6.556333573826123e-07
1834,2.0535967593104942e-08,4.5272474835655885e-07
1835,1.3613558280667348e-08,5.997528660373064e-07
1836,3.8980349614803345e-08,6.72747091812198e-07
1837,1.948209416013924e-08,6.623912440772983e-07
1838,1.5780404538645598e-08,7.075933581290883e-07
1839,1.11863602825224e-08,5.8518645573713e-07
1840,3.121147429396842e-08,6.64358537960652e-07
1841,1.7977535904378783e-08,4.886037459073123e-07
1842,2.817471411731276e-08,5.58798490146728e-07
1843,3.307870244384503e-08,4.772784336637415e-07
1844,1.811225303072206e-08,5.680660706275376e-07
1845,1.6182660544927785e-08,8.046688435570104e-07
1846,2.9272506196775794e-08,5.684721031684603e-07
1847,2.8044762956369595e-08,5.71681709971017e-07
1848,2.735375304041554e-08,4.3685554373951163e-07
1849,1.9272654583346593e-08,4.198086855922156e-07
1850,2.0366988096043315e-08,5.729912686547323e-07
1851,2.192809134271556e-08,4.2630790630937554e-07
1852,1.6927417689771573e-08,4.472744592476374e-07
1853,1.1346670270029335e-08,5.273215606393933e-07
1854,5.5593609715742787e-08,4.878729100710189e-07
1855,2.5473298137512757e-08,5.16895681812457e-07
1856,2.329735160344626e-08,4.524863470578566e-07
1857,1.757343248698362e-08,5.003547016713128e-07
1858,2.1532175153993194e-08,3.924728275706002e-07
1859,2.5460867192350634e-08,4.577863705890195e-07
1860,3.4786598490654796e-08,4.5085261035637814e-07
1861,2.4051415081771665e-08,5.314890927365923e-07
1862,2.3493528900075944e-08,4.3372668301344675e-07
1863,2.1976331865403154e-08,4.255416854448413e-07
1864,2.7809422320501653e-08,4.895417191619345e-07
1865,1.4591217123438582e-08,5.346975058273529e-07
1866,1.9949013108089275e-08,4.958059776072332e-07
1867,2.6690463172940326e-08,4.3966471707790333e-07
1868,2.2723421366777075e-08,4.0852759752851853e-07
1869,1.5627261262807224e-08,4.165641769304784e-07
1870,6.422134646300037e-08,3.979429834544135e-07
1871,7.116188527334089e-08,4.577727281684929e-07
1872,2.53988243770209e-08,4.0759067587714526e-07
1873,3.95076291681562e-08,2.8074362035113154e-07
1874,2.4495896866483235e-08,2.939507623977988e-07
1875,2.7463329388410784e-08,3.4901316325886e-07
1876,2.478866001354163e-08,2.2853936343381065e-07
1877,2.535774612510977e-08,4.026315139071812e-07
1878,2.6571990829893366e-08,2.7115507350572443e-07
1879,1.588424503040642e-08,3.6655950452768593e-07
1880,2.2462462112571302e-08,3.3501157759019407e-07
