year,nous_PRON entrons_VERB,nous_PRON rentrons_VERB
1800,6.697070489281032e-07,2.358123332157902e-07
1801,7.667407686540173e-07,2.0478170625892744e-07
1802,8.99611762861241e-07,1.3650824826072494e-07
1803,5.753500715854898e-07,9.946730195053988e-08
1804,8.849226560414536e-07,1.5325476532268567e-07
1805,7.903199730208144e-07,1.336152557485093e-07
1806,7.751689850010735e-07,1.2967510798489457e-07
1807,4.1565544250943276e-07,1.02490385955889e-07
1808,4.4641658547561747e-07,1.0650547821455802e-07
1809,6.054201691085837e-07,1.4231892286886705e-07
1810,8.564863946958212e-07,1.9423051611511255e-07
1811,5.716135049738114e-07,1.0028307428910921e-07
1812,4.587598212424382e-07,1.5736528347076728e-07
1813,5.83775566553868e-07,1.6679300962607613e-07
1814,1.0415501208171918e-06,3.0522767247020965e-07
1815,8.388364989286856e-07,8.631115377966125e-08
1816,8.436078076101694e-07,1.668674798338543e-07
1817,1.3108873986311664e-06,2.2107602859477993e-07
1818,1.08721138758483e-06,1.8239401811115385e-07
1819,7.639074794951739e-07,1.2524770909294602e-07
1820,7.618280619681173e-07,2.1359666746434414e-07
1821,8.056835838488041e-07,1.853959812336825e-07
1822,8.712260353149759e-07,1.6843034700286807e-07
1823,9.15136780577086e-07,1.591112557264296e-07
1824,1.1814820766176126e-06,2.627387161169281e-07
1825,8.514863623076963e-07,2.2894151641139615e-07
1826,8.024073707701973e-07,1.6118612045090686e-07
1827,6.857651158043154e-07,1.3180700619841446e-07
1828,8.044108028570918e-07,1.880321676139829e-07
1829,9.001834655464336e-07,1.8346597485674465e-07
1830,8.735631809031474e-07,2.0769303432643937e-07
1831,1.0492881870050041e-06,2.1359952739885557e-07
1832,9.971587644486135e-07,1.9077257107369405e-07
1833,1.0355763606639812e-06,2.409394710412016e-07
1834,1.0856059304842347e-06,2.632337654517869e-07
1835,1.206312560952938e-06,2.8588473099944167e-07
1836,1.2574523680086713e-06,2.2380098130270198e-07
1837,1.0979552058643094e-06,1.989956821546457e-07
1838,1.0187829246888214e-06,1.508606679578861e-07
1839,1.0011792568320743e-06,1.9086726865680248e-07
1840,1.040170175770072e-06,1.6624887777538788e-07
1841,1.2513649210177391e-06,2.080257708314548e-07
1842,1.1719339028104514e-06,2.622931631890424e-07
1843,1.1595266471431387e-06,2.799875886694281e-07
1844,1.4467846938259754e-06,2.1405388750395105e-07
1845,1.1478528563202417e-06,2.1651284143331395e-07
1846,1.2165654084128619e-06,1.9612579649219697e-07
1847,1.1201725556020392e-06,2.1195368660187341e-07
1848,1.4433127546453761e-06,2.469883000344453e-07
1849,1.433717869758766e-06,3.0249687554828597e-07
1850,1.4616708483572438e-06,2.2267906985007357e-07
1851,1.2976271079878643e-06,2.5346294307837525e-07
1852,1.2220293683640193e-06,2.565154879619058e-07
1853,1.6261570294773264e-06,3.9414751284994054e-07
1854,1.38204677568865e-06,2.3224620449013855e-07
1855,1.4296888934950402e-06,2.8710530131093037e-07
1856,1.34710469978927e-06,3.230566107959021e-07
1857,1.4112442272562475e-06,2.9191424744112737e-07
1858,1.3780591245904361e-06,2.960673981533546e-07
1859,1.3845619264429843e-06,3.4626778244728484e-07
1860,1.520998182513722e-06,3.7441363076595735e-07
1861,1.7175539710478915e-06,4.131184212496919e-07
1862,1.7922852180163318e-06,3.9306480914547137e-07
1863,1.53534645619402e-06,3.1865680938381047e-07
1864,1.6148643737778912e-06,4.137850240226726e-07
1865,1.4718302452365606e-06,2.988846148355151e-07
1866,1.6917736331834021e-06,3.649209645573137e-07
1867,1.6819844574911258e-06,3.959894314675694e-07
1868,1.6523878798579972e-06,3.6061081232219294e-07
1869,1.682372300138013e-06,4.4195847692662937e-07
1870,1.7087465664644697e-06,4.3922812409391554e-07
1871,1.8512711790208414e-06,5.331830834620632e-07
