year,aviez_VERB assuré_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,4.475680270843441e-09
1803,0.0
1804,1.730295728918918e-08
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,2.0331274441787173e-08
1810,1.6380887757350138e-08
1811,2.5070767684098882e-09
1812,0.0
1813,2.5881675469463516e-08
1814,1.2586708564299443e-08
1815,0.0
1816,0.0
1817,4.670620334934483e-09
1818,3.5763532135746345e-09
1819,1.0351049795076506e-08
1820,1.0679833017945839e-08
1821,1.97229765852569e-09
1822,2.0051231786055723e-09
1823,3.9530747564242574e-09
1824,8.421112696055388e-10
1825,1.7610886082763955e-09
1826,1.7615968683770689e-09
1827,6.452091305675367e-09
1828,6.420610709767516e-09
1829,1.5431716349212365e-08
1830,4.174734336004349e-09
1831,1.7150327380477393e-08
1832,8.117981842303834e-09
1833,2.3167257001688313e-09
1834,1.8669061851994684e-09
1835,3.781543966852041e-09
1836,1.9490174807401672e-08
1837,0.0
1838,1.8936485712828244e-09
1839,1.7478688718597368e-08
1840,1.9109065441114126e-09
1841,2.5682194149112547e-09
1842,8.049918065466954e-09
1843,1.1813822142769936e-09
1844,6.037417232818143e-09
1845,5.580227946389016e-10
1846,5.269050973311096e-09
1847,4.314578916364553e-09
1848,1.6090443422100975e-09
1849,1.6758829879393033e-09
1850,1.3577992064028876e-09
1851,1.2898877521649865e-09
1852,4.557382027314816e-09
1853,2.9859659189668264e-09
1854,1.558699391779328e-09
1855,5.306937111981824e-10
1856,1.0354378465748937e-09
1857,4.881509085841174e-10
1858,9.787352039936081e-10
1859,1.018434669930457e-09
1860,5.034902272882391e-09
1861,3.3011746669586728e-09
1862,7.228778020618165e-09
1863,9.989241656072068e-10
1864,0.0
1865,6.118897832863013e-09
1866,6.3252967308358166e-09
1867,0.0
1868,1.975949626142892e-09
1869,3.906815315701806e-09
1870,1.1468097582678638e-09
1871,0.0
1872,6.047339295989218e-10
1873,4.788803575905831e-09
1874,0.0
1875,1.1443054281912168e-09
1876,3.02300739996042e-09
1877,1.1132669008873108e-08
1878,4.831270938865373e-09
1879,1.832797580370027e-09
1880,1.2835692508872398e-09
1881,4.8807553554297556e-09
1882,0.0
1883,3.159669414998234e-09
1884,7.922036360241691e-09
1885,0.0
1886,1.2906927748801422e-09
1887,6.528924623161458e-10
1888,6.340614699951175e-10
1889,9.397704836544563e-09
1890,0.0
1891,3.824531802365527e-09
1892,0.0
1893,2.463366621796581e-09
1894,2.520615716150587e-09
1895,6.018614495673091e-10
1896,5.89702897624278e-10
1897,5.2440420894583895e-09
1898,1.6975064687230201e-09
1899,5.527578395003729e-10
1900,3.633737311048435e-09
1901,2.794369402536745e-09
1902,4.419255628107521e-09
1903,5.940242076007962e-09
1904,5.374625189347171e-10
1905,4.1286072338664326e-09
1906,1.5432553013283723e-09
1907,1.5428529565042481e-09
1908,6.384805573134145e-09
1909,2.2003934230241384e-09
1910,2.137660271017694e-09
1911,1.5961122423746588e-09
1912,3.646594803896619e-09
1913,0.0
1914,4.018046340092951e-09
1915,0.0
1916,3.2962386153911893e-09
1917,8.773139548168274e-09
1918,1.1486376294556067e-09
1919,2.762354567309444e-09
1920,0.0
1921,4.543648568500203e-09
1922,7.377935484775833e-10
1923,4.246379248229459e-09
1924,2.578324886925998e-09
1925,0.0
1926,1.1146138456652466e-09
1927,1.1149224876660924e-09
1928,5.713020723163709e-09
1929,1.1140406375176326e-09
1930,3.1510811737689437e-09
1931,4.5621426636444085e-09
1932,7.6716757391182e-09
1933,0.0
1934,0.0
1935,0.0
1936,1.2124714565686645e-09
1937,2.5182236296217297e-09
1938,0.0
1939,0.0
1940,0.0
1941,2.9515025978810172e-09
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,1.3921104269343232e-09
1947,1.1920870957027319e-09
1948,2.174377566888097e-09
1949,9.817008317369869e-10
1950,7.444753258312176e-09
1951,1.0661401761424827e-09
1952,1.0544803918932644e-09
1953,0.0
1954,9.772536113672459e-10
1955,9.385607846468247e-10
1956,1.744228317335228e-09
1957,0.0
1958,8.272243445794913e-10
1959,1.5501495642666896e-09
1960,1.3841666701708277e-09
1961,0.0
1962,3.170978146727066e-09
