year,moins_ADV envoyé_VERB,moins_ADV renvoyé_VERB
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,1.5664880947952042e-08,4.475680270843441e-09
1803,5.851017448321727e-09,3.900678446910888e-09
1804,2.4718509905596875e-08,7.4155526164076946e-09
1805,5.685755422035754e-09,2.55858996212055e-08
1806,8.645007376628655e-09,2.881669125542885e-09
1807,8.540865792383556e-09,0.0
1808,1.8128591960930862e-08,2.2660739951163578e-09
1809,2.0331274441787173e-08,0.0
1810,2.3401266702194334e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,8.00162425207418e-09,0.0
1813,1.4378708002027452e-08,0.0
1814,3.776012391654149e-08,0.0
1815,8.90083740046066e-08,0.0
1816,3.244645441213834e-08,0.0
1817,3.113746771532533e-08,1.556873407970727e-09
1818,7.152706427149269e-09,2.384235475716423e-09
1819,2.5877625375869684e-08,0.0
1820,2.7292905713238724e-08,9.493184904840746e-09
1821,2.7612166775270452e-08,1.3806083387635226e-08
1822,2.606660132187244e-08,2.2056354964661296e-08
1823,2.075364236020505e-08,1.3835761869529506e-08
1824,2.5263338088166165e-08,1.2631669044083083e-08
1825,2.289415235168235e-08,1.7610886082763955e-09
1826,1.4092774947016551e-08,8.807984341885344e-10
1827,9.217273166939322e-09,5.530363722527909e-09
1828,1.1006761724274838e-08,1.3758452155343548e-08
1829,2.1432940755516938e-08,0.0
1830,8.349468672008697e-09,1.0436835840010872e-09
1831,1.2472964883158966e-08,0.0
1832,9.470978667991403e-09,5.411987746839486e-09
1833,1.1583628278799551e-08,0.0
1834,1.7735608537350345e-08,7.467624740797874e-09
1835,1.3613558280667348e-08,0.0
1836,3.36037508930076e-08,2.688300027031687e-09
1837,2.5744196108234974e-08,0.0
1838,1.64116205070286e-08,4.418513555037862e-09
1839,2.4470162784950844e-08,2.0974426639952526e-09
1840,1.8472096741106725e-08,8.280594876453051e-09
1841,1.9903700021473014e-08,6.420548537278137e-10
1842,2.2137275124123335e-08,6.708265054555795e-09
1843,7.088293507706567e-09,7.678984559333912e-09
1844,2.7442807137845193e-08,1.097712254427563e-09
1845,2.511102614732863e-08,5.022205318283568e-09
1846,1.2879903366069811e-08,0.0
1847,2.1033571329098777e-08,5.9325460100012606e-09
1848,8.045221711050488e-10,1.6090443422100975e-09
1849,1.5920887719289567e-08,0.0
1850,2.1724787302446202e-08,5.431196825611551e-09
1851,1.9348316726564008e-08,4.514607354622058e-09
1852,1.3021090872200602e-08,1.3021090872200602e-09
1853,4.777545470346922e-09,1.1943863675867306e-09
1854,1.7145692865483397e-08,3.117398783558656e-09
1855,1.9104973603134567e-08,1.0083180512765466e-08
1856,1.5531567143511893e-08,1.0354378465748937e-09
1857,1.3180074809326925e-08,7.810414537345878e-09
1858,1.1255455234504552e-08,2.936205500958522e-09
1859,1.629495471888731e-08,2.036869339860914e-08
1860,2.0139609091529564e-08,4.57718396518203e-09
1861,7.073945429425521e-09,4.2443675241088386e-09
1862,1.1294965851504912e-08,3.162590411776023e-09
1863,1.1987090431375691e-08,1.9978483312144135e-09
1864,1.3904711160250827e-08,3.835782358407869e-09
1865,7.530950973944073e-09,9.41368871743009e-10
1866,1.1677471434268227e-08,3.8924903300596725e-09
1867,1.1161466417775046e-08,2.91168689159349e-09
1868,1.0867722721741302e-08,4.93987406535723e-10
1869,2.0999133099053324e-08,2.9301114867763545e-09
1870,1.8922360567330543e-08,1.1468097582678638e-09
1871,8.496941816815706e-09,8.496941816815706e-09
1872,3.0236697590169115e-09,1.1489944995446422e-08
1873,4.190203295451056e-09,7.781805422268917e-09
1874,8.364453130127458e-09,3.5847653734322193e-09
1875,5.721527251978387e-09,5.721527251978387e-09
1876,6.04601479992084e-10,3.627608879952504e-09
1877,6.80329748092845e-09,4.329371083855449e-09
1878,1.872117572077059e-08,4.831270938865373e-09
1879,1.221865097988939e-08,1.221865053580018e-09
1880,1.6044616302224313e-08,1.8611753915820373e-08
1881,1.045876096839038e-08,6.972507571312292e-10
1882,1.4641846846075168e-08,5.324308105514319e-09
1883,1.3270612164717477e-08,1.4534479397809719e-08
1884,9.242375753615306e-09,3.300848483434038e-09
1885,9.023890079618013e-09,4.511945039809007e-09
1886,2.5813855941692054e-08,0.0
1887,1.5016526688782506e-08,5.223139698529167e-09
1888,1.521747527988282e-08,4.4384300679212174e-09
1889,6.265136853755848e-09,3.132568426877924e-09
1890,1.7041404731799048e-08,5.243509182406569e-09
1891,1.2748440081367107e-09,1.2748440081367107e-09
1892,1.56712811616444e-08,6.268512375839919e-10
1893,8.621783287310336e-09,1.2316833108982905e-09
1894,2.079507943619774e-08,1.8904617871129403e-09
1895,1.5046536461227333e-08,4.213029924926559e-09
1896,2.358811590497112e-09,0.0
1897,1.2236098356765979e-08,5.826713556089658e-10
1898,1.1316709347397591e-08,5.6583546736987955e-09
1899,1.1055156790007459e-08,4.4220627160029835e-09
1900,2.595526460424935e-09,7.26747462209687e-09
1901,6.706486921359556e-09,8.38310842965484e-09
1902,5.892340837476695e-09,5.4013122863239005e-09
