year,voulais_VERB avoir_VERB,voulais_VERB ravoir_VERB
1800,4.7162465932615305e-08,0.0
1801,3.333655484993869e-08,0.0
1802,3.8043282302169246e-08,0.0
1803,2.5354410126965377e-08,0.0
1804,1.4336735887354735e-07,0.0
1805,1.9900143755080535e-08,0.0
1806,1.152667650217154e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,4.078933102391602e-08,0.0
1809,1.1295152546608733e-07,0.0
1810,3.978215445954447e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,4.3136125782439194e-08,0.0
1814,4.405347908686963e-08,0.0
1815,4.8550024445148665e-08,0.0
1816,5.7940098940889584e-08,0.0
1817,4.826307531402563e-08,0.0
1818,9.894576891156248e-08,0.0
1819,6.210630232317271e-08,0.0
1820,4.153268307049984e-08,0.0
1821,1.1340711836282935e-07,0.0
1822,4.712039469723095e-08,0.0
1823,6.522573414713406e-08,0.0
1824,4.8000341479337294e-08,0.0
1825,8.805442774928451e-08,0.0
1826,5.460950447400137e-08,0.0
1827,5.8068820862899884e-08,0.0
1828,9.997808092521154e-08,0.0
1829,1.1316592463117559e-07,0.0
1830,1.0958677876260481e-07,0.0
1831,5.14509785887185e-08,0.0
1832,8.253281436054749e-08,0.0
1833,8.68772147555319e-08,0.0
1834,1.0267984151823839e-07,0.0
1835,1.194967893525245e-07,0.0
1836,8.333729795140243e-08,6.72075017860152e-09
1837,7.375364674544471e-08,0.0
1838,8.900148174006972e-08,6.312161904276081e-10
1839,6.362242288560083e-08,0.0
1840,5.350538501147639e-08,0.0
1841,9.695028069245382e-08,0.0
1842,6.507016792056675e-08,0.0
1843,5.7887728388550386e-08,1.7720733769266417e-09
1844,6.202074587235984e-08,1.0428266250528395e-08
1845,6.138250796539069e-08,5.580227946389016e-10
1846,5.73741125720062e-08,2.9272506640865004e-09
1847,6.633665350364026e-08,1.0786447290911383e-09
1848,7.803865287314693e-08,0.0
1849,6.284561493430374e-08,0.0
1850,4.2091777174846357e-08,6.788996032014438e-10
1851,5.546517201082679e-08,0.0
1852,4.6224872818356744e-08,0.0
1853,5.6733352238325097e-08,0.0
1854,4.624141425324524e-08,0.0
1855,8.544168395019369e-08,0.0
1856,5.901995692170203e-08,0.0
1857,9.763018482544794e-08,0.0
1858,5.9213480341213653e-08,0.0
1859,8.860381939257422e-08,5.092173349652285e-10
1860,7.277722602339054e-08,4.577183909670879e-10
1861,8.86601156935285e-08,0.0
