year,pourrions_VERB appeler_VERB,pourrions_VERB rappeler_VERB
1800,4.087413785214267e-08,3.144164484325529e-09
1801,4.286128785224719e-08,1.4287095950749062e-08
1802,3.1329761895904085e-08,2.2378401354217203e-09
1803,3.90067853572873e-08,1.950339223455444e-09
1804,5.9324420931261557e-08,1.2359254952798437e-08
1805,5.685755422035754e-09,3.1271653710973624e-08
1806,8.35684019762084e-08,4.610670600868616e-08
1807,8.540865792383556e-09,0.0
1808,9.064295980465431e-09,6.798221985349073e-09
1809,9.036122072814123e-09,4.518061036407062e-09
1810,3.7442028144596406e-08,7.020380277111826e-09
1811,4.763445815569867e-08,2.0056614147279106e-08
1812,3.200649700829672e-08,2.6672082320544632e-09
1813,8.052076339026826e-08,5.751483289628823e-09
1814,2.2026739543434815e-08,0.0
1815,4.5852800667489646e-08,8.091670444798638e-09
1816,2.5493642752394408e-08,1.3905623319487859e-08
1817,5.60474440192138e-08,2.3353100786493997e-08
1818,3.099506074022429e-08,1.0729059418679299e-08
1819,2.173720581311045e-08,6.210630232317271e-09
1820,2.966620371580575e-08,2.8479554714522237e-08
1821,3.747365440176509e-08,2.465372084259343e-08
1822,5.012807946513931e-08,2.8071724500478012e-08
1823,1.680056804787e-08,3.261286707356703e-08
1824,3.536867154707579e-08,2.3579115548955087e-08
1825,3.874394849390228e-08,7.924898959288385e-09
1826,4.4039921931471326e-08,2.025836387531399e-08
1827,4.424290978022327e-08,3.2260455640198415e-08
1828,1.4675682002973645e-08,2.5682442839070063e-08
1829,2.8291481157793896e-08,2.1432940755516938e-08
1830,3.026682549034376e-08,5.218417697960831e-09
1831,4.365537620287796e-08,4.677361609140007e-09
1832,3.6530916958099624e-08,2.841293600397421e-08
1833,5.21263281427764e-08,4.054269808762001e-08
1834,8.307732457524253e-08,4.387229424196448e-08
1835,5.52105419160398e-08,3.100866052818674e-08
1836,8.871390377862554e-08,3.427582484505365e-08
1837,5.844628248041772e-08,2.435261770017405e-08
1838,4.481634974240478e-08,2.209256599883247e-08
1839,4.894032556990169e-08,3.0063343814390464e-08
