year,ils_PRON envoient_VERB,ils_PRON renvoient_VERB
1800,4.3703887797619245e-07,6.91716168788048e-08
1801,5.92914460639804e-07,1.1905913144261149e-08
1802,5.706492345325387e-07,6.265952379180817e-08
1803,5.63648029583419e-07,7.801356982639618e-08
1804,3.411154452237497e-07,4.943701981119375e-08
1805,5.5151826927613e-07,8.812921059586643e-08
1806,3.6309029383119196e-07,1.2967510798489457e-07
1807,3.530224290670958e-07,7.402083390672942e-08
1808,3.0591998267937015e-07,5.891792342893609e-08
1809,4.134025743951497e-07,2.1234886204979375e-07
1810,3.135769759410323e-07,1.8018976533085151e-07
1811,4.4625966211242485e-07,7.019814951547687e-08
1812,3.867451994210569e-07,1.3336041604361526e-08
1813,3.7959788556918284e-07,7.764502152340924e-08
1814,4.688548926878866e-07,1.1328037530233814e-07
1815,2.50841786453293e-07,3.506390555685357e-08
1816,2.804300720526953e-07,4.1716871734820415e-08
1817,3.4562589945608124e-07,1.0275364425993416e-07
1818,3.9339884239097955e-07,7.391130019129832e-08
1819,3.56076128582572e-07,4.243930451508504e-08
1820,4.580461805403502e-07,4.9839221638592335e-08
1821,3.9643182248028097e-07,3.648750634965836e-08
1822,3.4287606354155287e-07,9.223566621585633e-08
1823,3.874013287941125e-07,9.586205962364147e-08
1824,2.5600183306551116e-07,6.484257042416175e-08
1825,3.645453432454815e-07,4.754939197937347e-08
1826,4.5537279191876223e-07,4.580151680144695e-08
1827,3.401173600536822e-07,5.161672778086768e-08
1828,3.1644437825661953e-07,4.3109814384934e-08
1829,3.1292092117496395e-07,5.744028097609544e-08
1830,3.788571518725803e-07,4.5922078140137046e-08
1831,2.790825917031725e-07,1.02901957177437e-07
1832,2.2324449133748203e-07,1.0012177220630747e-07
1833,4.193273355213023e-07,6.834340826600283e-08
1834,3.41643826118343e-07,6.814207775818204e-08
1835,3.448768168823335e-07,5.596685070941021e-08
1836,3.393978715848789e-07,8.06490003668614e-08
1837,2.6718301171513303e-07,7.444943417311833e-08
1838,3.0740228851300344e-07,7.953323954978941e-08
1839,3.362899576586642e-07,5.8029242744339626e-08
1840,3.324977626562031e-07,5.22314479445285e-08
1841,2.7929385737479606e-07,8.410918894696806e-08
1842,3.6492963317869e-07,6.976595745555869e-08
1843,3.5677742715733984e-07,6.438533373120947e-08
1844,3.0296858000156135e-07,6.860701295963167e-08
1845,3.604827298886448e-07,4.687391363944471e-08
1846,2.979941200464964e-07,5.444686124178588e-08
1847,2.8098694926370626e-07,4.961765842637078e-08
1848,3.3709477520460496e-07,5.47075069690095e-08
1849,2.371374421272776e-07,6.619737735746867e-08
1850,3.170461155832527e-07,6.177986566768823e-08
