year,avais_VERB rempli_VERB
1800,3.144164484325529e-09
1801,0.0
1802,1.3427040812530322e-08
1803,1.950339223455444e-09
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,2.8469551160981155e-09
1808,0.0
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,9.270415546325239e-09
1817,2.80237220096069e-08
1818,4.768470951432846e-09
1819,1.035105001712111e-09
1820,5.933240565525466e-09
1821,1.97229765852569e-09
1822,1.0025615893027862e-08
1823,9.882686891060644e-10
1824,5.052667617633233e-09
1825,6.163809906922779e-09
1826,6.1655889282974385e-09
1827,4.608636583469661e-09
1828,1.8344602503717056e-09
1829,2.571952872898464e-09
1830,3.1310507520032616e-09
1831,9.354723218280014e-09
1832,0.0
1833,2.3167257001688313e-09
1834,4.667265685043276e-09
1835,3.025235173481633e-09
1836,1.008112526790228e-08
1837,2.7831563720326358e-09
1838,6.312161904276081e-10
1839,2.0974426639952526e-09
1840,6.369688665408546e-10
1841,6.420548537278137e-10
1842,0.0
1843,1.2404512972352677e-08
1844,1.6465684371524958e-09
1845,2.7901139176833567e-09
1846,2.3418005312692003e-09
1847,3.775256551818984e-09
1848,2.413566457803995e-09
1849,8.379414495607307e-09
1850,1.3577992064028876e-09
1851,1.2898877521649865e-08
1852,3.2552727180501506e-09
1853,1.1943863675867306e-09
1854,5.195664454227256e-10
1855,6.368324534378189e-09
1856,6.73034605824796e-09
1857,1.4644527812635033e-09
1858,5.872411001917044e-09
1859,8.656694916453489e-09
1860,3.204028820036342e-09
1861,3.3011746669586728e-09
1862,2.2589932147099034e-09
1863,1.9978483312144135e-09
1864,2.8768367688059016e-09
1865,6.118897832863013e-09
1866,1.9462451650298362e-09
1867,6.308654931785895e-09
1868,1.4819622196071691e-09
1869,3.4184632902167778e-09
1870,3.4404292748035914e-09
1871,2.1242354542039266e-09
1872,4.8378714367913744e-09
1873,2.3944017879529156e-09
1874,1.7923826867161097e-09
1875,2.2886108563824337e-09
1876,5.441413541973361e-09
1877,1.8554447978047506e-09
1878,1.0870359723469392e-08
1879,4.887460214320072e-09
1880,2.5671385017744797e-09
1881,3.4862537301449947e-09
1882,5.989846840748214e-09
1883,1.2638677882037541e-09
1884,3.300848483434038e-09
1885,3.2228177904158883e-09
1886,9.034849313138693e-09
1887,1.9586774424595887e-09
1888,3.1703073499755874e-09
1889,5.012109394186837e-09
1890,4.5880703680722945e-09
1891,2.5496880162734215e-09
1892,3.761107425503951e-09
1893,2.463366621796581e-09
1894,2.520615716150587e-09
1895,6.018614495673091e-09
1896,0.0
1897,5.826713556089658e-10
1898,2.26334195829736e-09
1899,2.2110313580014918e-09
1900,1.038210628578895e-09
1901,2.794369402536745e-09
1902,3.437198747846537e-09
1903,9.720396931811592e-09
1904,3.2247751136083025e-09
1905,2.580379465655369e-09
1906,5.144184633820714e-09
1907,5.142843373384665e-10
1908,3.929111258571538e-09
1909,3.300590023513905e-09
1910,3.206490406526541e-09
1911,5.320374141248863e-10
1912,9.376957876838787e-09
1913,4.242391771214216e-09
1914,1.3393487430235496e-09
1915,0.0
1916,1.0987462051303964e-09
1917,6.57985488317081e-09
1918,3.44591288836682e-09
1919,0.0
1920,0.0
1921,2.2718242842501013e-09
1922,2.951174193910333e-09
1923,0.0
1924,3.867487219366694e-09
