year,plusieurs_DET âmes_NOUN,plusieurs_DET ames_NOUN,plusieurs_DET rames_NOUN
1800,1.5720821977538435e-08,8.174828014517743e-08,9.432493452976587e-09
1801,4.7623651688866175e-09,1.142967676059925e-07,1.904946067554647e-08
1802,2.6854081625060644e-08,5.147032311469957e-08,8.951360541686881e-09
1803,2.145373123596528e-08,2.9255089017965474e-08,0.0
1804,2.4718509461507665e-09,5.9324420931261557e-08,1.9774807569206132e-08
1805,8.528632911009026e-09,8.528632911009026e-09,5.685755422035754e-09
1806,2.881669125542885e-08,7.492339815229343e-08,5.76333825108577e-09
1807,5.693910232196231e-09,4.555128185756985e-08,0.0
1808,4.5321479902327155e-09,4.305540501903238e-08,0.0
1809,4.518061036407062e-09,5.647576473144511e-08,0.0
1810,7.020380277111826e-09,5.616304221689461e-08,2.3401267590372754e-09
1811,2.757784400841956e-08,7.521229861140455e-09,2.2563691359778204e-08
1812,2.6672082320544632e-09,2.6672083208723052e-08,4.267533171287141e-08
1813,5.751483289628823e-09,8.339650747757332e-08,2.300593315851529e-08
1814,3.1466771410748606e-09,4.090680416624082e-08,6.293354282149721e-09
1815,8.091670622434322e-08,1.3486118000116676e-08,2.697223555614414e-09
1816,3.7081662185300956e-08,8.343373991692715e-08,1.3905623319487859e-08
1817,3.113746771532533e-08,6.227493543065066e-08,3.113746815941454e-09
1818,3.099506074022429e-08,1.2159601192607283e-07,2.384235475716423e-09
1819,6.107119787657211e-08,2.8982939270782992e-08,2.070210003424222e-09
1820,6.28923526591052e-08,7.119888323359191e-08,9.493184904840746e-09
1821,6.508582206521396e-08,1.4792232372329295e-07,1.8736827200882544e-08
1822,1.5038423839541792e-08,2.5064039732569654e-08,9.023054303725075e-09
1823,3.4589403785645345e-08,6.324919610278812e-08,1.087095569118901e-08
1824,2.2737005167527968e-08,2.7789671008804362e-08,1.2631669044083083e-08
1825,2.289415235168235e-08,4.402721454077607e-08,6.163809906922779e-09
1826,4.4039921931471326e-08,6.78214817639855e-08,8.807984341885344e-10
1827,1.6591091167583727e-08,2.9495274389557125e-08,5.530363722527909e-09
1828,2.2013523448549677e-08,6.328887752760082e-08,2.7516904310687096e-09
1829,3.1720752247110795e-08,5.486832838075273e-08,1.714635211591542e-09
1830,2.5048406016026092e-08,3.444155893816969e-08,1.6698937344017395e-08
1831,3.741889287312006e-08,3.89780165921394e-08,0.0
1832,5.682586978750237e-08,6.3590853471851e-08,1.6235963684607668e-08
1833,5.444305384294523e-08,1.1351956286098641e-07,1.1583628500844156e-09
1834,5.040646566811802e-08,2.520323283405901e-08,1.120143711119681e-08
1835,8.092504089063368e-08,4.9160071569076536e-08,1.1344631900556124e-08
1836,6.922372675077781e-08,2.1573607389413496e-07,1.3441500135158435e-09
1837,6.401259333710385e-08,2.99189295560609e-08,3.478945576063097e-09
1838,7.006499758155371e-08,3.2192026155897224e-08,3.787297142565649e-09
1839,7.550793323929383e-08,1.4052865804359271e-07,5.5931801412612e-09
1840,9.10865451952958e-08,1.974603480725534e-08,5.159447979963261e-08
1841,1.020867226309008e-07,1.733548105065097e-08,1.2841097074556274e-09
1842,1.1538216160289494e-07,3.5553803456878086e-08,2.683306021822318e-09
1843,9.273850531954508e-08,2.9534556134080958e-08,6.497602011990011e-09
1844,1.0922237025923209e-07,9.879410178825765e-09,7.683985892015244e-09
1845,1.1997489801629513e-07,1.2276501426544684e-08,0.0
1846,1.3406808685445526e-07,2.0490754648605503e-08,2.3418005312692003e-09
1847,7.820174285910753e-08,4.853901280910122e-09,1.294373674909366e-08
