year,sans_ADP entrer_VERB,sans_ADP rentrer_VERB
1800,2.134887665761198e-06,1.3519907193781933e-07
1801,1.92637673990248e-06,6.429193044610315e-08
1802,2.385537584359554e-06,2.2378401354217203e-08
1803,1.8489215563022299e-06,7.021220937986072e-08
1804,1.987368136724399e-06,9.39303390623536e-08
1805,2.0639291733459686e-06,4.832892108730391e-08
1806,2.345678637993842e-06,4.610670600868616e-08
1807,2.320268436051265e-06,5.693910054560547e-08
1808,2.1097148987792025e-06,7.704651494577774e-08
1809,2.207072839155444e-06,6.325285739627873e-08
1810,2.5249967734453094e-06,1.6380887757350138e-08
1811,2.471977666118619e-06,5.264861258069686e-08
1812,2.2457892896454723e-06,1.0135391192989118e-07
1813,2.0705339807136625e-06,6.61420593850437e-08
1814,2.36315452184499e-06,1.2272040805783035e-07
1815,2.3573733756165893e-06,6.47333635583891e-08
1816,2.4126255766532267e-06,4.8669683394564345e-08
1817,2.5205780502801645e-06,7.7843672841027e-08
1818,2.127930201822892e-06,7.033494853203592e-08
1819,2.946943993720197e-06,1.0558071039667993e-07
1820,2.564346573308285e-06,7.00122386732005e-08
1821,2.191222733927134e-06,5.029358973729359e-08
1822,2.4422399746981682e-06,6.416394171537831e-08
1823,2.0931530571033363e-06,5.929612001409623e-08
1824,2.340227240438253e-06,8.000056794799093e-08
1825,2.134439341716643e-06,2.5535783931829314e-08
1826,2.3314734107771073e-06,6.870227564625964e-08
1827,2.2241279111767653e-06,1.078420961420079e-07
1828,2.30958551128424e-06,4.219258409321469e-08
1829,2.5410893726984796e-06,1.0802201799720024e-07
1830,2.3295017967939202e-06,9.49752092527234e-08
1831,1.961373754966189e-06,2.494592932222872e-08
1832,2.262210898607009e-06,4.329590153062668e-08
1833,2.06883606779229e-06,6.02348677603004e-08
1834,2.019992450641439e-06,6.160790544385009e-08
1835,2.1713625528718694e-06,5.218530674255817e-08
1836,2.622436682031548e-06,8.535352602478952e-08
1837,2.1840818931195827e-06,8.00157469171836e-08
1838,2.4282886670334847e-06,6.185918843826244e-08
1839,1.966702029676526e-06,4.9639473864715455e-08
1840,2.350415115870419e-06,9.93671420701503e-08
1841,2.4096318611555034e-06,1.0979138309608061e-07
1842,2.351246905618609e-06,9.25740586410484e-08
1843,2.6817375555765466e-06,9.80547252282804e-08
1844,2.539557272029924e-06,1.0098952518688975e-07
1845,2.300169910540717e-06,8.314539368114993e-08
1846,2.312527954018151e-06,8.781752036668422e-08
1847,2.2581427288059785e-06,8.575225418638865e-08
1848,2.376558484229463e-06,1.1826476153942167e-07
1849,2.2724973973708984e-06,1.097703368202474e-07
1850,2.1589007701550145e-06,1.2084412581714332e-07
1851,2.2547238245351764e-06,1.0319102194955576e-07
1852,2.2422318579629064e-06,7.096494414327026e-08
1853,2.2920274886928382e-06,7.763511344904828e-08
1854,2.324020670130267e-06,9.404152834235902e-08
1855,2.1827432306054106e-06,1.146298416188074e-07
1856,2.45812941557233e-06,9.111853405130432e-08
1857,2.319204952527798e-06,7.859229533835332e-08
1858,2.2716443481840543e-06,1.0423530127923186e-07
1859,2.0653855017371825e-06,1.0540798989211453e-07
1860,2.0620213376787433e-06,6.270742147762576e-08
1861,2.107092541336897e-06,9.196129546751308e-08
1862,2.3606477839166473e-06,1.1566045010624748e-07
1863,2.229099209216656e-06,9.739510353767855e-08
1864,2.459695508605364e-06,1.3185501757106977e-07
1865,2.3590704358866788e-06,9.084209562360002e-08
1866,2.213367281456158e-06,9.293320468728439e-08
1867,2.2725716348759306e-06,7.910083077433683e-08
1868,2.4422737965323904e-06,9.484557850214514e-08
1869,2.44566638230026e-06,8.888004998652832e-08
1870,2.3962589921211475e-06,8.199690171295515e-08
1871,2.139105106380157e-06,8.390730243945654e-08
1872,2.5828186380749685e-06,1.3062253145790237e-07
1873,2.433909457977279e-06,1.1433268376492833e-07
1874,2.635400051076431e-06,1.1889472339987606e-07
1875,2.6244645141559886e-06,1.2301283369708926e-07
1876,2.458914195813122e-06,1.2636170865221175e-07
1877,2.4467132107020007e-06,8.658742167710898e-08
1878,2.575067355792271e-06,7.126124623724195e-08
1879,2.5237621912310715e-06,9.347268026260735e-08
1880,2.3316035822062986e-06,8.984984845028521e-08
1881,2.5059192694243393e-06,7.948658797829466e-08
1882,2.3773036446073093e-06,1.1580370440356091e-07
1883,2.4240983975687413e-06,1.0553296014848002e-07
1884,2.449229555168131e-06,4.423136878983769e-08
1885,2.2334127720569086e-06,8.443782473221972e-08
1886,2.2967877839619177e-06,6.96974105096615e-08
1887,2.4235368982772343e-06,6.985949418947257e-08
1888,2.3238353605847806e-06,8.433017217868155e-08
1889,2.550537146817078e-06,7.83142102278589e-08
1890,2.5870164108710014e-06,9.766035891090041e-08
1891,2.498694243513455e-06,1.0517462989412252e-07
1892,2.372005042161618e-06,6.143141950687436e-08
1893,2.1622200847559725e-06,7.882773278566901e-08
1894,2.1544963146880036e-06,9.137231860023576e-08
1895,2.2593878838961245e-06,9.569597025915755e-08
1896,2.1866184169994085e-06,8.078929791821565e-08
1897,2.224639274572837e-06,8.390467609586949e-08
1898,2.276922032251605e-06,8.713866739284981e-08
1899,2.4990182510009618e-06,9.839089898378006e-08
