year,voudrez_VERB aller_VERB
1800,3.144164484325529e-09
1801,4.7623651688866175e-09
1802,8.951360541686881e-09
1803,5.851017448321727e-09
1804,7.4155526164076946e-09
1805,8.528632911009026e-09
1806,2.0171682990621775e-08
1807,1.1387820464392462e-08
1808,0.0
1809,2.259030518203531e-09
1810,1.8721014072298203e-08
1811,5.0141535368197765e-09
1812,5.3344164641089264e-09
1813,0.0
1814,1.8880061958270744e-08
1815,1.0788894222457657e-08
1816,6.952811659743929e-09
1817,6.227493631882908e-09
1818,1.3113295338484932e-08
1819,2.070210003424222e-09
1820,2.1359666035891678e-08
1821,7.88919063410276e-09
1822,1.1028177482330648e-08
1823,1.2847492847356534e-08
1824,5.894778887238772e-09
1825,2.641632912414593e-09
1826,7.0463874735082754e-09
1827,9.217273166939322e-09
1828,1.1006761724274838e-08
1829,8.57317605795771e-10
1830,3.1310507520032616e-09
1831,6.236482441579483e-09
1832,4.058990921151917e-09
1833,8.108539617524002e-09
1834,7.467624740797874e-09
1835,1.5126175867408165e-09
1836,2.016224964762614e-09
1837,7.653680356156656e-09
1838,1.4517972601879592e-08
1839,2.7965900706306e-09
1840,1.3376346252869098e-08
1841,3.852329122366882e-09
1842,2.0124795163667386e-09
1843,2.3627644285539873e-09
1844,1.097712254427563e-09
1845,6.138250796539069e-09
1846,3.5127007969038004e-09
1847,3.235934187273415e-09
1848,3.218088684420195e-09
1849,7.54147322368226e-09
1850,4.752297222410107e-09
1851,3.2247193804124663e-09
1852,5.859490670445666e-09
1853,5.971931837933653e-10
1854,1.558699391779328e-09
1855,2.1227748447927297e-09
1856,2.0708756931497874e-09
1857,1.2203773103180993e-08
1858,2.4468380654951716e-09
1859,4.073738679721828e-09
1860,9.15436793036406e-09
1861,1.8863854922557266e-09
1862,7.680577063240435e-09
1863,1.4484400345793347e-08
1864,9.589456340108882e-09
1865,1.2237795665726026e-08
1866,0.0
1867,1.455843445796745e-09
1868,1.6301584082611953e-08
1869,7.325278605918584e-09
1870,9.17447806614291e-09
1871,4.248470908407853e-09
1872,4.8378714367913744e-09
1873,5.387403856360606e-09
1874,3.5847653734322193e-09
1875,2.2886108563824337e-09
