year,ayez_VERB envoyé_VERB,ayez_VERB renvoyé_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,4.610670600868616e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,2.3176038865813098e-08,0.0
1817,9.341240669868967e-09,0.0
1818,2.384235475716423e-09,0.0
1819,1.7596784473994376e-08,0.0
1820,3.559944161679596e-08,0.0
1821,4.141825016290568e-08,0.0
1822,6.015369535816717e-09,0.0
1823,1.3835761869529506e-08,2.9648060007048116e-08
1824,2.3579115548955087e-08,8.421112696055388e-09
1825,1.7610886082763955e-09,0.0
1826,1.3211976401805714e-08,6.1655889282974385e-09
1827,1.1982455028203276e-08,0.0
1828,4.586150570418113e-09,0.0
1829,6.858540846366168e-09,0.0
1830,1.3567886369969528e-08,0.0
1831,9.354723218280014e-09,0.0
1832,4.058990921151917e-09,0.0
1833,1.6217079235048004e-08,1.1583628500844156e-09
1834,2.8003592777992026e-09,9.334530925997342e-10
1835,7.563087933704082e-09,5.294161553592858e-09
1836,6.72075017860152e-09,7.392825018825988e-09
1837,9.045257876039159e-09,6.957890930081589e-10
1838,2.4617431648721322e-08,6.312161904276081e-09
1839,1.677954131196202e-08,2.0974425751774106e-08
1840,6.3696887764308485e-09,4.458782232319436e-09
1841,0.0,3.2102742686390684e-09
1842,5.366612043644636e-09,6.708265054555795e-10
1843,5.906910960362666e-09,5.906911071384968e-10
1844,6.586273748609983e-09,0.0
1845,1.1160455892778032e-09,4.464182357111213e-09
1846,7.610851504580296e-09,4.0981511517657054e-09
1847,5.9325460100012606e-09,3.235934187273415e-09
1848,9.65426583121598e-09,0.0
1849,6.703531951757213e-09,1.6758829879393033e-09
1850,1.5614691761811628e-08,4.752297222410107e-09
1851,4.514607354622058e-09,3.2247193804124663e-09
1852,1.1718981340891332e-08,6.510545436100301e-10
1853,1.4332636411040767e-08,3.5831591027601917e-09
1854,2.909572138776184e-08,1.2989160858012383e-08
1855,7.429711956774554e-09,0.0
1856,1.1389816201301528e-08,1.0872097000458325e-08
1857,1.6597130780837688e-08,2.4407544874094356e-09
1858,6.068158597827278e-08,2.4468380654951716e-09
1859,1.323965115318515e-08,1.5276520048956854e-09
1860,1.0985241161165504e-08,9.154367819341758e-10
1861,1.7920662287451705e-08,9.431927461278633e-10
1862,2.6656119089807362e-08,4.066187830886747e-09
1863,4.994620894649415e-08,1.9978483312144135e-09
1864,6.616724590458034e-08,3.3563094525845827e-09
1865,1.1296426905005319e-08,1.3649848362717876e-08
1866,1.4596838404656864e-08,9.731225825149181e-10
1867,3.979305418511103e-08,6.308654931785895e-09
1868,2.2723421366777075e-08,5.9278488784286765e-09
1869,1.3673853160867111e-08,0.0
1870,2.121598008386627e-08,1.1468097582678638e-09
1871,3.292564798584863e-08,1.0621177271019633e-09
1872,1.9351485747165498e-08,6.047339295989218e-10
1873,2.095101514498765e-08,1.1972008939764578e-09
1874,1.3144139998644278e-08,1.7923826867161097e-09
1875,1.4303817685856757e-08,2.8607636259891933e-09
1876,1.6928840551599933e-08,6.04601479992084e-10
1877,1.9791411176584006e-08,5.566334504436554e-09
1878,3.6234530931267273e-09,0.0
1879,1.0996785704264767e-08,6.10932526790009e-10
1880,2.2462462112571302e-08,0.0
1881,2.7890030285249168e-09,1.3945015142624584e-09
1882,2.4624924321869912e-08,1.3310770263785798e-09
1883,3.791603475633565e-09,6.319338829996468e-09
1884,7.922036360241691e-09,3.9610181801208455e-09
1885,1.9981470700258797e-08,1.2891271383708158e-09
1886,1.0325542199041138e-08,6.453463874400711e-10
1887,1.0446279397058333e-08,1.3057849246322917e-09
1888,1.268122939990235e-08,1.268122939990235e-09
1889,1.1277245803853475e-08,6.265136742733546e-10
1890,1.9663159989136147e-09,3.9326319978272295e-09
1891,9.561330394092238e-09,0.0
1892,6.8953633913793055e-09,2.5074049503359674e-09
1893,1.7859408174558666e-08,4.926733243593162e-09
1894,1.5123694296903523e-08,0.0
1895,2.4074457982692365e-09,2.4074457982692365e-09
1896,9.435246361988447e-09,6.486732040400511e-09
1897,1.1653427112179315e-09,0.0
1898,5.092519295146758e-09,1.13167097914868e-09
1899,3.8693048765026106e-09,3.3165470370022376e-09
1900,7.26747462209687e-09,5.191053142894475e-10
1901,4.470991132876634e-09,1.676621730339889e-09
1902,2.455141867585553e-09,4.910283846193408e-10
1903,8.100330184390714e-09,4.320176216765503e-09
1904,1.4511488011237361e-08,4.299700151477737e-09
1905,8.257214467732865e-09,1.0321518084666081e-09
1906,5.658602919567102e-09,5.144184522798412e-10
1907,3.0857059130084963e-09,0.0
1908,2.9468334439286537e-09,0.0
1909,6.0510818578052294e-09,0.0
1910,3.206490406526541e-09,0.0
1911,4.788336838146279e-09,0.0
1912,1.2502610502451716e-08,0.0
1913,1.113627856597077e-08,1.060597942803554e-09
1914,1.4732836284281348e-08,0.0
1915,2.3561524287174507e-08,0.0
1916,1.648119329900055e-08,0.0
1917,3.289927441585405e-09,0.0
1918,2.2972752589112133e-09,0.0
1919,8.287063479883727e-09,0.0
1920,1.9687803387569147e-08,0.0
1921,9.844571380313027e-09,7.572747429129834e-10
1922,1.1804696775641332e-08,0.0
1923,2.1231896241147297e-09,0.0
1924,5.156649773851996e-09,1.289162443462999e-09
1925,2.1996355847875293e-09,1.0998177923937646e-09
1926,4.458455382660986e-09,0.0
1927,1.3379070296082318e-08,0.0
1928,5.713020723163709e-09,0.0
1929,1.3368487650211591e-08,0.0
1930,6.302162347537887e-09,0.0
1931,2.2810713318222042e-09,1.1405356659111021e-09
1932,5.4797681947604815e-09,0.0
1933,1.1470662641954732e-08,0.0
1934,5.990790086229936e-09,0.0
1935,0.0,0.0
1936,1.2124714565686645e-09,0.0
1937,6.295559185076627e-09,1.2591118148108649e-09
1938,7.779128452511941e-09,0.0
1939,4.588215141154706e-09,0.0
1940,5.0715658339584024e-09,0.0
1941,1.4757512545315876e-08,0.0
1942,6.068423541449874e-09,0.0
1943,5.806470415592457e-09,0.0
1944,6.4263723231761105e-09,0.0
1945,6.535512131478072e-09,0.0
1946,4.1763312808029696e-09,0.0
1947,1.907339353124371e-08,0.0
1948,2.174377566888097e-09,0.0
1949,6.8719057111366055e-09,0.0
1950,1.1698897850465073e-08,0.0
1951,4.264560704569931e-09,0.0
1952,3.1634410646574906e-09,0.0
1953,7.54167928107563e-09,0.0
1954,3.9090144454689835e-09,9.772536113672459e-10
1955,2.627970197011109e-08,1.8771215692936494e-09
1956,2.616342476002842e-09,0.0
1957,5.301022731885041e-09,8.835037701437898e-10
1958,4.1361216673863055e-09,0.0
1959,0.0,0.0
1960,4.844583401109048e-09,0.0
1961,3.47407969059077e-09,0.0
1962,7.610347907416326e-09,0.0
1963,5.819448034571906e-09,0.0
1964,5.475571551727398e-09,1.2167936658258327e-09
1965,1.094408652591028e-08,0.0
1966,1.6617224263271169e-09,0.0
1967,2.9582012395223956e-09,2.465167847631733e-09
1968,3.5931326802796093e-09,0.0
1969,1.8167031212712459e-09,2.2708788183223305e-09
1970,3.6789800095249348e-09,0.0
1971,8.221435976452085e-09,0.0
1972,5.130146973897354e-09,0.0
1973,7.718485406371656e-09,1.102640756478479e-09
1974,1.1251143350321513e-09,0.0
1975,6.282628195464213e-09,0.0
1976,1.7140580066410394e-09,0.0
1977,8.815172591880582e-09,1.7630346071939584e-09
1978,2.970295565063452e-09,0.0
1979,4.681578680276743e-09,5.851973350345929e-10
1980,2.8425752862659692e-09,5.685150683554241e-10
1981,4.427884725544118e-09,0.0
1982,1.2415004579935385e-09,0.0
