year,pourrez_VERB acheter_VERB,pourrez_VERB racheter_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,4.475680270843441e-09,0.0
1803,2.145373123596528e-08,0.0
1804,1.9774807569206132e-08,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,6.798221985349073e-09,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.300593315851529e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,1.9073883805731384e-08,0.0
1819,3.1053151161586356e-09,0.0
1820,0.0,0.0
1821,4.930744257336528e-09,5.9168927535324656e-09
1822,2.0051231786055723e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,5.894778887238772e-09,0.0
1825,4.4027217427355936e-09,0.0
1826,8.807984341885344e-10,0.0
1827,9.217273055917019e-10,5.530363722527909e-09
1828,0.0,5.503380862137419e-09
1829,5.143905745796928e-09,3.429270423183084e-09
1830,4.174734336004349e-09,6.262101504006523e-09
1831,0.0,9.354723218280014e-09
1832,0.0,0.0
1833,0.0,3.4750886612755494e-09
1834,3.733812370398937e-09,2.8003592777992026e-09
1835,3.025235173481633e-09,3.025235173481633e-09
1836,6.72075017860152e-09,0.0
1837,1.8090515752078318e-08,2.0873671680021744e-09
1838,2.5248647617104325e-09,1.8936485712828244e-09
1839,1.5381244722334486e-08,2.0974426639952526e-09
1840,6.369688665408546e-10,0.0
1841,1.2841097074556274e-09,0.0
1842,2.683306021822318e-09,1.341653010911159e-09
1843,3.5441467538532834e-09,5.31621990873532e-09
1844,7.683985892015244e-09,0.0
1845,1.0044410636567136e-08,0.0
1846,5.854501328173001e-09,0.0
1847,1.6179670936367074e-09,3.775256551818984e-09
1848,1.6090443422100975e-09,4.02261068899179e-09
1849,2.513824481908955e-09,1.6758829879393033e-09
1850,6.788996032014438e-10,0.0
1851,5.159551008659946e-09,1.2898877521649865e-09
1852,1.3021090872200602e-09,0.0
1853,3.5831591027601917e-09,1.1943863675867306e-09
1854,5.195664343204953e-09,0.0
1855,1.1675261646360013e-08,3.1841622671890946e-09
1856,2.0708756931497874e-09,0.0
1857,3.905207268672939e-09,1.9526036343364694e-09
1858,0.0,9.787352039936081e-10
1859,1.5276520048956854e-09,1.018434669930457e-09
1860,4.57718396518203e-09,1.373155145145688e-09
1861,1.226150558863992e-08,2.357981809808507e-09
1862,9.939570055905733e-09,0.0
1863,7.991393324857654e-09,0.0
1864,1.2466292886870178e-08,1.9178911792039344e-09
1865,3.765475486972036e-09,9.41368871743009e-10
1866,1.0704348518686402e-08,0.0
1867,5.338092634588065e-09,0.0
1868,4.44588676984381e-09,9.87974813071446e-10
1869,9.767038289254515e-10,3.906815315701806e-09
1870,1.204150201772336e-08,1.7202146374017957e-09
1871,9.559059321873065e-09,6.37270636261178e-09
1872,5.442605477412599e-09,0.0
