year,plus_ADV entré_VERB,plus_ADV rentré_VERB
1800,3.144164484325529e-09,0.0
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,1.3427040812530322e-08,0.0
1803,5.851017448321727e-09,1.950339223455444e-09
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,0.0,0.0
1810,2.3401266702194334e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.1337665856435706e-08,1.0668832928217853e-08
1813,5.463909147351842e-08,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,1.556873407970727e-09,1.2454987263765815e-08
1818,0.0,0.0
1819,1.035105001712111e-09,8.280840013696888e-09
1820,1.1866481131050932e-09,1.1866481131050932e-08
1821,1.4792232327920374e-08,0.0
1822,1.7043547018147365e-08,6.015369535816717e-09
1823,5.929612356680991e-09,5.929612356680991e-09
1824,8.421112696055388e-09,1.1789557774477544e-08
1825,1.7610886970942374e-08,1.4969252504215547e-08
1826,2.2019960965735663e-08,7.0463874735082754e-09
1827,9.217273166939322e-09,9.217273055917019e-10
1828,9.172301251858528e-10,3.668920500743411e-09
1829,1.1145129263923081e-08,6.001223074036943e-09
1830,3.1310507520032616e-09,0.0
1831,1.7150327380477393e-08,3.1182412207897414e-09
1832,1.352996914505411e-08,0.0
1833,0.0,4.6334514003376626e-09
1834,1.8669061851994684e-09,8.401078055442213e-09
1835,9.075705520444899e-09,1.0588323107185715e-08
1836,1.2769425516978572e-08,1.4113575197427508e-08
1837,1.0436836284100082e-08,1.1132625488130543e-08
1838,1.0730675015224733e-08,1.1361890983607736e-08
1839,1.1885507689157748e-08,1.8876983531868063e-08
1840,5.095750932326837e-09,3.821813088222825e-09
1841,1.5409316489467528e-08,6.420548537278137e-09
1842,1.0733224087289273e-08,1.0062397137744483e-08
1843,5.906910960362666e-09,9.451057714215949e-09
