year,ils_PRON apportent_VERB,ils_PRON rapportent_VERB
1800,2.2952401224074492e-07,6.005353938576263e-07
1801,2.309747131334916e-07,4.167069604932294e-07
1802,3.3567602031325805e-07,3.647679420737404e-07
1803,2.808488517302976e-07,6.026548220461336e-07
1804,2.546006498960196e-07,5.190886867012523e-07
1805,3.667312356014918e-07,4.6907481987545907e-07
1806,3.285102891936731e-07,4.4377704710996113e-07
1807,1.907460003280903e-07,2.9038941562475884e-07
1808,1.8581806671136292e-07,3.399110966029184e-07
1809,2.1234886560250743e-07,3.2530039106859476e-07
1810,2.082712811102283e-07,3.6739989184297883e-07
1811,3.10877521059183e-07,4.41245504134713e-07
1812,3.040617251315325e-07,5.707825607714767e-07
1813,2.329350685670306e-07,3.6809493053624465e-07
1814,1.5733385438920777e-07,3.209610639487437e-07
1815,3.45244615118645e-07,4.504363388946331e-07
1816,3.3605255111979204e-07,4.658383971900548e-07
1817,2.3975850993451786e-07,3.456259065615086e-07
1818,2.1577330500122116e-07,3.3140872801595833e-07
1819,2.266879945977962e-07,4.17147305142862e-07
1820,3.571810793800978e-07,3.25141577661725e-07
1821,2.6428788402199643e-07,3.8952879322096123e-07
1822,2.897402993085052e-07,3.1279920165161457e-07
1823,2.6782082329646073e-07,3.7158903865019965e-07
1824,2.9137050461258696e-07,2.981074018748586e-07
1825,2.7737145913420136e-07,3.5838153422673713e-07
1826,3.3558420398094313e-07,3.073986576396237e-07
1827,3.1430901259454913e-07,3.7606474023732517e-07
1828,2.1188014898143592e-07,3.448785292903267e-07
1829,2.048989067304774e-07,3.343538708122651e-07
1830,2.964061316390598e-07,3.663329479763888e-07
1831,2.6972787026124934e-07,2.728461083734146e-07
1832,2.6789339813149127e-07,2.5571641870669737e-07
1833,3.243416131226695e-07,3.625675759622027e-07
1834,2.5576614604005954e-07,3.304424041061793e-07
1835,3.047924508337019e-07,3.4941466964255596e-07
1836,3.326771320644184e-07,3.703133444332707e-07
1837,2.0317040849704426e-07,2.6509564321486323e-07
1838,2.5564255423660143e-07,2.954091726792285e-07
1839,3.369891032889427e-07,3.502729128967985e-07
1840,3.535177270919121e-07,3.0892990565689615e-07
1841,2.7544153624603496e-07,3.666133352453471e-07
1842,3.206550687195886e-07,2.7638051847134193e-07
1843,2.634482427765761e-07,3.443729070795598e-07
1844,2.612555114467341e-07,4.0505582532546214e-07
1845,2.8403360730067106e-07,2.751052363691997e-07
1846,2.646234626979549e-07,2.775033607349542e-07
1847,2.7829034365822736e-07,2.475489679909515e-07
1848,3.7168925359765126e-07,3.2100434310677883e-07
1849,3.301489499563104e-07,2.2289243872819497e-07
1850,2.7834883553623513e-07,2.586607479315717e-07
1851,3.256966536469008e-07,2.4572362633534794e-07
1852,2.5911970169545384e-07,3.1315722992530937e-07
1853,3.6249625878781444e-07,2.490295578638779e-07
1854,3.5226604211402446e-07,2.561462544292681e-07
1855,2.8126767404046404e-07,2.87105294205503e-07
1856,2.8267453089370065e-07,2.1381790915597776e-07
1857,2.5969627870381373e-07,2.5725553598476836e-07
1858,2.510455772153364e-07,2.3342834509776367e-07
1859,3.075672836416743e-07,2.3474918364740915e-07
1860,3.290995351790116e-07,2.1878938483155252e-07
1861,2.556052365321193e-07,3.22571906963276e-07
1862,2.6159140631420996e-07,2.5255543789626245e-07
1863,2.906869340790763e-07,2.6821113863206847e-07
1864,3.3658991327456533e-07,2.311058828752266e-07
1865,2.9935529965996466e-07,2.1651483450568776e-07
1866,3.211304431260942e-07,2.077616727547138e-07
1867,2.916539649788774e-07,2.3584664177178638e-07
1868,3.319595336392922e-07,2.67741171455782e-07
1869,3.511250170618041e-07,2.1878165412658745e-07
1870,2.746609339965289e-07,1.926640429417148e-07
1871,3.8661085710600673e-07,2.028644772167354e-07
1872,3.313942009697257e-07,2.2737996374644354e-07
1873,2.867296089448246e-07,1.8915774546712782e-07
1874,3.208365129125923e-07,2.0014940815826776e-07
1875,3.135396866582596e-07,1.8137241042381902e-07
1876,3.506688699417282e-07,2.3518997949167897e-07
1877,3.0058205169325447e-07,2.3564148676769037e-07
1878,3.49059320114975e-07,2.3673227644849248e-07
1879,3.769453726931715e-07,2.229903692807511e-07
1880,3.555486998152446e-07,1.52102959560807e-07
1881,2.8796456064128506e-07,1.2968864027129712e-07
1882,2.9217140706805367e-07,2.0165817105066708e-07
1883,3.5261911079942365e-07,1.8073308893917783e-07
1884,3.7959758003580646e-07,1.333542769543783e-07
1885,3.8158162141144203e-07,1.5985175849664301e-07
1886,3.5881257787195864e-07,1.800516429284471e-07
1887,4.276445650930327e-07,1.5669418829133974e-07
1888,3.74730326768713e-07,1.9212062696283283e-07
1889,4.0410131418866513e-07,1.835685132789422e-07
1890,4.181698471938944e-07,1.7041404731799048e-07
1891,3.091496836304941e-07,1.842149544017957e-07
1892,4.1748292289867095e-07,1.5671281161644401e-07
1893,3.9413865948745297e-07,1.933742836968122e-07
1894,4.159016029348095e-07,1.871557131494228e-07
1895,4.158862694225718e-07,1.7634541293887196e-07
1896,3.626672722134572e-07,2.1170334463249674e-07
1897,3.851457535120062e-07,1.2061297205434585e-07
1898,3.9891402536795795e-07,1.7597484003317732e-07
1899,4.770300279233197e-07,1.774352611505492e-07
1900,4.511025224473997e-07,1.7182385647629417e-07
1901,4.5157010220009397e-07,1.9672360807021505e-07
1902,3.6778025958028593e-07,1.4534440495594936e-07
1903,4.2121719445731287e-07,1.9980815579856426e-07
1904,4.7350447118787997e-07,1.7521277584364725e-07
1905,4.366002031019889e-07,1.9868922507271236e-07
1906,4.321114914773716e-07,2.3508923518988922e-07
1907,4.5462735442924895e-07,1.8617093289208242e-07
1908,4.621617222255736e-07,2.1462769694835515e-07
1909,4.653832093026722e-07,2.4424366529274266e-07
1910,4.799047417236579e-07,1.7261606544138886e-07
1911,4.043484409521625e-07,1.9153346286771011e-07
1912,4.011254475244641e-07,1.8285068748014055e-07
1913,4.433299380934841e-07,1.7393806217569363e-07
1914,4.540392097851509e-07,2.2768928431560198e-07
1915,5.195316106210157e-07,2.0734141514822113e-07
1916,5.09818249838645e-07,2.2414423028749297e-07
1917,5.022622531214438e-07,1.8094600306994835e-07
1918,5.019546591711332e-07,2.4925437003275874e-07
1919,5.543124643736519e-07,1.712659774000258e-07
1920,4.619061400035207e-07,1.7113243444555337e-07
1921,4.490639042842304e-07,2.0294962865818889e-07
1922,5.053885843153694e-07,1.7485707104469839e-07
1923,4.405618412306467e-07,1.8471749996251674e-07
1924,4.821467456395112e-07,1.6630195887046284e-07
1925,4.2342985295817925e-07,1.5507430717320858e-07
1926,4.514186144888299e-07,1.861405038994235e-07
1927,4.41509314441646e-07,1.962263596055891e-07
1928,4.7303809935783647e-07,1.9995571420849956e-07
1929,4.4227412843156344e-07,1.5485164794881712e-07
1930,4.2434558622517216e-07,1.6700729332796982e-07
1931,4.4366838380938134e-07,2.2126391741039697e-07
1932,4.635884067738516e-07,1.819283070858546e-07
1933,4.335910119834807e-07,1.5829513699827658e-07
1934,4.1096821234987146e-07,1.86912650690374e-07
1935,5.206203468333115e-07,1.531940370114171e-07
1936,4.6073915882516303e-07,1.6489612164605205e-07
1937,5.300860834722698e-07,1.6998009755297971e-07
1938,4.836024913856818e-07,2.0355386709525192e-07
1939,5.245859284741528e-07,2.034108703696802e-07
1940,4.919419041016226e-07,1.7496902415814475e-07
1941,4.6338590209416e-07,2.1841119490773053e-07
1942,5.158160121254696e-07,1.517105943094066e-07
1943,5.429049849681178e-07,1.3645205498846735e-07
1944,5.751603282533324e-07,2.0243072640369064e-07
1945,5.163054623835706e-07,1.6338780284286258e-07
1946,4.941992131080042e-07,1.4895581301743732e-07
1947,4.6729813618640037e-07,2.086152477431824e-07
1948,5.512047209776938e-07,1.9243241666799804e-07
1949,5.026308258493373e-07,1.570721330779179e-07
1950,5.732459698037928e-07,1.3400555687326232e-07
1951,5.245409653298339e-07,1.5992102930795227e-07
1952,5.061505845560532e-07,1.5606309489157866e-07
1953,5.753223888405046e-07,1.605300248286312e-07
1954,5.277169634609891e-07,1.719966320479216e-07
1955,5.42488123755902e-07,1.586167783784731e-07
1956,5.947818522145099e-07,1.561084346235475e-07
1957,5.018301436621186e-07,1.634481989754022e-07
1958,5.310780295531004e-07,1.4310980844811638e-07
1959,5.045736912734355e-07,1.3563808565209e-07
1960,5.114495991165313e-07,1.474137505397266e-07
1961,5.259756505893165e-07,1.2715131703089355e-07
1962,5.428714615618446e-07,1.3318108571525045e-07
1963,5.845312074370668e-07,1.4419298466350483e-07
1964,5.213960889705049e-07,1.381060776850518e-07
1965,5.488459606795004e-07,1.37348290962791e-07
1966,5.040557908841947e-07,1.6617224218862248e-07
1967,4.881032253933881e-07,1.700965732709392e-07
1968,5.057334107050337e-07,1.2980191854694567e-07
1969,4.682552230406145e-07,1.3080262561970812e-07
1970,4.341196415680315e-07,1.430203475649705e-07
1971,5.009937495970007e-07,1.4233360801085837e-07
1972,5.463606527200682e-07,1.2261050841289034e-07
1973,4.857132438473855e-07,1.350734954996824e-07
1974,4.6861012492627196e-07,1.2207490840410173e-07
1975,4.791931758063583e-07,1.1936993615790925e-07
1976,4.673664903975805e-07,1.3198247117429673e-07
1977,4.71317889605416e-07,1.1577260039530302e-07
1978,4.942572076060969e-07,1.1762370633050523e-07
1979,4.927361487716553e-07,1.228914356943278e-07
1980,5.361097095146761e-07,1.2109370928214958e-07
1981,5.326112670900329e-07,1.0626922986034515e-07
1982,5.537091993801369e-07,1.1545954237135447e-07
1983,5.266973630568828e-07,1.1367568930609195e-07
1984,5.28869563254375e-07,1.2641838509352965e-07
1985,4.938773230378501e-07,9.925670418908794e-08
1986,5.185229952076043e-07,1.156935702795181e-07
1987,5.304189016896999e-07,1.0327280364208491e-07
1988,5.049098348308689e-07,1.1693279944324786e-07
1989,4.785642460092276e-07,1.4598404618482164e-07
1990,5.148975361635166e-07,1.0897302260559627e-07
1991,4.6833108058308426e-07,1.1488471862719507e-07
1992,5.317096167800628e-07,1.162598231019274e-07
1993,5.040678843215574e-07,1.3737234638711016e-07
1994,4.905681691980135e-07,1.271257339396925e-07
1995,4.609083106288381e-07,1.1549820300160718e-07
1996,5.236668556563018e-07,1.040927983808615e-07
