year,les_DET ans_NOUN,les_DET rangs_NOUN
1800,1.693132617219817e-05,7.426516404507311e-06
1801,1.832796260714531e-05,7.648358447909231e-06
1802,1.82630137715023e-05,6.82093693171737e-06
1803,1.89514466910623e-05,6.941257154835512e-06
1804,1.9670989786391146e-05,8.60945665692725e-06
1805,1.4603862837248016e-05,8.224445053883755e-06
1806,1.6134465113282204e-05,7.92170808949777e-06
1807,1.3924457562097814e-05,6.798528872309362e-06
1808,2.0578218027367257e-05,7.5732192215127725e-06
1809,2.5804905817494728e-05,9.476632783389505e-06
1810,1.5220184650388546e-05,7.174828439815428e-06
1811,1.898358459584415e-05,7.263001549517867e-06
1812,1.2181139936728869e-05,8.40970716353695e-06
1813,1.2598624380188994e-05,7.652348330111636e-06
1814,1.43394081533188e-05,1.4698128808277033e-05
1815,1.360209807899082e-05,1.3415990252951815e-05
1816,1.250347304448951e-05,8.72809641805361e-06
1817,1.3660007425642107e-05,1.1520863438363449e-05
1818,1.4607018783863168e-05,1.1090270888303166e-05
1819,1.5006952708063181e-05,1.0069501641396528e-05
1820,1.4165018910716753e-05,1.1712217215631426e-05
1821,1.4544709301844705e-05,9.603117135270622e-06
1822,1.308543414779706e-05,1.00125828197406e-05
1823,1.2178435099485796e-05,1.0400539537158693e-05
1824,1.1067026207456365e-05,1.212724474441984e-05
1825,1.3106901860737707e-05,1.2612035746428774e-05
1826,1.3817965736961924e-05,1.0833820482503143e-05
1827,1.2623977454495616e-05,1.1364897844146071e-05
1828,1.181117204396287e-05,1.0595842354632623e-05
1829,1.2647149560507387e-05,1.0664173686336653e-05
1830,1.240835445059929e-05,1.1465907689967025e-05
1831,1.045702174451435e-05,1.2087861705367686e-05
1832,1.1064808859373443e-05,1.205926145075864e-05
1833,1.223231174662942e-05,1.1123758412168172e-05
1834,1.3057141586614307e-05,1.1083822187174519e-05
1835,1.317868100159103e-05,1.1180513126873848e-05
1836,1.1751231795642525e-05,1.1046225026234424e-05
1837,1.2489414075389504e-05,1.1361539989707126e-05
1838,1.424023685103748e-05,1.0714263581235173e-05
1839,1.132199486164609e-05,1.0971721849273308e-05
1840,1.148263800132554e-05,1.2725363561116865e-05
1841,1.129374504671432e-05,1.2120069087018237e-05
1842,1.1474487109808251e-05,1.2671241833572822e-05
1843,1.1633661415544339e-05,1.1021705034863771e-05
1844,1.2247724043845665e-05,1.2492514258610754e-05
1845,1.1073404493799899e-05,1.2305519049959912e-05
1846,1.2638697626243811e-05,1.1226591709601053e-05
1847,1.2484773833421059e-05,1.2972320490689526e-05
1848,1.2595599400810897e-05,1.3231975714234068e-05
1849,1.1974183507845737e-05,1.3535268678310786e-05
1850,1.2649257769226097e-05,1.2120394387693523e-05
1851,1.1113673281215597e-05,1.2024333912563634e-05
1852,1.1776274732255843e-05,1.0154497758207981e-05
1853,1.1919975804630667e-05,1.0546432051228294e-05
1854,1.1197176718269475e-05,1.0401201052445685e-05
1855,1.1140853530378081e-05,1.0551252728419058e-05
1856,1.0548523277975619e-05,1.1420879033607889e-05
1857,1.0285827556799632e-05,1.0826211152448195e-05
1858,9.45213560044067e-06,1.1604374265061779e-05
1859,9.868123015621677e-06,1.1485906611596874e-05
1860,1.0040510460385121e-05,1.2349699815672466e-05
1861,9.688475984148681e-06,1.1183436697592697e-05
1862,1.0097247468365822e-05,1.0937141595945832e-05
1863,1.0330873919883743e-05,1.0473220655171644e-05
1864,9.519452760287095e-06,1.010872460938117e-05
1865,9.946033060259651e-06,1.0192200790015704e-05
1866,9.192115612677298e-06,1.0353538172580556e-05
1867,9.765797585714608e-06,1.0217109633003929e-05
1868,1.0073391422338318e-05,1.0064005110166363e-05
1869,9.157086424238514e-06,9.590743630383258e-06
1870,9.029407010530122e-06,1.0845953397620178e-05
1871,8.709364919923246e-06,1.3340199075173587e-05
1872,9.156276064459234e-06,1.061912789168673e-05
1873,8.97002792044077e-06,9.096332149738373e-06
1874,1.0045110684586689e-05,8.61299643872826e-06
1875,9.419922207598574e-06,8.844909032745818e-06
1876,9.910022527037654e-06,8.931777472298563e-06
1877,9.389169463247526e-06,8.112004593385791e-06
1878,9.713874533190392e-06,8.162432223457472e-06
1879,1.0815949281095527e-05,7.830933554942021e-06
1880,9.620993296266533e-06,8.091620841810254e-06
1881,9.83193331194343e-06,7.743667026716139e-06
1882,1.0076918442791793e-05,7.446044833159249e-06
1883,1.0116629709955305e-05,7.346231683413862e-06
1884,9.628574844100513e-06,7.699558949525453e-06
1885,9.615599083190318e-06,7.1346740710964696e-06
1886,9.386562851432245e-06,7.5086052362394184e-06
1887,9.400998351338785e-06,7.457337787286633e-06
1888,9.421519280294888e-06,7.554208146132169e-06
1889,9.19220838113688e-06,6.896662370081685e-06
1890,9.003761078929529e-06,7.342879300153982e-06
1891,8.952591997513082e-06,6.93068957957621e-06
1892,8.901287401386071e-06,6.261617016889431e-06
1893,8.342806722794194e-06,6.645547514949612e-06
1894,8.549928679713048e-06,6.951858338766215e-06
1895,8.554859050491359e-06,7.077890771256534e-06
1896,8.641506610729266e-06,6.6435927550401175e-06
1897,8.419600817433093e-06,6.218851453354546e-06
1898,8.237999281845987e-06,6.371873467969635e-06
1899,9.059148396772798e-06,6.065964484491815e-06
1900,8.995575626613572e-06,6.0968921360426975e-06
1901,8.17911950434791e-06,5.944741687358146e-06
1902,7.427295258821687e-06,4.921086421916243e-06
1903,8.568529665353708e-06,5.585987651102187e-06
1904,8.498895113007165e-06,5.543388397200033e-06
1905,8.56840779306367e-06,5.847655870638846e-06
1906,8.298084139823914e-06,5.490388311102379e-06
1907,8.477462870359886e-06,5.37529997046704e-06
1908,8.340030035469681e-06,5.588669516498612e-06
1909,8.003380571608432e-06,5.56204464885468e-06
1910,7.751690645818599e-06,5.446224129457278e-06
1911,7.850743713788688e-06,5.5645791121605725e-06
1912,7.621904387633549e-06,6.0137560282669256e-06
1913,7.231156814668793e-06,5.730410762794236e-06
1914,6.806570127082523e-06,5.842908919362344e-06
1915,6.017613031872315e-06,7.036648923985922e-06
1916,5.304746537149185e-06,7.2539226181334016e-06
1917,5.152026005816879e-06,7.154495150984985e-06
1918,5.2573145694623236e-06,7.540806123529364e-06
1919,5.5311543292191345e-06,6.743828066646529e-06
1920,5.472451903187903e-06,5.0484069262779485e-06
1921,5.203234650252853e-06,4.4717075766698144e-06
1922,5.073068223282462e-06,4.874601913229526e-06
1923,5.827093900734326e-06,4.7941622156599806e-06
1924,5.576916919380892e-06,4.83306985188392e-06
1925,5.7465481404506136e-06,4.405870242862875e-06
1926,5.318937382980948e-06,4.6211888005132096e-06
1927,5.533360308618285e-06,4.2824173362987494e-06
1928,5.39766188012436e-06,4.461869146155095e-06
1929,5.891046839678893e-06,4.354784827853564e-06
1930,5.328477982402546e-06,4.798046170151338e-06
1931,5.560111276281532e-06,4.113912098091532e-06
1932,5.027139650337631e-06,4.4868343849202574e-06
1933,4.939267000736436e-06,4.837178188665803e-06
1934,5.011895154893864e-06,4.51585744087879e-06
1935,5.340248208085541e-06,4.355258710120324e-06
1936,4.579504548019031e-06,4.560105132611625e-06
1937,4.5453934944816865e-06,4.498806681851875e-06
1938,4.676552634919062e-06,4.2227702650166066e-06
1939,4.670802809414454e-06,3.774571624148848e-06
1940,4.412262114783516e-06,4.386904436159966e-06
1941,3.825147359748371e-06,4.1380065880503025e-06
1942,4.308580628276104e-06,4.67875447895949e-06
1943,4.105174411961343e-06,4.9703385869293015e-06
1944,3.6662454476754647e-06,5.240706407505513e-06
1945,3.224186002626084e-06,6.134667373203229e-06
1946,3.3104386147897458e-06,5.832942619576897e-06
1947,3.6847411593043944e-06,5.443069696298153e-06
1948,3.527927674440434e-06,5.107612899735159e-06
1949,3.9680348891124595e-06,4.594359694465311e-06
1950,4.111630914849229e-06,4.591285538424472e-06
1951,4.114234798180405e-06,4.855202462294983e-06
1952,3.5504353945725597e-06,4.371875547803938e-06
1953,3.6727976748807123e-06,4.625203985142434e-06
1954,3.7956531286909012e-06,4.033125733826637e-06
1955,3.6472472402238054e-06,3.842467823034212e-06
1956,4.090215497853933e-06,3.862593679571091e-06
1957,3.8370567381207366e-06,4.4431406820422126e-06
1958,3.7183733638812555e-06,4.131985697597429e-06
1959,3.6630033264373196e-06,4.204005755070739e-06
1960,3.618903747337754e-06,4.360125075208998e-06
1961,3.8020327792764874e-06,4.576752289153774e-06
1962,3.980846031481633e-06,4.970191127995349e-06
1963,4.063268079335103e-06,5.026709786193351e-06
