year,nos_DET ondes_NOUN,nos_DET rondes_NOUN
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,9.036122072814123e-09,4.518061036407062e-09
1810,0.0,1.1700633351097167e-08
1811,0.0,0.0
1812,8.00162425207418e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,1.3053129244156025e-08,0.0
1821,0.0,1.0847637454958203e-08
1822,2.0051231786055723e-09,2.0051231786055723e-09
1823,1.9765373782121287e-09,1.9765373782121287e-09
1824,0.0,0.0
1825,3.522177216552791e-09,9.68598712347557e-09
1826,1.7615968683770689e-09,5.284790383086602e-09
1827,0.0,9.217273055917019e-10
1828,1.8344602503717056e-09,3.668920500743411e-09
1829,8.57317605795771e-10,3.429270423183084e-09
1830,5.218417697960831e-09,1.0436835395921662e-08
1831,9.354723218280014e-09,7.795603274018958e-09
1832,0.0,0.0
1833,1.1583628500844156e-09,0.0
1834,9.334530925997342e-10,0.0
1835,4.5378527602224494e-09,7.563087933704082e-10
1836,5.376600054063374e-09,2.688300027031687e-09
1837,0.0,2.7831563720326358e-09
1838,1.2624323808552163e-09,6.312161904276081e-09
1839,3.4957374772659477e-09,4.894032845648155e-09
1840,6.3696887764308485e-09,3.821813088222825e-09
1841,2.5682194149112547e-09,0.0
1842,4.024959032733477e-09,7.379091560011375e-09
1843,6.497602011990011e-09,1.1223130869097986e-08
1844,1.6465684371524958e-09,4.9397050894128824e-09
1845,2.2320911785556063e-09,4.464182357111213e-09
1846,4.0981511517657054e-09,2.3418005312692003e-09
1847,2.6966118227278457e-09,7.011190739092399e-09
1848,3.218088684420195e-09,1.1263310173426078e-08
1849,0.0,0.0
1850,6.788996032014438e-10,6.788996032014438e-10
1851,5.159551008659946e-09,6.449438760824933e-10
1852,3.906327261660181e-09,7.812654745364966e-09
1853,5.3747388761848924e-09,4.777545470346922e-09
1854,0.0,1.558699391779328e-09
1855,2.653468555990912e-09,1.5920811335945473e-09
1856,2.0708756931497874e-09,5.177189232874468e-10
1857,6.345961978126979e-09,2.9289055625270066e-09
1858,4.893676019968041e-10,1.9574704079872163e-09
1859,4.073738679721828e-09,6.110608019582742e-09
1860,6.865775947773045e-09,3.661747127736703e-09
1861,4.715963730639317e-10,1.226150558863992e-08
1862,1.8071945051545413e-09,3.6143890103090826e-09
1863,1.9479021062807078e-08,1.4983862484108101e-09
1864,1.4384183844029508e-09,6.712619016191468e-09
1865,4.23615986733239e-09,1.1296426905005319e-08
1866,1.9462451650298362e-09,1.1190910087499617e-08
1867,4.367530337390235e-09,8.73506067478047e-09
1868,7.409810987013543e-09,3.457911734727759e-09
1869,6.8369265804335555e-09,1.0743741896135361e-08
1870,1.490852596930381e-08,1.7202146374017957e-09
1871,9.559059321873065e-09,1.0621177271019633e-09
1872,7.861540751719076e-09,2.4189357183956872e-09
1873,2.9930022904522957e-09,7.183205141814142e-09
1874,5.974609140757536e-10,5.974609140757536e-10
1875,1.1443054281912168e-09,1.1443054281912168e-09
1876,0.0,4.836811839936672e-09
1877,1.2369631985365004e-09,2.040989244278535e-08
1878,0.0,9.058632954861423e-09
1879,5.498392852132383e-09,1.832797580370027e-09
1880,1.2835692508872398e-09,1.9253538763308597e-09
1881,2.091752326904839e-09,3.4862537301449947e-09
1882,6.655385131892899e-10,6.655385131892899e-10
1883,2.5277355764075082e-09,1.3902545781263598e-08
1884,6.601696966868076e-10,2.6406787867472303e-09
1885,2.578254332252783e-09,1.2891271161663553e-08
1886,1.1616235306988187e-08,5.162771044009418e-09
1887,1.9586774424595887e-09,1.2404957061562527e-08
