year,moins_ADV établi_VERB,moins_ADV etabli_VERB,moins_ADV rétabli_VERB
1800,7.545995117652637e-08,0.0,9.432493897065797e-09
1801,1.6668277424969347e-08,0.0,7.143547975374531e-09
1802,1.1189200677108602e-08,0.0,0.0
1803,4.6808139586573816e-08,0.0,0.0
1804,2.9662210465630778e-08,0.0,2.4718509461507665e-09
1805,2.55858996212055e-08,0.0,0.0
1806,3.458002950651462e-08,0.0,1.4408345627714425e-08
1807,9.394951661079176e-08,0.0,2.8469551160981155e-09
1808,1.8128591960930862e-08,0.0,2.039466551195801e-08
1809,5.1957702140725814e-08,2.259030518203531e-09,0.0
1810,2.3401266702194334e-08,0.0,1.8721014072298203e-08
1811,1.504245972228091e-08,0.0,5.0141535368197765e-09
1812,1.8670457180292033e-08,0.0,5.3344164641089264e-09
1813,5.7514832008109806e-08,0.0,0.0
1814,2.5173417128598885e-08,0.0,0.0
1815,3.776112933451259e-08,0.0,1.0788894222457657e-08
1816,1.3905623319487859e-08,0.0,1.3905623319487859e-08
1817,1.71256075987003e-08,0.0,0.0
1818,4.172412104708201e-08,0.0,2.6226590676969863e-08
1819,2.4842520929269085e-08,0.0,1.6561680027393777e-08
1820,3.322614716694261e-08,0.0,0.0
1821,1.0847637454958203e-08,0.0,0.0
1822,3.8097340393505874e-08,0.0,3.0076847679083585e-09
1823,1.581229902569703e-08,0.0,9.882686891060644e-10
1824,3.452656116564867e-08,0.0,3.3684450784221553e-09
1825,4.226612659863349e-08,0.0,3.522177216552791e-09
1826,5.108631029315802e-08,0.0,2.025836387531399e-08
1827,6.267745789045875e-08,3.6869092223668076e-09,9.217273055917019e-10
1828,4.219258542548232e-08,1.8344602503717056e-09,9.172301251858528e-10
1829,7.458663020543099e-08,8.57317605795771e-10,2.571952872898464e-09
1830,6.470838087579978e-08,0.0,4.174734336004349e-09
1831,4.5214498811674275e-08,0.0,2.0268567268999504e-08
1832,1.488296597074168e-08,0.0,1.3529969367098715e-09
1833,5.90765054653275e-08,0.0,8.108539617524002e-09
1834,2.7070139907436896e-08,0.0,0.0
1835,4.5378527602224494e-08,7.563087933704082e-10,0.0
1836,6.51912728244497e-08,0.0,2.688300027031687e-09
1837,3.965997663613052e-08,0.0,2.0873671680021744e-09
1838,7.006499913586595e-08,0.0,1.2624323808552163e-09
1839,8.110111338055503e-08,0.0,3.4957374772659477e-09
