year,dix_DET ans_NOUN,dix_DET rangs_NOUN
1800,1.7610464794870495e-05,5.345079756580162e-08
1801,1.829224450489164e-05,9.762848662830947e-08
1802,1.818916427964723e-05,1.5664880947952042e-08
1803,1.607079448717741e-05,8.971560561121805e-08
1804,2.0239514867625985e-05,1.4831105232815389e-08
1805,1.802100203462942e-05,9.381496113292087e-08
1806,1.5411166344847516e-05,4.034336598124355e-08
1807,1.8112328632469143e-05,3.131650672116848e-08
1808,1.9125665374986056e-05,8.384473915157287e-08
1809,2.101350162320159e-05,4.969867006821005e-08
1810,1.967110583223075e-05,1.6380887757350138e-08
1811,2.1641087187163066e-05,2.757784400841956e-08
1812,1.9884036987605214e-05,1.600324992523383e-07
1813,2.2767246377952688e-05,2.8757416448144113e-09
1814,2.1170844320295146e-05,2.2026739543434815e-08
1815,1.821435131432736e-05,2.697223555614414e-09
1816,1.557198086743483e-05,6.257530316133852e-08
1817,1.6722376585676102e-05,1.1365175822675155e-07
1818,1.942079006767017e-05,5.2453181353939726e-08
1819,1.939579755116938e-05,5.4860564646652676e-08
1820,1.742236753443649e-05,9.01852530432734e-08
1821,1.85208608627363e-05,2.2681422962023134e-08
1822,1.815739369703806e-05,5.3135764233047666e-08
1823,1.7548687083035475e-05,3.755420863171821e-08
1824,1.7724757356063492e-05,5.3895123031111325e-08
1825,2.0351139369267912e-05,5.459374818883589e-08
1826,1.9736051314112046e-05,6.78214817639855e-08
1827,2.2108551434030232e-05,1.935627302884768e-08
1828,1.851520687523589e-05,7.979902250099258e-08
1829,1.936937599111843e-05,2.914879893012312e-08
1830,1.8881278862181716e-05,4.4878394334091354e-08
1831,2.281461104303162e-05,2.0268567268999504e-08
1832,2.147476646996438e-05,2.841293600397421e-08
1833,2.077407896194927e-05,7.18184978154568e-08
1834,2.0340875551028148e-05,7.187588835222414e-08
1835,1.9089233376234915e-05,5.067268915581735e-08
1836,2.142575107200173e-05,3.763620171071125e-08
1837,2.0301734821259743e-05,1.0088941593267009e-07
1838,2.0358615358873067e-05,3.3454458758797045e-08
1839,1.9610389074387058e-05,3.5656524954852387e-08
1840,2.2441686894580926e-05,4.586175916809765e-08
1841,2.2487329999876238e-05,3.9165346521485844e-08
1842,2.127190759892983e-05,5.433694694190194e-08
1843,2.073975525718197e-05,2.126488057863085e-08
1844,2.2156223906222294e-05,3.3480223038395707e-08
1845,2.2573138153347827e-05,3.4039389529283426e-08
1846,2.116402157525954e-05,6.498496674112175e-08
1847,2.1606872621759976e-05,2.480882876909618e-08
1848,2.2406747234526847e-05,2.25266200692964e-08
1849,1.9788825625255413e-05,4.022119171054328e-08
1850,2.018232657974295e-05,3.1229380859087996e-08
1851,2.0541463300105534e-05,4.127640806927957e-08
1852,2.0848719827881723e-05,2.6042181744401205e-08
1853,2.0599582569502672e-05,5.553896520460455e-08
1854,1.93372233638911e-05,2.8576154775805662e-08
1855,2.0927905950429704e-05,3.92713346286655e-08
1856,2.0336517081886996e-05,8.076415269897552e-08
1857,2.0284135189285735e-05,2.3919393798976785e-08
1858,2.151847257891859e-05,2.985142349976044e-08
1859,2.1541420380799536e-05,1.680417160976333e-08
1860,2.2547208232026605e-05,2.7463103124958366e-08
1861,2.1855191164377175e-05,3.631292094796734e-08
1862,2.180605986268347e-05,6.91251931250747e-08
1863,2.190241190191955e-05,3.646073176710729e-08
1864,2.2096982945640775e-05,2.445311331200628e-08
1865,2.1638775081100903e-05,3.7184071599583035e-08
1866,2.1109948761477426e-05,4.330395597662573e-08
1867,2.4091296779715776e-05,4.464586567110018e-08
1868,2.2148913160435768e-05,2.2229432738996024e-08
1869,2.1258936442336562e-05,6.495080384638641e-08
1870,2.0962534961199708e-05,3.612450782952692e-08
1871,1.8884452458678425e-05,4.142259157902117e-08
1872,2.111851802055753e-05,9.071008832961525e-09
1873,1.95419108877104e-05,3.831042860724665e-08
1874,2.0336972283985233e-05,2.0911132381229436e-08
1875,2.1083827846268832e-05,3.833423178889461e-08
1876,2.081884662175071e-05,1.874264654588842e-08
1877,2.0745727681514836e-05,1.7935966267756953e-08
1878,2.151606599909428e-05,4.9520526346213956e-08
1879,2.293135179343153e-05,2.6270098985037293e-08
1880,2.2367478493379167e-05,2.5671385017744797e-08
1881,2.298278025136824e-05,3.067903264764027e-08
1882,2.3556070232189086e-05,2.1297232422057277e-08
1883,2.2371723446212854e-05,1.3902545781263598e-08
1884,2.150040694459676e-05,3.300848394616196e-08
1885,2.1295734939030808e-05,3.4161868445181653e-08
1886,2.1249966550840327e-05,2.9685933211620608e-08
1887,2.4395979721703043e-05,5.419007464979586e-08
1888,2.2036805887637456e-05,3.804368953197468e-08
1889,2.3295030700865027e-05,3.132568426877924e-08
1890,2.336704335448303e-05,3.2771932723107966e-08
1891,2.2598523003125592e-05,1.784781566982474e-08
1892,2.1383148805398378e-05,2.6954603882245465e-08
1893,2.1303811081452295e-05,1.6627724974682678e-08
1894,2.1235556459942018e-05,1.2603078580752936e-08
1895,2.2980273683970154e-05,2.5278181325916194e-08
1896,2.209321991131219e-05,2.240870955461105e-08
1897,2.1869987506306643e-05,1.8645483379486905e-08
1898,2.2040989847482706e-05,1.5277558773618694e-08
1899,2.2889149363436445e-05,9.949641111006713e-09
1900,2.311316472969338e-05,2.803168763776398e-08
1901,2.250529314551386e-05,2.4031576728589243e-08
1902,1.996325022446399e-05,8.838511256215043e-09
1903,2.1366511077758332e-05,1.674068350610014e-08
1904,2.1281903400449664e-05,2.5260739278110123e-08
1905,2.2547355570168293e-05,2.4255568220610257e-08
1906,2.225785794962576e-05,2.2119992670877053e-08
1907,2.204942688877054e-05,2.4171363577352167e-08
1908,2.2889528167979734e-05,1.3751889405000384e-08
1909,2.322625255146704e-05,1.5402754627302784e-08
1910,2.2801352884016524e-05,2.2979847358328698e-08
1911,2.2852071197121404e-05,1.9685383989553884e-08
1912,2.3193385914055398e-05,2.2400510502063042e-08
1913,2.2215283820514742e-05,2.333315407554437e-08
1914,2.186888536925835e-05,1.5402511266415786e-08
1915,1.8632453645750502e-05,5.890381071793627e-09
1916,1.8714944360453956e-05,1.3184954461564757e-08
1917,1.7660329035606992e-05,2.4126133979507358e-08
1918,1.7873949730073946e-05,2.986458014220261e-08
1919,2.0472730057008448e-05,1.1049417880659718e-08
1920,1.945457751162394e-05,1.1358347595802343e-08
1921,1.9785316851539392e-05,2.574734203619755e-08
1922,1.9981663342605316e-05,2.4347187377316004e-08
1923,1.8994054471477284e-05,3.1847844361720945e-09
1924,1.9873728433594806e-05,2.0626599095407983e-08
