year,mieux_ADV appelé_VERB,mieux_ADV rappelé_VERB
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,6.713520406265161e-09,0.0
1803,7.801356893821776e-09,0.0
1804,2.7190360185613827e-08,0.0
1805,3.1271653710973624e-08,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,1.3596443970698147e-08,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,3.042164919975221e-08,1.1700633351097167e-08
1811,2.5070767684098882e-09,0.0
1812,1.3336041604361526e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,4.090680150170556e-08,0.0
1815,5.394447111228828e-09,8.091670444798638e-09
1816,6.952811659743929e-09,0.0
1817,3.269434145636296e-08,4.670620334934483e-09
1818,2.6226590676969863e-08,2.384235475716423e-09
1819,1.7596784473994376e-08,0.0
1820,1.542642635854463e-08,0.0
1821,2.070912508145284e-08,5.9168927535324656e-09
1822,6.015369535816717e-09,0.0
1823,1.1859224713361982e-08,0.0
1824,7.57900142644985e-09,5.052667617633233e-09
1825,4.4027217427355936e-09,6.163809906922779e-09
1826,1.3211976401805714e-08,2.642395191543301e-09
1827,9.217273166939322e-09,0.0
1828,8.255071293206129e-09,0.0
1829,5.143905745796928e-09,0.0
1830,4.174734336004349e-09,1.0436835840010872e-09
1831,1.5591206548037917e-08,0.0
1832,2.3000948701223933e-08,2.705993873419743e-09
1833,3.4750886612755494e-09,1.1583628278799551e-08
1834,2.8003592777992026e-09,9.334531370086552e-09
1835,2.2689263801112247e-08,0.0
1836,5.376600054063374e-09,0.0
1837,9.74104708006962e-09,6.957890930081589e-10
1838,1.1361890983607736e-08,6.312161904276081e-10
1839,8.38977065598101e-09,6.292327547896548e-09
1840,6.3696887764308485e-09,1.9109065441114126e-09
1841,3.2102742686390684e-09,5.1364388298225094e-09
1842,2.95163662400455e-08,6.037438549100216e-09
1843,1.1223130869097986e-08,3.5441467538532834e-09
1844,6.586273748609983e-09,1.0977122322231025e-08
1845,1.3392547515422848e-08,3.9061593959388574e-09
1846,1.0538101946622191e-08,1.7563503984519002e-09
1847,2.2112217834546755e-08,5.3932236454556914e-09
1848,2.011305433313737e-08,8.04522137798358e-09
1849,2.4300303991253713e-08,8.379414495607307e-09
1850,4.752297222410107e-09,0.0
1851,7.094382858952031e-09,0.0
1852,1.6927417689771573e-08,1.3021090872200602e-09
1853,1.6721408258035808e-08,1.1943863675867306e-09
1854,1.7145692865483397e-08,4.676098175337984e-09
1855,1.1675261646360013e-08,9.021793090369101e-09
1856,1.1389816201301528e-08,6.212626857404757e-09
1857,1.122747050885664e-08,6.8341128311999455e-09
1858,9.787352261980686e-09,5.3830437884982985e-09
1859,1.476730293603623e-08,5.601390462572908e-09
1860,1.0527522853465143e-08,4.57718396518203e-09
1861,6.13075279431996e-09,9.431927461278633e-10
1862,1.0843167252971853e-08,1.3102160245637151e-08
1863,1.7980635647063536e-08,3.995696662428827e-09
1864,8.151037178549814e-09,1.1507347075223606e-08
1865,2.8241067262513297e-09,2.8241067262513297e-09
1866,3.405929049904444e-08,2.919367858567057e-09
1867,1.358787216076962e-08,1.455843445796745e-09
1868,2.1735445443482604e-08,5.433861360870651e-09
1869,1.7580669364747337e-08,7.325278605918584e-09
1870,1.8922360567330543e-08,5.734048791339319e-09
1871,5.3105884134652115e-09,0.0
1872,1.5118347462816928e-08,3.0236697590169115e-09
1873,1.496501056408306e-08,4.190203295451056e-09
1874,1.7326366119618797e-08,5.974609140757536e-10
1875,1.6592428764283795e-08,2.2886108563824337e-09
1876,2.1161051577678336e-08,0.0
1877,1.4843558382438005e-08,6.184816214727107e-09
1878,2.1740719446938783e-08,1.8117265465633636e-09
1879,9.774920428640144e-09,6.720257683667796e-09
