year,pas_ADV attrapé_VERB,pas_ADV rattrapé_VERB
1800,1.8864987794131594e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,0.0
1803,9.751696339321825e-09,5.851017448321727e-09
1804,7.4155526164076946e-09,2.4718509461507665e-09
1805,2.842877755426798e-08,0.0
1806,1.152667650217154e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,1.8721014072298203e-08,0.0
1811,2.2563691359778204e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,0.0,0.0
1815,1.0788894222457657e-08,0.0
1816,6.952811659743929e-09,0.0
1817,1.0898113522728181e-08,0.0
1818,2.2650237241350624e-08,0.0
1819,2.173720581311045e-08,0.0
1820,1.3053129244156025e-08,0.0
1821,2.2681422962023134e-08,0.0
1822,1.804610860745015e-08,0.0
1823,3.9530747564242574e-09,1.9765373782121287e-09
1824,7.57900142644985e-09,1.6842225392110777e-09
1825,2.6416328680056722e-08,8.805443041381977e-10
1826,1.2331177856594877e-08,5.284790383086602e-09
1827,3.6869092223668076e-09,0.0
1828,8.255071293206129e-09,7.337841001486822e-09
1829,2.1432940755516938e-08,8.57317605795771e-10
1830,2.6092090266160994e-08,4.174734336004349e-09
1831,6.236482441579483e-09,9.354723218280014e-09
1832,1.352996914505411e-08,0.0
1833,1.9692167896323554e-08,0.0
1834,1.3068342852307069e-08,0.0
1835,1.8907719834260206e-08,1.5126175867408165e-09
1836,2.083432448785061e-08,0.0
1837,9.74104708006962e-09,4.87052354003481e-09
1838,1.0730675015224733e-08,4.418513555037862e-09
1839,1.0487212875887053e-08,0.0
1840,1.8472096741106725e-08,0.0
1841,5.1364388298225094e-09,6.420548537278137e-09
1842,1.7441490030023488e-08,0.0
1843,2.008349753168659e-08,1.7720733769266417e-09
1844,1.0428266250528395e-08,2.7442805805577564e-09
1845,6.138250796539069e-09,0.0
1846,6.439951683034906e-09,6.439951683034906e-09
1847,7.550513103637968e-09,4.314578916364553e-09
1848,2.413566457803995e-09,8.84974404868899e-09
1849,1.256912263158938e-08,0.0
1850,1.2899092460827433e-08,0.0
1851,8.384270167027807e-09,6.449438760824933e-10
1852,9.114764054629632e-09,0.0
1853,1.5527023222716707e-08,5.971931837933653e-10
1854,1.7145692865483397e-08,1.558699391779328e-09
1855,1.4859423913549108e-08,5.306937111981824e-10
1856,5.694908100650764e-09,0.0
1857,1.3180074809326925e-08,1.4644527812635033e-09
1858,2.0064071293290908e-08,2.936205500958522e-09
1859,9.165912473463322e-09,1.5276520048956854e-09
1860,1.373155189554609e-08,4.577183909670879e-10
1861,8.960331143725853e-09,2.8295783494058924e-09
1862,7.680577063240435e-09,9.035972525772706e-10
1863,1.4983863039219614e-09,0.0
1864,4.315255264231155e-09,4.794727948009836e-10
1865,1.7886009118228685e-08,4.706844358715045e-10
1866,1.3623716377253459e-08,4.865612912574591e-10
1867,1.747012134956094e-08,1.94112459439566e-09
