year,trois_DET ans_NOUN,trois_DET rangs_NOUN
1800,1.93460442687865e-05,1.002988526010995e-06
1801,1.921852387454237e-05,1.0643886199090957e-06
1802,1.812650532428961e-05,1.0741632365807163e-06
1803,1.9860304064422962e-05,1.5914767743652192e-06
1804,1.925324747276136e-05,1.4583920644462012e-06
1805,1.8291075008392e-05,1.3645813188301048e-06
1806,1.8307243692561315e-05,1.2275910421521985e-06
1807,2.1013375345546592e-05,6.747283691765915e-07
1808,2.1681795999484166e-05,1.0763851534534297e-06
1809,2.4754456489972654e-05,1.495478166191333e-06
1810,1.842849906097399e-05,6.17793439516845e-07
1811,2.4130613496708975e-05,9.226042698706749e-07
1812,1.9804021121672122e-05,8.348361664189952e-07
1813,2.2189222022461763e-05,8.397165771611981e-07
1814,1.9811480115095037e-05,8.684829100324976e-07
1815,1.827638595841563e-05,6.041780726828705e-07
1816,1.7952158827938547e-05,1.3442102861915828e-06
1817,1.7735900939896965e-05,1.2252593286632418e-06
1818,2.3205764250633365e-05,7.403051203169753e-07
1819,2.2830276066088118e-05,9.191732548430309e-07
1820,2.1085551111355016e-05,8.591332161245191e-07
1821,2.109963963903283e-05,8.05683596283302e-07
1822,1.938653258548584e-05,6.827444565260521e-07
1823,1.908445744902565e-05,9.18101608959887e-07
1824,1.858034329416114e-05,7.646370114855472e-07
1825,2.2171224827616243e-05,7.211657644390357e-07
1826,2.0900465926843026e-05,9.67116701389159e-07
1827,2.194909291119984e-05,9.226490149671918e-07
1828,1.975897180273023e-05,8.108314037968967e-07
1829,2.0981134241537802e-05,7.981626950481768e-07
1830,1.92455246406098e-05,1.142833497169704e-06
1831,2.031845974670432e-05,8.918170095739697e-07
1832,2.134758483407495e-05,1.0756325190541816e-06
1833,2.0980268345738295e-05,7.761031284303499e-07
1834,2.182319985877257e-05,8.98915354596852e-07
1835,1.990907207982673e-05,7.298379998132987e-07
1836,2.112533366016578e-05,8.118665970613392e-07
1837,2.2794051346863853e-05,8.551247780985705e-07
1838,2.111228877765825e-05,9.158946774334709e-07
1839,2.050669559139351e-05,7.334057539054584e-07
1840,2.202765739411916e-05,9.726514260677277e-07
1841,2.1867745886083867e-05,8.577853090052656e-07
1842,2.238548006516794e-05,7.036969904561374e-07
1843,2.2683129827782977e-05,6.828389418345182e-07
1844,2.318697545433679e-05,8.101116577563516e-07
1845,2.1413566400951822e-05,7.466344893458654e-07
1846,2.2437375776007684e-05,8.079211930578367e-07
1847,2.2942233385947475e-05,6.153667904129634e-07
1848,2.399246011464129e-05,6.251137176782606e-07
1849,2.2808766573234607e-05,8.161550049123889e-07
1850,2.3167448205185792e-05,9.036153727493001e-07
1851,2.4214417294388113e-05,8.17788823326282e-07
1852,2.2298618773675116e-05,7.18764230356328e-07
1853,2.2237085147480684e-05,9.041505037998832e-07
1854,2.141912614206376e-05,6.717993858984528e-07
1855,2.3691758997301804e-05,6.065828941359541e-07
1856,2.2106079882178165e-05,5.979653323606726e-07
1857,2.161092913866014e-05,7.361315503828791e-07
1858,2.193443492615188e-05,6.244330705840184e-07
1859,2.1087199911562493e-05,6.456875993876565e-07
1860,2.104177292494569e-05,5.785560395210609e-07
1861,2.051019737336901e-05,5.729896193074069e-07
1862,2.2135422227620438e-05,6.587223784215723e-07
1863,2.3288418901756813e-05,6.298217130051853e-07
1864,2.312832930329023e-05,5.394068693931331e-07
1865,2.2560845991392853e-05,5.422284719003301e-07
1866,2.119947566825431e-05,6.013897486667474e-07
1867,2.270048128139024e-05,6.133953931453107e-07
1868,2.237170212993078e-05,5.340004038956181e-07
1869,2.2142363320654113e-05,5.909058169439874e-07
1870,2.3080692812982306e-05,6.915263028872687e-07
1871,2.110427908519341e-05,6.744447489381855e-07
1872,2.2592858954340045e-05,4.934628696773302e-07
1873,2.293477791681653e-05,5.417334101309734e-07
1874,2.4774911025815527e-05,5.48469119898698e-07
1875,2.381757360581105e-05,5.258083319858997e-07
1876,2.354560041339937e-05,6.239487149173328e-07
1877,2.3249342348208302e-05,6.481687098158773e-07
1878,2.304455892954138e-05,5.773368876305085e-07
1879,2.5270002311117423e-05,4.911897315551528e-07
1880,2.438589001485525e-05,5.455169151957762e-07
1881,2.4694529884072836e-05,6.442597157985119e-07
1882,2.5368331648678577e-05,4.924984864373982e-07
1883,2.5234384679606592e-05,5.731640539963223e-07
1884,2.6099149067704275e-05,5.69726475774246e-07
1885,2.59469069305851e-05,6.162027803569003e-07
1886,2.535694977723324e-05,4.704575129466093e-07
1887,2.574420284418011e-05,5.497354811367927e-07
1888,2.613855019717448e-05,6.708370436925293e-07
1889,2.535500766498444e-05,4.786564447023522e-07
1890,2.684217861315119e-05,5.217291905168508e-07
1891,2.418952783500572e-05,5.080253284717173e-07
1892,2.4509883246537356e-05,5.478679998560665e-07
1893,2.524519766211597e-05,5.049901696807524e-07
1894,2.5070673700611223e-05,6.169206692163698e-07
1895,2.583430057256919e-05,4.6162772093794047e-07
1896,2.653898934568133e-05,5.442957515811031e-07
1897,2.5237243789888453e-05,4.766251651133757e-07
1898,2.6292112238479604e-05,4.928427266293056e-07
1899,2.762849510418164e-05,4.925072421002596e-07
1900,2.6809194423549343e-05,3.929627343524089e-07
1901,2.6167034434365632e-05,4.599532248406035e-07
1902,2.3879693230810517e-05,5.23927293105686e-07
1903,2.6142466367673478e-05,4.2931751043084887e-07
1904,2.649851501246303e-05,3.783736248763603e-07
1905,2.6482950715944753e-05,3.757032644990943e-07
1906,2.6181327143603994e-05,4.93327272366173e-07
1907,2.5561474330970668e-05,5.209700226771474e-07
1908,2.555199364451255e-05,4.503743653572201e-07
1909,2.5955841465474805e-05,4.967388385068716e-07
1910,2.5955471642191696e-05,4.3394503013161057e-07
1911,2.5373928224325937e-05,3.9796398265679045e-07
1912,2.6378425786788284e-05,4.2925630161505524e-07
1913,3.145574316931743e-05,4.2689067392132074e-07
1914,3.0512372518387565e-05,4.567179177072944e-07
1915,2.3767686400333332e-05,3.9936782680882743e-07
1916,2.2189180413079157e-05,3.933511547593582e-07
1917,3.0912156830709137e-05,3.0376995496794734e-07
1918,2.9761200266875676e-05,3.22767162330706e-07
1919,2.5794866019168694e-05,3.0938369377508934e-07
1920,2.347846157135791e-05,2.8850201694297084e-07
1921,2.324984893675719e-05,2.7564800131330003e-07
1922,2.4451953322568443e-05,2.7298362459404757e-07
1923,2.3331730176323617e-05,4.002212343756639e-07
1924,2.347435952287924e-05,3.390497225197464e-07
1925,2.392103704096371e-05,4.1243167148152793e-07
1926,2.3410234689436038e-05,3.065188125539464e-07
1927,2.3821433273951698e-05,5.786447498934422e-07
1928,2.3230283773045812e-05,3.7134634123248134e-07
